ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2038347,,"Ochsenkopf, Fragment (unterer Teil)",Unbekannt,KKWasserzeichen,,Allgemein,
2261830,180-1980_WZ,Kreis mit Blüte und griechisches Kreuz,Unbekannt,KKWasserzeichen,,Allgemein,
1670801,"10,167-1891_WZ","Heraldischer Adler, bekrönt (Fragment: linker Teil)",Unbekannt,KKWasserzeichen,,Allgemein,
1830361,11-1885_WZ,"Ochsenkopf, darüber: Stab mit Andreaskreuz (einkonturig)",Unbekannt,KKWasserzeichen,,Allgemein,
1652589,115-1997_WZ,Buchstaben (zweikonturig): EWM/ Buchstabe (einkonturig): A,Unbekannt,KKWasserzeichen,"handgeschöpftes Papier (vergé) mit Stegschatten, handgeschöpftes Papier (vergé) mit Stegschatten",Allgemein,
1672217,12-1885_WZ,"Ochsenkopf, darüber: Stab mit Andreaskreuz (einkonturig)",Unbekannt,KKWasserzeichen,,Allgemein,
1835893,123-109_WZ,Wappenschild mit Initiale: W (einkonturig),Unbekannt,KKWasserzeichen,,Allgemein,
1670806,128-1926_WZ,Heraldischer Adler mit Wappenschild,Unbekannt,KKWasserzeichen,,Allgemein,
1672762,14-3_WZ,Hausgerät: Krug,Unbekannt,KKWasserzeichen,,Allgemein,
2261836,333-1989_WZ,"ein Buchstabe: B, bekrönt"";"" Fragment ?",Unbekannt,KKWasserzeichen,,Allgemein,
2261838,334-1989_WZ,"drei Buchstaben: P S D (?), Fragment ?",Unbekannt,KKWasserzeichen,,Allgemein,
2261833,395-1986_WZ,Hausgerät: Sanduhr,Unbekannt,KKWasserzeichen,,Allgemein,
2261835,552-1988_WZ,"Lilie ?, Fragment (oberer Teil)",Unbekannt,KKWasserzeichen,,Allgemein,
2261831,680-1980_WZ,"Wappenschild mit Traube, darüber Initiale: M M, Fragment (oberer Teil)",Unbekannt,KKWasserzeichen,,Allgemein,
2574117,786-11_WZ,"Wappen vom Haus Österreich und Burgund  (bekröntes Wappenschild geviertelt: 1 einzelner Turm""; 2 Adler; 3 und 4 zügelloser Löwe in Richtung Mitte schauend; Wappen von Österreich mittig zwischen 3 und 4; unter Wappen aufgehängt Goldenes Vlies ;"" (english: Coat of Arms of Burgundy-Austria)",Unbekannt,KKWasserzeichen,handgeschöpftes Vergépapier mit Stegschatten,Allgemein,um 1588
2574100,790-11_WZ,"Wappen vom Haus Österreich und Burgund (bekröntes Wappenschild geviertelt: 1 einzelner Turm""; 2 Adler; 3 und 4 zügelloser Löwe in Richtung Mitte schauend; Wappen von Österreich mittig zwischen 3 und 4; unter Wappen aufgehängt Goldenes Vlies ;"" (english: Coat of Arms of Burgundy-Austria)",Unbekannt,KKWasserzeichen,"handgeschöpftes Vergépapier mit Stegschatten (Abstand zwischen 2,3 - 2,4 cm)",Allgemein,um 1588
2574116,793-11_WZ,"Wappen vom Haus Österreich und Burgund  (bekröntes Wappenschild geviertelt: 1 einzelner Turm""; 2 Adler; 3 und 4 zügelloser Löwe in Richtung Mitte schauend; Wappen von Österreich mittig zwischen 3 und 4; unter Wappen aufgehängt Goldenes Vlies ;"" (english: Coat of Arms of Burgundy-Austria)",Unbekannt,KKWasserzeichen,handgeschöpftes Vergépapier mit Stegschatten,Allgemein,um 1588
2222060,845-100_WZ,"Hut: Mitra, zweikonturig",Unbekannt,KKWasserzeichen,,Allgemein,
2222061,845-100_WZ,"Waffen: Pfeil, zweikonturig",Unbekannt,KKWasserzeichen,,Allgemein,
2222062,845-100_WZ,"Hut: MItra, zweikonturig",Unbekannt,KKWasserzeichen,,Allgemein,
2222063,845-100_WZ,"Hut: Mitra, zweikonturig",Unbekannt,KKWasserzeichen,,Allgemein,
2222064,845-100_WZ,"Waffen: Pfeil, zweikonturig",Unbekannt,KKWasserzeichen,,Allgemein,
2222065,845-100_WZ,"Hut: Mitra, zweikonturig",Unbekannt,KKWasserzeichen,,Allgemein,
2222067,845-100_WZ,"Hut: Mitra, zweikonturig",Unbekannt,KKWasserzeichen,,Allgemein,
2222068,845-100_WZ,unidentifiziertes WZ,Unbekannt,KKWasserzeichen,,Allgemein,
2222070,845-100_WZ,"Waffen: Pfeil mit Initiale: HK, zweikonturig",Unbekannt,KKWasserzeichen,,Allgemein,
2222071,845-100_WZ,"Hut: Mitra, zweikonturig",Unbekannt,KKWasserzeichen,,Allgemein,
2222072,845-100_WZ,"Waffen: Pfeil mit Initiale: H, zweikonturig",Unbekannt,KKWasserzeichen,,Allgemein,
2222073,845-100_WZ,"Hut: MItra, zweikonturig",Unbekannt,KKWasserzeichen,,Allgemein,
2222074,845-100_WZ,"Waffen: Pfeil, zweikonturig",Unbekannt,KKWasserzeichen,,Allgemein,
2222075,845-100_WZ,"Hut: Mitra, zweikonturig",Unbekannt,KKWasserzeichen,,Allgemein,
1699682,142-1916_WZ,drei Monde,Unbekannt,KKWasserzeichen,,Allgemein,
1699697,145-1916_WZ,drei Monde,Unbekannt,KKWasserzeichen,,Allgemein,
1670786,146-1891_WZ,"Reichsapfel? (Fragment, Kaschierung: gotisches p)",Unbekannt,KKWasserzeichen,,Allgemein,
1699702,146-1916_WZ,drei Monde,Unbekannt,KKWasserzeichen,,Allgemein,
1672785,15-3_WZ,Hausgerät: Krug,Unbekannt,KKWasserzeichen,,Allgemein,
1672726,156-1898_WZ,"Ochsenkopf, darüber: Stab mit Andreaskreuz (einkonturig)",Unbekannt,KKWasserzeichen,,Allgemein,
2600920,B 1076_WZ,"Schoellershammer, HAMMER, 4R, 2-fach",,KKWasserzeichen,,,
2602987,B 1274_WZ,Name: C. M. FABRIANO,,KKWasserzeichen,Velinpapier mit Büttenrändern,Allgemein,
1965973,158a-1896_WZ,Waffen (Degen ?),Unbekannt,KKWasserzeichen,,Allgemein,
1670810,169-1929_WZ,"Heraldischer Doppeladler, bekrönt mit Wappenschild",Unbekannt,KKWasserzeichen,,Allgemein,
1670782,17-3_WZ,"Hohe Krone (zweikonturig) mit Perlen, darüber: lateinisches Kreuz (zweikonturig)",Unbekannt,KKWasserzeichen,,Allgemein,
1936912,170-1926_WZ,Name (zweikonturig): VAN GELDER,"Gelder, van",KKWasserzeichen,,Allgemein,
2026118,17703_WZ,"Wappenschild, bekrönt",Unbekannt,KKWasserzeichen,,Allgemein,
1672738,184-1898_WZ,"Ochsenkopf, darüber: Stab mit Andreaskreuz (einkonturig)",Unbekannt,KKWasserzeichen,,Allgemein,
1670816,25-1886_WZ,"Hohe Krone (zweikonturig) mit Perlen, darüber: lateinisches Kreuz (zweikonturig), darüber: Stern (zweikonturig)",Unbekannt,KKWasserzeichen,,Allgemein,
1699704,250-91_WZ,drei Monde,Unbekannt,KKWasserzeichen,,Allgemein,
1699705,251-91_WZ,drei Monde,Unbekannt,KKWasserzeichen,,Allgemein,
1670773,270-2_WZ,"Krone ohne Bügel, darüber: Dreiblatt?, darunter: Wappenschild?",Unbekannt,KKWasserzeichen,,Allgemein,
1670780,273-2_WZ,"Ochsenkopf, darüber: lateinisches Kreuz (zweikonturig, Fragment: rechter Teil)",Unbekannt,KKWasserzeichen,,Allgemein,
1670776,275-2_WZ,"Waage im Kreis, darüber: Stern (zweikonturig)",Unbekannt,KKWasserzeichen,,Allgemein,
1830369,286-1889_WZ,"Ochsenkopf, darüber: Stab mit lateinisches Kreuz (zweikonturig)",Unbekannt,KKWasserzeichen,,Allgemein,
1831465,29-1885_WZ,Figuren: Kopf,Unbekannt,KKWasserzeichen,,Allgemein,
