ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2454437,,,"Guibal, Nicolas",KKZusatzmagazin,"Rötel, auf Papier, Zeichnung",Midas-Objekt,
2454532,,,"La Rue, de Philibert-Benoît",KKZusatzmagazin,"Feder in Schwarz, mit dem Pinsel braun und schwarz laviert, über Vorzeichnung mit schwarzem Stift, auf Papier, Zeichnung",Zeichnung,
2457110,,,"Oudry, Jean-Baptiste",KKZusatzmagazin,"Pinsel in Grau, über Vorzeichnung mit Rötel und schwarzem Stift, auf Papier, Zeichnung",Zeichnung,
2569060,,Liguria,Unbekannt,KKZusatzmagazin,"schwarzer Stift auf weißem Papier, schwarzer Stift auf weißem Papier",Midas-Objekt,
2344964,2344964,Reiterschlacht in Landschaft (Alexander der Große),Unbekannt,KKZusatzmagazin,,Midas-Objekt,
2422463,"79 D 30 a, fol. 23 recto","Der sitzende Sokrates mit erhobenem Arm, vor ihm ein stehender Schüler"";"" Seite aus dem römischen """"""""Skizzenbuch des Jacques Louis David","David, Jacques-Louis",KKZusatzmagazin,"Schwarze Kreide, mit dem Pinsel grau laviert, auf Papier",Midas-Objekt,
2344922,AM 667-1980,"Die Buße / Christus im Hause des Simon, Maria Magdalena trocknet Christus die Füße mit ihren Haaren ab (nach einem Gemälde aus der Serie der sieben Sakramente)",Unbekannt,KKZusatzmagazin,,Midas-Objekt,2. Hälfte 17. Jahrhundert
2438000,AM 257-1979,Stehender nackter Mann auf einem Boot stakend,"Lemoyne, François",KKZusatzmagazin,"Schwarze Kreide auf graubraunem Bütten, montiert auf Bütten, Schwarze Kreide auf graubraunem Bütten, montiert auf Bütten",Midas-Objekt,
2344953,AM 436-1989,Himmelfahrt Mariens mit Evangelist Lukas,Unbekannt,KKZusatzmagazin,"Feder und Pinsel in Braun mit  Pinsel weiß gehöht, auf geröteltem Papier",Midas-Objekt,
2344950,AM 499-1989,Aktstudie eines liegenden Mannes (für die Figur des Endymion?),Unbekannt,KKZusatzmagazin,"Rötel, weiße Kreide",Midas-Objekt,
2344949,AM 501-1989,Aktstudie eines sitzenden Mannes nach rechts (für die Figur des Herkules?),Unbekannt,KKZusatzmagazin,Rötel,Midas-Objekt,
2438078,AM 564-1989,Seestück mit Anglern und Fischern in einem Segelboot vor einem Burgfelsen,"Vernet, Joseph (1)",KKZusatzmagazin,"Graphitstift auf Bütten, Graphitstift auf Bütten",Midas-Objekt,
2344947,AM 630-1989,Aktstudie eines sitzenden Mannes nach rechts,Unbekannt,KKZusatzmagazin,Rötel,Midas-Objekt,
2344939,AM 663-1980,Aktstudie eines sitzenden Mannes,"Pécheux, Laurent",KKZusatzmagazin,"Schwarzer Stift, Weißhöhung, grau grundiertes Papier, Zeichnung",Midas-Objekt,1778
2344934,AM 664-1980,Aktstudie eines liegenden Mannes,"Pécheux, Laurent",KKZusatzmagazin,"Schwarzer Stift, Weißhöhung, grau grundiertes Papier, Zeichnung",Midas-Objekt,1778
2344938,AM 665-1980,Aktstudie eines sitzenden Mannes,"Pécheux, Laurent",KKZusatzmagazin,"Schwarzer Stift, Weißhöhung, grau grundiertes Papier, Zeichnung",Midas-Objekt,1779
2344937,AM 666-1980,Aktstudie eines liegenden Mannes vom Kopf her in Verkürzung gesehen,"Pécheux, Laurent",KKZusatzmagazin,"Schwarzer Stift, Weißhöhung, grau grundiertes Papier, Zeichnung",Midas-Objekt,1777 - 1779
2344929,AM 668-1980,Die Priesterweihe / Schlüsselübergabe an Petrus (nach einem Gemälde aus der Serie der sieben Sakramente),Unbekannt,KKZusatzmagazin,,Midas-Objekt,2. Hälfte 17. Jahrhundert
2344942,AM 669-1980,"Stehener Diakon, eine Tragestange haltend (von Baldachin oder Kreuz?)","Le Sueur, Eustache",KKZusatzmagazin,,Midas-Objekt,
1837189,79 C 7,"Ovid. Metamorphosen. 38 Blatt in rotem Samteinband, beidseitig Zeichnungen mit Feder in Braun auf Pergament","Boissard, Jean-Jacques",KKZusatzmagazin,,Midas-Objekt,1556
1837198,"79 C 7, fol. 1 recto",Ovid. Metamorphosen. Titelblatt zu Buch 1,"Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837208,"79 C 7, fol. 1 verso",Ovid. Metamorphosen: Apollo,"Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837209,"79 C 7, fol. 2 recto","Ovid. Metamorphosen: Widmungsblatt, Geschmückte Wappenkartusche mit Lilie und Inschrifttafel """"""""Wolffivs Mvntzer / Franco S. Sq. Omnib. / Chariss. V. F. Venetiis / Ann M.D.LVI","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837210,"79 C 7, fol. 2 verso",Ovid. Metamorphosen: Dichterkrönung,"Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837211,"79 C 7, fol. 3 recto","Ovid. Metamorphosen (I, 5-26): Schöpfung und Chaos","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837212,"79 C 7, fol. 3 verso","Ovid. Metamorphosen (I, 52-71): Erde, Kosmos und die vier Winde","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837213,"79 C 7, fol. 4 recto",Ovid. Metamorphosen. Sphaera,"Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837215,"79 C 7, fol. 4 verso",Ovid. Metamorphosen: Erdkugel und die vier Götter,"Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837217,"79 C 7, fol. 5 recto","Ovid. Metamorphosen (I, 82-83): Prometheus","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837218,"79 C 7, fol. 5 verso",Ovid. Metamorphosen: Silbernes Zeitalter,"Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837219,"79 C 7, fol. 6 recto","Ovid. Metamorphosen (I, 151-162): Gigantensturz","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837220,"79 C 7, fol. 6 verso","Ovid. Metamorphosen (I, 163"";"" 209-243): Lycaon","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837222,"79 C 7, fol. 7 recto","Ovid. Metamorphosen (I, 244-252"";"" 253-312): Rat der Götter und Sintflut","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837223,"79 C 7, fol. 7 verso","Ovid. Metamorphosen (I, 313-415): Deucalion und Pyrrha","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837224,"79 C 7, fol. 8 recto","Ovid. Metamorphosen (III, 28-100): Cadmus tötet den Drachen","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837225,"79 C 7, fol. 8 verso","Ovid. Metamorphosen (III, 101-130): Cadmus und die Gründung von Theben","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837226,"79 C 7, fol. 9 recto","Ovid. Metamorphosen (I, 434-444): Apollo tötet Python","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837227,"79 C 7, fol. 9 verso","Ovid. Metamorphosen (I, 452-567): Apollo und Daphne","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837228,"79 C 7, fol. 10 recto","Ovid. Metamorphosen (I, 607-621): Jupiter und Io","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837229,"79 C 7, fol. 10 verso","Ovid. Metamorphosen (I, 639-663, 668-688): Merkur und Argus","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837230,"79 C 7, fol. 11 recto","Ovid. Metamorphosen (I,689-712): Pan und Syrinx","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837231,"79 C 7, fol. 11 verso","Ovid. Metamorphosen (I, 720-723): Juno und der tote Argus","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837232,"79 C 7, fol. 12 recto",Ovid. Metamorphosen. Titelblatt zu Buch 2,"Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837233,"79 C 7, fol. 12 verso",Ovid. Metamorphosen. Muse (Clio?),"Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837234,"79 C 7, fol. 13 recto","Ovid. Metamorphosen (II, 1-104): Phaeton","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
1837235,"79 C 7, fol. 13 verso","Ovid. Metamorphosen (II, 105 -155): Phaeton leiht den Sonnenwagen","Boissard, Jean-Jacques",KKZusatzmagazin,Feder in Braun auf Pergament,Midas-Objekt,1556
