ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2625450,A (12 E 2) 14/1907,,"Simon, James",MEKArbeitundBeruf,"Holz , geschnitzt, bemalt",,1851
2325226,"A (16 C) 21/1912,2",,"Lehmann-Filhès, Margarete",MEKArbeitundBeruf,"Karton, bedruckt",Allgemein,um 1900
2325226,"A (16 C) 21/1912,2",,"Lehmann-Filhès, Margarete",MEKArbeitundBeruf,"Karton, bedruckt",Allgemein,
2325234,A (16 E 10) 2/1944,,,MEKArbeitundBeruf,Holz ?,Allgemein,
2422006,D (11 B 1) 188/1961,,,MEKArbeitundBeruf,"Buchenholz, geschnitzt",Allgemein,
2422024,D (11 B 10) 471/1967,,,MEKArbeitundBeruf,"Holz, gehöhlt",Allgemein,
2422025,D (11 B 11) 429/1967,,,MEKArbeitundBeruf,"Kupferblech, Holzstiel",Allgemein,
2422027,D (11 B 12) 83/1969,,,MEKArbeitundBeruf,"Holz, gehöhlt",Allgemein,
2422028,D (11 B 13) 545/1969,,,MEKArbeitundBeruf,"Holz, geschnitzt",Allgemein,
2422029,D (11 B 14) 512/1970,,,MEKArbeitundBeruf,"Holz, geschnitzt, teilweise gedrechselt",Allgemein,
2422030,D (11 B 15) 513/1970,,,MEKArbeitundBeruf,"Holz, geschnitzt",Allgemein,
2422031,D (11 B 16) 538/1971,,,MEKArbeitundBeruf,Buchenholz,Allgemein,
2422032,D (11 B 17) 546/1971,,,MEKArbeitundBeruf,"Holz, mit Blech geflickt",Allgemein,
2422033,D (11 B 18) 547/1971,,,MEKArbeitundBeruf,Holz,Allgemein,
2422034,D (11 B 19) 547/1971,,,MEKArbeitundBeruf,Holz,Allgemein,
2422015,D (11 B 2) 554/1963,,,MEKArbeitundBeruf,"Ahornholz, geschnitzt",Allgemein,
2422035,D (11 B 20) 569/1971,,,MEKArbeitundBeruf,Holz,Allgemein,1829
2422037,"D (11 B 21) 512/1971,b",,,MEKArbeitundBeruf,Eisen,Allgemein,
2422038,D (11 B 22) 302/1971,,,MEKArbeitundBeruf,Eisen,Allgemein,
2422039,D (11 B 23) 535/1971,,,MEKArbeitundBeruf,Schmiedeeisen,Allgemein,
2422040,D (11 B 24) 811/1973,,,MEKArbeitundBeruf,Eisen,Allgemein,
2422041,D (11 B 25) 474/1982,,"Schier, Emma, geb. Hanack",MEKArbeitundBeruf,"Porzellan, bedruckt, bemalt",Allgemein,um 1900
2422042,D (11 B 27) 624/1990,,,MEKArbeitundBeruf,"Holz, geschnitzt",Allgemein,1963
2422016,D (11 B 3) 272/1964,,,MEKArbeitundBeruf,"Messingblech, Holzgriff, lackiert",Allgemein,
