ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2472508,A (60 E) 44/1909,Volksschule und Pflege des Volkstümlichen.,,MEKBucherundDokumente,"Papier, Druck",Allgemein,1890
2399767,"A (62 B) 1/1917,1","Wunderliche und seltsame Historien Tillen Eulenspiegels, eines Bauern Sohn, aus dem Lande zu Braunschweig gebürtig..",Trowitzsch & Sohn,MEKBucherundDokumente,"Papier, Druck",Allgemein,19. Jahrhundert
2399769,"A (62 B) 1/1917,2",Erinnerung an die Wartburg. Das menschliche Leben in Thiergestalt. Wartburg-Sprüche. Bruchstücke aus dem Gedicht vom Sängerkrieg.,"W. Drugulin, Leipzig",MEKBucherundDokumente,"Papier, Druck",Allgemein,19. Jahrhundert
2399770,"A (62 B) 1/1917,3","Der märkische Eulenspiegel, das ist: Seltsame und kurzweilige Geschichten von Hans Clauert in Trebbin.","Verlag Otto Wigand, Leipzig",MEKBucherundDokumente,"Papier, Druck",Allgemein,um 1850
2398745,A (62 B) 40/1909,"Stock's illustrirte Punktir- und Wahrsagekunst oder die Wissenschaft, seine eigene und die Zukunft Anderer in der untrüglichen Weise zu errathen.","Herm. Winkler's Verlag, Wien",MEKBucherundDokumente,"Papier, Druck, Klebebindung (defekt)",Allgemein,um 1900?
2561575,D (62 A 185) 273/1977,"Eucharistische Liebesblumen mit Marianischen Rosen. Andachtsbuch für fromme und gebildete Katholiken, insbesondere für Solche, die sich einer innigen Andacht zum allerheiligsten Altarssakramente und zur Gottesmutter Maria ergeben wollen.","Verlag von A. Riffarth, Mönchengladbach",MEKBucherundDokumente,"Halbleder, Papier, Druck",Allgemein,nach 1877
2259664,D (62 A 277) 1192/1980,Die Verehrung des heiligsten Antlitzes Jesu Christi.,Kanisius-Verlag,MEKBucherundDokumente,Verlagsbroschur,Allgemein,1976
2318319,D (62 A 79) 143/1972,Andachts-Büchlein. Maria unsere Zuflucht.,"Verlag und Devotionalienhandlung Gottfried Bonn, Walldürn",MEKBucherundDokumente,"Broschur, Klammerheftung",Allgemein,1972
2239876,D (62 B 105) 311/1985,"Kindergymnastik in Spiel und Reim. Das schöne, gesunde Kind durch lebendige Bewegungsformen und natürliche Ernährung.",,MEKBucherundDokumente,"Heft mit Kartonumschlag, geklammert",Allgemein,1930
2240538,D (62 B 107) 508/1987,Die Feier der Kindertaufe,,MEKBucherundDokumente,"Farbiger Kartonumschlag, geklammert",Allgemein,1983
2241221,D (62 B 109) 289/1985,Der deutsche Offiziersbursche. Ein Lehr- und Lesebuch zum Selbstunterricht.,,MEKBucherundDokumente,"Kartonumschlag (Leinenstruktur), geklammert",Allgemein,1911
2279925,D (62 B 11) 117/1970,Vierzig Rähtsel nebst einem Würfelspiel zur Unterhaltung in langen Winterabenden,,MEKBucherundDokumente,Druck,Allgemein,1799
2241489,D (62 B 110) 153/1983,Der Hochzeits- & Polterabenddichter,,MEKBucherundDokumente,"Broschur"";"" Papierumschlag geklammert",Allgemein,1929
2242165,D (62 B 111) 97/1984,Polterabend-Gedichte,,MEKBucherundDokumente,Papierumschlag geklammert,Allgemein,um 1910
2294645,D (62 B 113) 3/1988,Liebhabertheater No: 621. Für Vereine und fröhliche Gesellschaften.,,MEKBucherundDokumente,Heft mit Papierumschlag geklammert,Allgemein,um 1910
