ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1530945,"I (62 E) 75/1957,1",Wanderbuch für den Nagelschmied Treu aus Hagenow,,MEKDiverse,,Allgemein,1842
1530958,"I (62 E) 75/1957,2",Wanderbuch für den Müllergesellen Thorow aus Wittenburg,,MEKDiverse,,Allgemein,1857
1530997,"I (62 E) 75/1957,3",Wanderbuch für den Rad- und Stellmacher Joachim Stabe aus Altona,,MEKDiverse,,Allgemein,1828
2294002,o. Nr.,,,MEKDiverse,,Allgemein,
2341965,o. Nr.,,,MEKDiverse,Druck,Allgemein,2017
2341988,o. Nr.,,,MEKDiverse,,Allgemein,2017
2341996,o. Nr.,,,MEKDiverse,"Holz, Glas",Allgemein,2017
2342023,o. Nr.,,,MEKDiverse,Alu-Dibond,Allgemein,2017
2342033,o. Nr.,,,MEKDiverse,"Holz, Glas",Allgemein,
2346678,o. Nr.,"Bei Genthin, Film: 4./56",,MEKDiverse,Fotografie,Allgemein,
2346679,o. Nr.,,"Niehoff, Heinz Julius",MEKDiverse,"Pappe, Papier, Fotografie",Allgemein,1932
2346681,o. Nr.,,"Niehoff, Heinz Julius",MEKDiverse,"Pappe, Papier, Fotografie",Allgemein,
2346684,o. Nr.,"Spergau, 2. Febr. 1929, Lichtmeßfest","Niehoff, Heinz Julius",MEKDiverse,"Papier, Fotografie",Allgemein,1929
572691,I (10 AC) 11.77/1,Flitterwochen-Service,VEB Porzellanwerk Lichte,MEKDiverse,Porzellan,Allgemein,vor 1975
580390,I (10 AC) 264/1964,,PGH Töpferkunst Herbert Jürgel,MEKDiverse,Keramik,Allgemein,
574843,"I (10 AC) 265/1964,1-21",,PGH Töpferkunst Herbert Jürgel,MEKDiverse,Keramik,Allgemein,
562232,"I (18 Q) 395/1989,b",,,MEKDiverse,,Allgemein,1905
568992,I (3 N) 1/1982,,,MEKDiverse,"Glas, Holz",Allgemein,vor 1900/um 1900
568982,I (3 N) 168/1986,,,MEKDiverse,Holz,Allgemein,
568983,I (3 N) 181/1986,,,MEKDiverse,Holz,Allgemein,
568984,I (3 N) 185/1986,,,MEKDiverse,"Holz, Glas",Allgemein,
