ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2592617,,"Neue Hutmode, Mailand","Groth-Schmachtenberger, Erika",MEKEuropabis1999,,Allgemein,1938
2575919,II A 1,,"Bartels, Maximilian",MEKEuropabis1999,Holz,Allgemein,
2581351,II A 494,,"Konietzko, Julius",MEKEuropabis1999,,Textilie,
2222747,"II A 3392 ,b",,Porcelaine de Limoges,MEKEuropabis1999,Porzellan,Allgemein,1966
2222725,"II A 4334 ,a",,,MEKEuropabis1999,rot-beige glasierte Keramik mit Lochmuster,Allgemein,1882
2222572,"II A 5282 ,b", ,"Köpke, Wulf",MEKEuropabis1999,"Irdenware, rötlich, ocker",Allgemein,um 1940
2564845,II A 6446,,"Köpke, Wulf",MEKEuropabis1999,Palmblätter,Allgemein,
2222753,"II A 6924 ,a-f",,"Köpke, Wulf",MEKEuropabis1999,"Ton, glasiert",Allgemein,
2417920,II B 2926 b,,"Küppers-Sonnenberg, Dr. Gustav Adolf",MEKEuropabis1999,"Stroh, geflochten",Allgemein,um 1937
2389860,II B 7465 a-j,,,MEKEuropabis1999,,Allgemein,1960er Jahre ca.
2222623,"II B 9865 ,a-h",,,MEKEuropabis1999,Keramik,Allgemein,um 1950
2222633,"II B 9865 ,h",,,MEKEuropabis1999,Keramik,Allgemein,um 1950
2612776,II C 986 c,,"Siemssen, Ferdinand",MEKEuropabis1999,Rentierhorn,Allgemein,vor 1882
2437475,II C 8888,,,MEKEuropabis1999,,Allgemein,
2566099,II X 1100 a-b,,,MEKEuropabis1999,Holz,Allgemein,
502265,"II A 2 ,a-b",,"Bartels, Maximilian",MEKEuropabis1999,"Holz, Flachschnitzerei",Allgemein,1901
502253,II A 3,,"Bartels, Maximilian",MEKEuropabis1999,,Allgemein,
502255,II A 4,,"Bartels, Maximilian",MEKEuropabis1999,"Hammelknochen, gefärbt",Allgemein,
502256,II A 5,,"Bartels, Maximilian",MEKEuropabis1999,Schafswolle,Textilie,
502260,II A 6,,"Bartels, Maximilian",MEKEuropabis1999,Schafsknochen,Allgemein,
502269,II A 7,,"Bartels, Maximilian",MEKEuropabis1999,"Knochen vom Schaf, Watte, Glasflasche",Allgemein,
502270,II A 8,,,MEKEuropabis1999,,Allgemein,
502271,II A 9,,,MEKEuropabis1999,,Allgemein,
502273,II A 10,,,MEKEuropabis1999,,Allgemein,
502274,II A 11,,,MEKEuropabis1999,,Allgemein,
517200,II A 12,,"Bartels, Maximilian",MEKEuropabis1999,,Allgemein,
517201,II A 13,,"Bartels, Maximilian",MEKEuropabis1999,,Allgemein,
517202,II A 14,,"Bartels, Maximilian",MEKEuropabis1999,,Allgemein,
517203,II A 15,,"Bartels, Maximilian",MEKEuropabis1999,,Allgemein,
517204,II A 16,,"Bartels, Maximilian",MEKEuropabis1999,Scherben sandfarbener Ton,Allgemein,1887
517205,II A 17,,"Bartels, Maximilian",MEKEuropabis1999,"Scherben sandfarbener Ton, Manganoxydfarbe, Bleiglas",Allgemein,1887
517206,II A 18,,"Bartels, Maximilian",MEKEuropabis1999,"Scherben hellbrauner Ton, im Fuß mit Manganoxyd gefärbtes Bleiglas",Allgemein,um 1900
517207,II A 19,,"Konietzko, Julius",MEKEuropabis1999,Ton,Allgemein,
517208,II A 20,,"Konietzko, Julius",MEKEuropabis1999,"Leder, Hornstöpsel",Allgemein,
517209,II A 21,,"Konietzko, Julius",MEKEuropabis1999,Eisen,Allgemein,
517210,II A 22,,"Konietzko, Julius",MEKEuropabis1999,"Leder, Holz",Allgemein,
517211,II A 23,,"Konietzko, Julius",MEKEuropabis1999,"Schaffell, Wolle",Allgemein,
517212,II A 24,,"Konietzko, Julius",MEKEuropabis1999,Lungenbein des Schafs,Allgemein,
517213,II A 25,,"Konietzko, Julius",MEKEuropabis1999,,Allgemein,1935
517214,II A 26,,"Konietzko, Julius",MEKEuropabis1999,Bronze,Allgemein,
517215,II A 27,,"Konietzko, Julius",MEKEuropabis1999,Bronze,Allgemein,
517216,II A 28,,"Konietzko, Julius",MEKEuropabis1999,Bronze  ,Allgemein,1935
517217,II A 29,,"Konietzko, Julius",MEKEuropabis1999,Bronze,Allgemein,
517218,II A 30,,"Konietzko, Julius",MEKEuropabis1999,Bronze,Allgemein,
517219,II A 31,,"Konietzko, Julius",MEKEuropabis1999,Bronze,Allgemein,
517220,II A 32,,"Konietzko, Julius",MEKEuropabis1999,Bronze,Allgemein,1935
517221,II A 33,,"Konietzko, Julius",MEKEuropabis1999,Ton,Allgemein,
517222,II A 34,Brocchitu Pintau,"Konietzko, Julius",MEKEuropabis1999,"Ton, glasiert",Allgemein,vor 1935
517223,II A 35,brocchitu pintau,"Konietzko, Julius",MEKEuropabis1999,"Ton, glasiert",Allgemein,vor 1935
517224,II A 36,brocchitu pintau,"Konietzko, Julius",MEKEuropabis1999,"Ton, glasiert",Allgemein,vor 1935
517225,II A 37,congiu,"Konietzko, Julius",MEKEuropabis1999,"Ton, glasiert",Allgemein,vor 1935
517226,II A 38,crobi,"Konietzko, Julius",MEKEuropabis1999,Korb,Allgemein,vor 1935
517227,II A 39,crobedda,"Konietzko, Julius",MEKEuropabis1999,Korb,Allgemein,vor 1935
517228,II A 40,cibiru,"Konietzko, Julius",MEKEuropabis1999,Stroh geflochten,Allgemein,vor 1935
517229,II A 41,crobedda,"Konietzko, Julius",MEKEuropabis1999,"Korb, geflochten",Allgemein,vor 1935
517230,II A 42,,"Konietzko, Julius",MEKEuropabis1999,Korkrinde,Allgemein,vor 1935
517231,"II A 43 ,a-b",croccoriga,"Konietzko, Julius",MEKEuropabis1999,"Kürbis, Schnur",Allgemein,vor 1935
517232,"II A 44 ,a-b",,"Konietzko, Julius",MEKEuropabis1999,"Korkrinde, Holz, Nägel",Allgemein,vor 1935
517233,II A 45,crobi,"Konietzko, Julius",MEKEuropabis1999,"Korb, geflochten",Allgemein,vor 1935
517234,II A 46,crobi,"Konietzko, Julius",MEKEuropabis1999,"Korb, geflochten",Allgemein,vor 1935
517235,II A 47,arrosticeri,"Konietzko, Julius",MEKEuropabis1999,"Eisen, genietet",Allgemein,vor 1935
517236,II A 48,,"Konietzko, Julius",MEKEuropabis1999,Holz,Allgemein,vor 1935
517237,II A 49,croccoriga,"Konietzko, Julius",MEKEuropabis1999,Ton,Allgemein,vor 1935
517238,II A 50,,"Konietzko, Julius",MEKEuropabis1999,Holz,Allgemein,Mitte 19. Jahrhundert
517239,II A 51,,"Konietzko, Julius",MEKEuropabis1999,Holz,Allgemein,vor 1935
517240,II A 52,pratu froriau,"Konietzko, Julius",MEKEuropabis1999,"Ton, glasiert",Allgemein,vor 1935
517241,"II A 53 ,a-c",salidordju,"Konietzko, Julius",MEKEuropabis1999,Kork,Allgemein,vor 1935
517242,II A 54,crobi,"Konietzko, Julius",MEKEuropabis1999,Korb,Allgemein,vor 1935
517243,II A 55,prezida,"Konietzko, Julius",MEKEuropabis1999,,Allgemein,vor 1935
517244,"II A 56 ,a-b",scateddeddu,"Konietzko, Julius",MEKEuropabis1999,Korb,Allgemein,vor 1935
517245,"II A 57 ,a-b",scateddeddu,"Konietzko, Julius",MEKEuropabis1999,Korb,Allgemein,vor 1935
517246,II A 58,,"Konietzko, Julius",MEKEuropabis1999,"Korb geflochten, Kürbis",Allgemein,vor 1935
517247,II A 59,,"Konietzko, Julius",MEKEuropabis1999,Holz,Allgemein,vor 1935
517248,II A 60,crobi,"Konietzko, Julius",MEKEuropabis1999,Korb,Allgemein,vor 1935
517249,II A 61,crobi,"Konietzko, Julius",MEKEuropabis1999,Korb,Allgemein,vor 1935
517250,II A 62,crobi,"Konietzko, Julius",MEKEuropabis1999,Korb,Allgemein,vor 1935
517251,II A 63,,"Konietzko, Julius",MEKEuropabis1999,Korb,Allgemein,vor 1935
517252,II A 64,cibiru,"Konietzko, Julius",MEKEuropabis1999,Korb geflochten,Allgemein,vor 1935
517253,II A 65,broccitu,"Konietzko, Julius",MEKEuropabis1999,"Ton, glasiert",Allgemein,vor 1935
517254,II A 66,palma,"Konietzko, Julius",MEKEuropabis1999,Palmzweig,Allgemein,vor 1935
517255,II A 67,cavunazzu,"Konietzko, Julius",MEKEuropabis1999,"Holz, Metall",Allgemein,vor 1935
517256,II A 68,Candelleri,"Konietzko, Julius",MEKEuropabis1999,Holz,Allgemein,vor 1935
517257,II A 69,candela,"Konietzko, Julius",MEKEuropabis1999,"Eisen (blech), gelötet, Stoff",Allgemein,vor 1935
517258,II A 70,,"Konietzko, Julius",MEKEuropabis1999,"Eisen (blech), gedreht",Allgemein,vor 1935
