ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2584613,D (32 L 367) 708/1986,,,MEKFotografie,Fotos,Fotografie,um 1914
2584614,"D (32 L 367) 708/1986,2",,,MEKFotografie,s/w Fotografie,Fotografie,um 1914
1508189,D (74 C 1) 81/1992,,,MEKFotografie,,Allgemein,
1508238,D (74 C 10) 450/1995,,,MEKFotografie,,Allgemein,
1508245,D (74 C 11) 365/1995a-c,,,MEKFotografie,,Allgemein,um 1950
1508192,D (74 C 2) 727/1990,,,MEKFotografie,,Allgemein,1921
1508195,D (74 C 3) 365/1995,,,MEKFotografie,,Allgemein,1950 - 1960
1508201,D (74 C 4) 365/1995,,,MEKFotografie,,Allgemein,1950 - 1960
1508208,D (74 C 5) 365/1995,,,MEKFotografie,,Allgemein,1960 - 1970
1508214,D (74 C 6) 365/1995,,,MEKFotografie,,Allgemein,1950 - 1960
1508218,D (74 C 7) 365/1995,,,MEKFotografie,,Allgemein,1950 - 1960
1508227,D (74 C 8) 365/1995,,,MEKFotografie,,Allgemein,um 1960
1508233,D (74 C 9) 630/1995,,,MEKFotografie,,Allgemein,
1939257,D (74 D 1) 250/1980,,,MEKFotografie,kupfer getriebener Rahmen,Allgemein,
1508304,D (74 D 10) 946/1992a-b,,,MEKFotografie,"Foto, schwarz-weiß",Allgemein,01.09.1953
1509251,D (74 D 100) 632/1995,,,MEKFotografie,,Allgemein,1920er Jahre
1509255,D (74 D 101) 632/1995,,,MEKFotografie,"Foto, schwarz-weiß, als Postkarte zu verwenden",Allgemein,1930er Jahre
1509267,D (74 D 102) 632/1995,,,MEKFotografie,"Foto, schwarz-weiß, weißer Rand ca. 5 mm",Allgemein,um 1910
1509274,D (74 D 103) 632/1995,,,MEKFotografie,"Foto, schwarz-weiß, Rand gewellt geschnitten, weißer Rahmen (ca. 5 mm)",Allgemein,1910
1509290,D (74 D 104) 632/1995,,,MEKFotografie,"Foto, schwarz-weiß als Postkarte zu verwenden",Allgemein,1930er Jahre
1509293,D (74 D 105) 632/1995,,,MEKFotografie,"Foto, schwarz-weiß als Postkarte zu verwenden, weißer Rahmen (5-20 mm) gewellt, geschnitten",Allgemein,um 1910
1509295,D (74 D 106) 632/1995,,,MEKFotografie,,Allgemein,1910
1508316,D (74 D 11) 93/1984,,,MEKFotografie,"Fotos, schwarz-weiß, quer- und hochformatig",Allgemein,1929-1944
1508326,"D (74 D 12) 308/1985,2",,,MEKFotografie,"Foto, schwarz-weiß, auf brauner geprägter Pappe montiert, Tinte",Allgemein,18.08.1919
1508348,D (74 D 13) 428/1986,,,MEKFotografie,"Foto, schwarz-weiß, auf beiger, geprägter Pappe montiert",Allgemein,
1508365,D (74 D 14) 628/1986,,,MEKFotografie,"Foto, Holz, dunkel, Glas, graue Pappe, Aufhänger, Ständer",Allgemein,
1508379,D (74 D 15) 498/1983,,,MEKFotografie,"Foto, schwarz-weiß, Pappe, graues Tonpapier, Tinte",Allgemein,1928
1508385,D (74 D 16) 50/1987,,,MEKFotografie,"Foto, schwarz-weiß, Postkartenaufdruck",Allgemein,
1508394,D (74 D 17) 50/1987,,,MEKFotografie,"Fotos, schwarz-weiß, auf bedruckter Pappe montiert",Allgemein,
1508409,D (74 D 18) 50/1987,,,MEKFotografie,"Foto, schwarz-weiß, auf brauner, bedruckter Pappe montiert",Allgemein,
1508422,D (74 D 19) 50/1987,,,MEKFotografie,"Foto, schwarz-weiß, auf gelblicher Pappe montiert",Allgemein,
1508203,D (74 D 2) 308/1985,,,MEKFotografie,Foto auf Pappe montiert,Allgemein,
1508428,D (74 D 20) 50/1987,,,MEKFotografie,"Fotos, schwarz-weiß, mit dünnem weißem Rand",Allgemein,
1508474,D (74 D 21) 308/1985,,,MEKFotografie,"Foto, schwarz-weiß, Passepartout, Pappe, geprägt",Allgemein,1930er Jahre
1508478,D (74 D 23) 1066/1981,,,MEKFotografie,Foto durch Pappe verstärkt,Allgemein,um 1887
1508485,D (74 D 24) 553/1992,,,MEKFotografie,"Foto, schwarz-weiß, auf grauer Pappe montiert, Tinte",Allgemein,12.07.1908
1508494,D (74 D 25) 1017/1992,,,MEKFotografie,"Foto, schwarz-weiß, auf beiger, bedruckter (Silber) Pappe montiert",Allgemein,
1508503,D (74 D 26) 1017/1992,,,MEKFotografie,"Foto mit Postkartendruck, Zeitungsdruck, (Anzeige) ausgeschnitten, getrockneter Efeu",Allgemein,April 1920
1508521,D (74 D 27) 654/1990,,,MEKFotografie,"Foto, schwarz-weiß",Allgemein,Dezember 1918
1508536,D (74 D 28) 391/1991,,,MEKFotografie,"Foto, schwarz-weiß",Allgemein,Dezember 1949
1508546,D (74 D 29) 1118/1992,,,MEKFotografie,Schwarz-weiß-Fotografie,Allgemein,
1508213,D (74 D 3) 229/1983,,,MEKFotografie,Foto auf Pappe montiert,Allgemein,1915 - 1916
1508559,D (74 D 30) 1118/1992,,,MEKFotografie,Schwarz-weiß-Fotografie,Allgemein,
1508565,D (74 D 31) 1118/1992,,,MEKFotografie,Schwarz-weiß-Fotografie,Allgemein,1925
1508586,D (74 D 32) 1118/1992,,,MEKFotografie,Schwarz-weiß-Fotografie,Allgemein,1923
1508596,D (74 D 33) 1118/1992,,,MEKFotografie,Schwarz-weiß-Fotografie,Allgemein,1924
1508614,D (74 D 34) 1118/1992,,,MEKFotografie,Schwarz-weiß-Foto,Allgemein,1924
1508621,D (74 D 35) 1118/1992,,,MEKFotografie,Schwarz-weiß-Fotografie,Allgemein,
1508625,D (74 D 36) 1118/1992,,,MEKFotografie,Schwarz-weiß-Fotografie,Allgemein,
1508630,D (74 D 37) 1118/1992,,,MEKFotografie,Schwarz-weiß-Fotografie,Allgemein,
1508636,D (74 D 38) 1118/1992,,,MEKFotografie,Schwarz-weiß-Fotografie,Allgemein,
1508660,D (74 D 39) 1118/1992,,,MEKFotografie,Schwarz-weiß-Fotografie,Allgemein,
1508275,D (74 D 4) 946/1992,,,MEKFotografie,,Allgemein,
1508740,D (74 D 40) 1118/1992,,,MEKFotografie,Schwarz-weiß-Fotografie,Allgemein,
1508756,D (74 D 41) 1118/1992,,,MEKFotografie,Schwarz-weiß-Fotografie,Allgemein,
1508761,D (74 D 42) 1118/1992,,,MEKFotografie,Schwarz-weiß-Fotografie,Allgemein,
1508766,D (74 D 43) 1118/1992,,,MEKFotografie,Schwarz-weiß-Fotografie,Allgemein,
1508770,D (74 D 44) 1118/1992,,,MEKFotografie,schwarz-weiß-Fotografie,Allgemein,
1508773,D (74 D 45) 1118/1992,,,MEKFotografie,schwarz-weiß-Fotografie,Allgemein,
1508783,D (74 D 46) 1118/1992,,,MEKFotografie,schwarz-weiß-Fotografie,Allgemein,1922
1508789,D (74 D 47) 1118/1992,,,MEKFotografie,schwarz-weiß-Fotografie,Allgemein,
1508792,D (74 D 48) 1118/1992,,,MEKFotografie,schwarz-weiß-Fotografie,Allgemein,
1508797,D (74 D 49) 81/1992,,,MEKFotografie,schwarz-weiß-Fotografie,Allgemein,1968
1508276,D (74 D 5) 454/1983,,,MEKFotografie,"Foto, Holz gefräst mit Silberüberzug, Glas, auf bedruckter und verzierter Pappe montiert",Allgemein,
1508799,D (74 D 50) 81/1992,,,MEKFotografie,schwarz-weiß-Fotografie,Allgemein,um 1970
1508801,D (74 D 51) 81/1992,,,MEKFotografie,schwarz-weiß-Fotografie,Allgemein,1972
1508803,D (74 D 52) 81/1992,,,MEKFotografie,"schwarz-weiß-Fotografie, Kleinbildaufnahme",Allgemein,
1508804,D (74 D 53) 81/1992,,,MEKFotografie,schwarz-weiß-Fotografie,Allgemein,1951?
1508805,D (74 D 54) 81/1992,,,MEKFotografie,schwarz-weiß-Fotografie,Allgemein,1972
1508807,D (74 D 55) 81/1992,,,MEKFotografie,schwarz-weiß-Fotografie,Allgemein,1965
1508809,D (74 D 56) 81/1992,,,MEKFotografie,schwarz-weiß-Fotografie,Allgemein,1962
1508813,D (74 D 57) 81/1992,,,MEKFotografie,schwarz-weiß-Fotos,Allgemein,1920
1508816,D (74 D 58) 81/1992,,,MEKFotografie,"schwarz-weiß-Fotografien, Kleinbildaufnahmen",Allgemein,1955
1508834,D (74 D 59) 81/1992,,,MEKFotografie,schwarz-weiß-Fotografie,Allgemein,
