ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1682297,o. Nr,SandLand von Akira Toriyama,"Schubinski, Nicole",MEKLeihnahmen,"Papier, gedruckt, Softcover",Allgemein,2000
1607806,o. Nr.,,,MEKLeihnahmen,"Papier, Glasperlen"";"" gedruckt, gefädelt",Allgemein,1892
1608072,o. Nr.,,,MEKLeihnahmen,Metall vercromt,Allgemein,1980 - 1990
1614280,o. Nr.,,,MEKLeihnahmen,,Allgemein,1920er Jahre
1620692,o. Nr.,,,MEKLeihnahmen,Chromolithographie,Allgemein,
1620697,o. Nr.,Kleopatra,,MEKLeihnahmen,"Papier, bedruckt",Allgemein,
1621124,o. Nr.,ПЭКО (Peko),,MEKLeihnahmen,"Papier, bedruckt",Allgemein,
1621540,o. Nr.,Rauchfrei in Friedrichshain-Kreuzberg,,MEKLeihnahmen,"Papier, bedruckt",Allgemein,
1635971,o. Nr.,Miadal mit Tatzl,,MEKLeihnahmen,"Leinen, gestärkt""; handgenäht und bestickt;"" Spitzenkragen",Allgemein,ca. 1935
1635975,o. Nr.,,,MEKLeihnahmen,"Baumwoll- und Wollgewebe, bestickt",Allgemein,ca. 1935
1635976,o. Nr.,glitzada Schuaz,,MEKLeihnahmen,"Leinengewebe, gechinzt und plissiert"";"" Borte",Allgemein,ca. 1935
1635979,o. Nr.,,,MEKLeihnahmen,"Baumwollgewebe, hand- und maschinengenäht, plissiert",Allgemein,nach 1950
1635980,o. Nr.,,,MEKLeihnahmen,"Wolle, gestrickt",Allgemein,ca. 1935
1635981,o. Nr.,Bankerl,,MEKLeihnahmen,"Baumwollgewebe und Borte, handgenäht",Allgemein,ca. 1935
1656195,o. Nr.,SILLY-MICKY LACHPARADE,,MEKLeihnahmen,"Papier, bedruckt",Allgemein,1934
1656205,o. Nr.,We Willie Winkies World,,MEKLeihnahmen,"Papier, bedruckt",Allgemein,4.11.1906
1656287,o. Nr.,Krazy Kat,"Herriman, George",MEKLeihnahmen,"Papier, bedruckt",Allgemein,um 1920
