ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2280121,"D (35 D 50) 829/1986,b",Weihnachtssterne,Wartburg Verlag Max Keßler Jena,MEKSpielzeug,"Papier, Druck",Allgemein,1986
2285479,D (35 K 180)F 161,,,MEKSpielzeug,,Allgemein,1920 - 1930
2221914,D (35 K) 307/1990,,,MEKSpielzeug,"Metall, Glas, Holz, Keramik, Kunststoff",Allgemein,
2638582,D (35 L) 369/1990,,,MEKSpielzeug,,,
2638583,D (35 L) 527/1990,,,MEKSpielzeug,,,
2348636,D (36 E) 533/1976,"Undine, die Wassernixe. Romantische Sage in sechs Akten mit Gesang.",Verlag Gustav Weise,MEKSpielzeug,"Papier, Druck, Klammerheftung",Allgemein,
2037976,A (35 M 1) 6/1916,,,MEKSpielzeug,"Holz, bemalt",Allgemein,
1501825,D (35 B 42) 604/1985a-c,,,MEKSpielzeug,,Allgemein,1985
1568804,"D (35 H) 502/1988,7",Knecht Ruprecht,Berliner Zinnfiguren-Kabinett Werner Scholtz,MEKSpielzeug,"Zinnlegierung, gegossen, bemalt",Allgemein,nach 1934
1568813,"D (35 H) 502/1988,8",,,MEKSpielzeug,"Zinnlegierungen, gegossen, z.T. bemalt",Allgemein,
1970308,D (35 J 131) 76/1986,,,MEKSpielzeug,"Chromolithographie, geprägt und gestanzt",Allgemein,
1572387,"D (35 J) 502/1988,36",,Fa. Schleich,MEKSpielzeug,Kunststoff,Allgemein,vor 1988
1572388,"D (35 J) 502/1988,37,a-c",,,MEKSpielzeug,"Holz, Leder, Gips, Textil, Tannenzapfen",Allgemein,vor 1988
1656103,"D (35 M 115) 217/1995,a-c",,Mattel Inc.,MEKSpielzeug,Kunststoff,Allgemein,1987
1500183,D (35 M 156) 835/1993,,,MEKSpielzeug,,Allgemein,
1656069,"D (35 M 53) 905/1984,b",,,MEKSpielzeug,"Eichenholz, geschnitzt, gedrechselt, lackiert, gebeizt",Allgemein,Ende 19. Jahrhundert
1656072,"D (35 M 53) 905/1984,c",,,MEKSpielzeug,"Eichenholz, geschnitzt, gedrechselt, lackiert, gebeizt",Allgemein,Ende 19. Jahrhundert
1656075,"D (35 M 53) 905/1984,d",,,MEKSpielzeug,"Eichenholz, geschnitzt, gedrechselt, lackiert, gebeizt",Allgemein,Ende 19. Jahrhundert
1656078,"D (35 M 53) 905/1984,e",,,MEKSpielzeug,"Eichenholz, geschnitzt, gedrechselt, lackiert, gebeizt",Allgemein,Ende 19. Jahrhundert
1909360,"D (35 O 24) 1310/1992,b",,,MEKSpielzeug,"Kunststoff, geklebt",Allgemein,
1655991,"D (35 Q 14) 108/1987,b",,,MEKSpielzeug,"Blech, bemalt, gestanzt",Allgemein,1930er Jahre
