ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2387668,100,,,MIMArchivalien,,Archivalie - Sonstiges,
2575017,1003,,,MIMArchivalien,,Archivalie - Sonstiges,
2575064,1019,,,MIMArchivalien,,Archivalie - Sonstiges,
2387669,102,,,MIMArchivalien,,Archivalie - Sonstiges,
2575065,1020,,,MIMArchivalien,,Archivalie - Sonstiges,
2575136,1021,,,MIMArchivalien,,Archivalie - Sonstiges,
2575137,1022,,,MIMArchivalien,,Archivalie - Sonstiges,
2575138,1023,,,MIMArchivalien,,Archivalie - Sonstiges,
2575149,1024,,,MIMArchivalien,,Archivalie - Sonstiges,
2575158,1025,,,MIMArchivalien,,Archivalie - Sonstiges,
2575176,1026,,,MIMArchivalien,,Archivalie - Sonstiges,
2575178,1027,,,MIMArchivalien,,Archivalie - Sonstiges,
2575180,1028,,,MIMArchivalien,,Archivalie - Sonstiges,
2575189,1029,,,MIMArchivalien,,Archivalie - Sonstiges,
2387673,103,,,MIMArchivalien,,Archivalie - Sonstiges,
2575193,1030,,,MIMArchivalien,,Archivalie - Sonstiges,
2575216,1031,,,MIMArchivalien,,Archivalie - Sonstiges,
2575260,1032,,,MIMArchivalien,,Archivalie - Sonstiges,
2578192,1033,,,MIMArchivalien,,Archivalie - Sonstiges,
2578195,1034 a+b,,,MIMArchivalien,,Archivalie - Sonstiges,
2578198,1035,,,MIMArchivalien,,Archivalie - Sonstiges,
2578200,1036,,,MIMArchivalien,,Archivalie - Sonstiges,
2578202,1037,,,MIMArchivalien,,Archivalie - Sonstiges,
2578205,1038,,,MIMArchivalien,,Archivalie - Sonstiges,
2578208,1039,,,MIMArchivalien,,Archivalie - Sonstiges,
2387675,104,,,MIMArchivalien,,Archivalie - Sonstiges,
2578213,1040,,,MIMArchivalien,,Archivalie - Sonstiges,
2575035,1042,,,MIMArchivalien,,Archivalie - Sonstiges,
2578239,1060,,,MIMArchivalien,,Archivalie - Sonstiges,
2387676,107,,,MIMArchivalien,,Archivalie - Sonstiges,
2387678,108,,,MIMArchivalien,,Archivalie - Sonstiges,
2387680,109,,,MIMArchivalien,,Archivalie - Sonstiges,
2387687,114,,,MIMArchivalien,,Archivalie - Sonstiges,
2578257,1183,,,MIMArchivalien,,Archivalie - Sonstiges,
2578408,1186,,,MIMArchivalien,,Archivalie - Sonstiges,
2386033,12,,,MIMArchivalien,,Archivalie - Sonstiges,
2387689,120,,,MIMArchivalien,,Archivalie - Sonstiges,
2578454,1202,,,MIMArchivalien,,Archivalie - Sonstiges,
2582097,1203,,,MIMArchivalien,,Archivalie - Sonstiges,
2582098,1204,,,MIMArchivalien,,Archivalie - Sonstiges,
2582099,1205,,,MIMArchivalien,,Archivalie - Sonstiges,
2581346,1206,,,MIMArchivalien,,Archivalie - Sonstiges,
2578274,1209,,,MIMArchivalien,,Archivalie - Sonstiges,
2582875,1213,,,MIMArchivalien,,Archivalie - Sonstiges,
2582880,1238,,,MIMArchivalien,,Archivalie - Sonstiges,
