ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1501135,,Ludwig van Beethoven,Unbekannt,MIMBestand2,,Skulptur,
1501136,,Simone Fernando Sacconi,Unbekannt,MIMBestand2,,Skulptur,1.Hälfte 20. Jahrhundert
1501139,,"Figuren, z. T. aus Holz geschnitzt, z. T. Gipsabgussabgussabgüsse",Unbekannt,MIMBestand2,,Skulptur,
1544954,,Geigenschablonen aus dem Nachlass der Müller-Werkstatt,,MIMBestand2,,Musikinstrument,
1544959,,Geigenschablonen aus dem Nachlass der Müller-Werkstatt,,MIMBestand2,,Musikinstrument,
1617861,,"Doppelhorn, Modell Horner","Kruspe, Eduard",MIMBestand2,"Messing mit Neusilberzügen, -drückern, -stützen und -haken, 4 Ventile mit Schnurgelenkmechanik",Musikinstrument,nach 1904
1721356,,,,MIMBestand2,,Archivalie - Sonstiges,
1721357,,Stege vom Hackbrett,Unbekannt,MIMBestand2,,Musikinstrument,
1721471,,Karton mit Darmsaiten,Unbekannt,MIMBestand2,Darmsaiten/ Darm für industrielle oder medizinische Zwecke (?) ca. 500 Stück,Musikinstrument,
1879260,,Hackbrett,Unbekannt,MIMBestand2,,Musikinstrument,
1884972,,Liebesflöte,Unbekannt,MIMBestand2,,Musikinstrument,
1886602,,Schwegelpfeife,Unbekannt,MIMBestand2,,Musikinstrument,
1912678,,Streichzither,Unbekannt,MIMBestand2,,Musikinstrument,
2031055,,Kurbel,Unbekannt,MIMBestand2,,Musikinstrument,
2031059,,"Klaviaturläufer, beige",Unbekannt,MIMBestand2,,Musikinstrument,
2031061,,"Klaviaturläufer, dunkelrot",Unbekannt,MIMBestand2,,Musikinstrument,
2031062,,Rahmen mit Textilbespannung,Unbekannt,MIMBestand2,,Allgemein,
2031063,,Anhangleiste Cembalo,Unbekannt,MIMBestand2,,Musikinstrument,
2031065,,Resonanzbodendeckel Tafelklavier,Unbekannt,MIMBestand2,,Musikinstrument,
2033831,,Koffergrammophon,Telefunken A. G.,MIMBestand2,,Gerät,
2033951,,Koffergrammophon,Unbekannt,MIMBestand2,,Gerät,
2033952,,"Tischgrammophon """"""""Grand Gala",Unbekannt,MIMBestand2,,Gerät,
2033953,,Schallplattenständer,Unbekannt,MIMBestand2,,Mobiliar,
2033954,,"Edison Phonograph """"""""Gem",Edison Phonograph Company,MIMBestand2,,Gerät,
2033955,,Phonographentrichter,Unbekannt,MIMBestand2,,Gerät,
2033956,,Wachswalzen-Löschgerät,Unbekannt,MIMBestand2,,Gerät,
2033957,,"Koffertonbandgerät """"""""Smaragd",VEB Messgerätewerk Zwönitz,MIMBestand2,,Gerät,
2033958,,Koffertonbandgerät Tesla,Tesla,MIMBestand2,,Gerät,
2033959,,Mikrophon RFT,Unbekannt,MIMBestand2,,Gerät,
2033960,,Cellobrett,Unbekannt,MIMBestand2,,Musikinstrument,
2044459,,Thaddeus Cahill mit seinem rund 200 Tonnen schweren und maschinenraumgroßen Dynamophon / Telharmonium,Unbekannt,MIMBestand2,"Foto / Druck, Fotografie",Fotografie,o.J. (um 1900)
2049652,,Modell für 16‘-Saiten am Cembalo,"Rase, Horst",MIMBestand2,,Modell,1995
2264612,,"Karton mit diversen Saiten, Stegschüben und Schlagbrett",Unbekannt,MIMBestand2,,Musikinstrument,
2264614,,Karton mit unterlegbaren Zithernoten,Unbekannt,MIMBestand2,,Musikinstrument,
2264615,,Karton mit Saitenresten und Profilabdrücken,Unbekannt,MIMBestand2,,Musikinstrument,
2264616,,Notenpult für ein Tasteninstrument,Unbekannt,MIMBestand2,,Musikinstrument,
2264617,,"Kabel, vermutlich für einen Phonographen",Unbekannt,MIMBestand2,,Musikinstrument,
2264618,,"Kabel, vermutlich für einen Phonographen",Unbekannt,MIMBestand2,,Musikinstrument,
2264619,,"Kabel, vermutlich für einen Phonographen",Unbekannt,MIMBestand2,,Musikinstrument,
2264620,,"Kabel, vermutlich für einen Phonographen",Unbekannt,MIMBestand2,,Musikinstrument,
2264621,,"Kabel, vermutlich für einen Phonographen",Unbekannt,MIMBestand2,,Musikinstrument,
2264622,,"Kabel, vermutlich für einen Phonographen",Unbekannt,MIMBestand2,,Musikinstrument,
2266005,,"Maestro"""""""" Stimmpfeife für Gitarre",Heriba music parts,MIMBestand2,,Musikinstrument,2. Hälfte 20. Jahrhundert
2266007,,"Maestro"""""""" Stimmpfeife für Violine / Mandoline",Heriba music parts,MIMBestand2,,Musikinstrument,2. Hälfte 20. Jahrhundert
2266060,,Stimmpfeife für Geige,Unbekannt,MIMBestand2,,Musikinstrument,20. Jahrhundert
2266061,,Stimmhammer,Unbekannt,MIMBestand2,,Musikinstrument,17./18. Jahrhundert
2266062,,Stimmhammer mit Haken,Unbekannt,MIMBestand2,,Musikinstrument,19. Jahrhundert
2266063,,Stimmhammer mit Haken,Unbekannt,MIMBestand2,,Musikinstrument,19. Jahrhundert
2266079,,Stimmwirbelmodell,"Rase, Horst",MIMBestand2,,Modell,1998
2266081,,Springermodell,"Rase, Horst",MIMBestand2,,Modell,1998
2266082,,Intoniernadelhalter,Unbekannt,MIMBestand2,,Musikinstrument,
2266085,,Brennzange,Unbekannt,MIMBestand2,,Musikinstrument,
2266142,,Hammerkopf-Befilzkluppe,Unbekannt,MIMBestand2,,Musikinstrument,
2266143,,Hammerkopf-Befilzzange,Unbekannt,MIMBestand2,,Musikinstrument,
2266146,,Stimmkrücke,Unbekannt,MIMBestand2,,Musikinstrument,
2266147,,Stechzirkel,Unbekannt,MIMBestand2,,Allgemein,
2266149,,Schieblehre,Unbekannt,MIMBestand2,,Allgemein,
2266150,,Holzgewindeschneider,Unbekannt,MIMBestand2,,Allgemein,
2266151,,Zieheisen,Unbekannt,MIMBestand2,,Allgemein,
2266152,,Tastenklemme,Unbekannt,MIMBestand2,,Musikinstrument,
2266153,,Aushaueisen,Unbekannt,MIMBestand2,,Allgemein,
2266154,,Filz-Ledermesser,Unbekannt,MIMBestand2,,Allgemein,
2266155,,Xylothek,"Ernst, Friedrich",MIMBestand2,,Allgemein,
2266156,,Xylothek,Unbekannt,MIMBestand2,,Allgemein,
2266157,,Bandonion,Unbekannt,MIMBestand2,,Musikinstrument,
2266158,,Akkordeon,Unbekannt,MIMBestand2,,Musikinstrument,
2266891,,Schallplattenspieler,Unbekannt,MIMBestand2,,Gerät,
2266892,,Karton mit elektronischen Bauteilen,Unbekannt,MIMBestand2,,Allgemein,
2266893,,Tonbandgerät,Unbekannt,MIMBestand2,,Gerät,
2266894,,Tonbandgerät,Unbekannt,MIMBestand2,,Gerät,
2266895,,Tonbandgerät,Unbekannt,MIMBestand2,,Gerät,
2266896,,Schallplattenständer,Unbekannt,MIMBestand2,,Allgemein,
2266897,,Schallplattenspieler,Braun GmbH,MIMBestand2,,Gerät,
2266898,,Schallplattenspieler,Braun GmbH,MIMBestand2,,Gerät,
2266900,,Radioempfänger,Braun GmbH,MIMBestand2,,Gerät,
2266902,,Schallplattenspieler,Thorens,MIMBestand2,,Gerät,
2266903,,"Tonbandgerät """"""""Magnetophon",Telefunken A. G.,MIMBestand2,,Gerät,
2285460,,DHM 89 B2 stereo,Publison audio professional,MIMBestand2,,Musikinstrument,1978
2285463,,Studio Sampler Keyboard KB 2000,Publison audio professional,MIMBestand2,,Musikinstrument,1978
2285583,,Linn Drum,Linn Electronics,MIMBestand2,,Musikinstrument,1982 - 1985
2285584,,EWI-USB,Akai Professional,MIMBestand2,,Musikinstrument,2009
2285586,,Yamaha Clavinova CLP-360,Yamaha,MIMBestand2,,Musikinstrument,1990
2395395,,Fragment einer Mechanik,Unbekannt,MIMBestand2,,Musikinstrument,
2395396,,Flötenspielwerk,Unbekannt,MIMBestand2,,Musikinstrument,
2401556,,Pianophon,Beleton,MIMBestand2,,Musikinstrument,um 1950
2401672,,Basspfeife für ein Flötenspielwerk,Unbekannt,MIMBestand2,,Musikinstrument,
2423638,,Frequenzzähler,"Zander, Horst",MIMBestand2,,Gerät,1980 - 1990
2427654,,Rundfunkempfänger CE 12,Braun GmbH,MIMBestand2,,Gerät,1955 - 1965
2427655,,Audioverstärker CSV 13/1,Braun GmbH,MIMBestand2,,Gerät,1955 - 1965
2427656,,Audioverstärker CV 11,Braun GmbH,MIMBestand2,,Gerät,1955 - 1965
2427657,,Lautsprecher LE 1,Braun GmbH,MIMBestand2,,Gerät,1955 - 1965
2437996,,"Notenpult, vergoldet",Unbekannt,MIMBestand2,,Musikinstrument,
2438820,,Harmoniumbank,Unbekannt,MIMBestand2,,Musikinstrument,
2438912,,Konvolut Geigenbauwerkzeug,Unbekannt,MIMBestand2,,Musikinstrument,
2438913,,Gitarrenstege,Unbekannt,MIMBestand2,,Musikinstrument,
2438914,,Saiten für Zupfinstrument,Unbekannt,MIMBestand2,Darm,Musikinstrument,
2438915,,Mandolinensaiten,Unbekannt,MIMBestand2,Eisen,Musikinstrument,
2438916,,Rosette,Unbekannt,MIMBestand2,,Musikinstrument,
2438917,,End- und Stegknöpfe,Unbekannt,MIMBestand2,,Musikinstrument,
2438918,,Unterlegnoten für Zither,Unbekannt,MIMBestand2,,Musikinstrument,
2438919,,Unterlegnoten für Zither,Unbekannt,MIMBestand2,,Musikinstrument,
2438920,,Zithersaite,Unbekannt,MIMBestand2,,Musikinstrument,
2438921,,"Historische Stege für Violoncello, Viola, Violine",Unbekannt,MIMBestand2,,Musikinstrument,
2438922,,Violine,Unbekannt,MIMBestand2,,Musikinstrument,
2438924,,Konvolut von drei Taschen für Musikinstrumente,Unbekannt,MIMBestand2,,Musikinstrument,
2438925,,Trageband,Unbekannt,MIMBestand2,,Musikinstrument,
2438926,,5 Klangstäbe eines Xylophons,Unbekannt,MIMBestand2,Palisander,Musikinstrument,
2440296,,Koffer für ein Blasinstrument,Unbekannt,MIMBestand2,,Musikinstrument,
2449030,,5 Spulen mit Metallsaiten für Zither,"Kiendl, Anton",MIMBestand2,,Musikinstrument,1890 - 1910
2463134,,Mechaniken für Gitarre,Unbekannt,MIMBestand2,"Metall, Zelluloid",Musikinstrument,
2463138,,Stege und Sättel für Saiteninstrumente,Unbekannt,MIMBestand2,"Ebenholz, Knochen, Elfenbein, Palisander",Musikinstrument,
2463154,,Buchsbaumwirbel für Saiteninstrumente,Unbekannt,MIMBestand2,Buchsbaum,Musikinstrument,
2463356,,Violin-Wirbel,Unbekannt,MIMBestand2,"Ebenholz, schwarz gefärbtes Holz",Musikinstrument,
2463360,,"Wirbel von Lauten, Gitarren und Violinen, Sättel, Endknöpfe",Unbekannt,MIMBestand2,"Ebenholz, Buchsbaum, Palisander, schwarz gefärbtes Holz",Musikinstrument,
2463371,,"Wirbel von Gitarren, Kastenhalslauten, Lauten, Violinen",Unbekannt,MIMBestand2,Palisander,Musikinstrument,
2463384,,Cello-Wirbel,Unbekannt,MIMBestand2,"Ebenholz, Palisander, schwarz gefärbtes Holz",Musikinstrument,
2463444,,Cello-Wirbel,Unbekannt,MIMBestand2,"Ebenholz, Palisander",Musikinstrument,
2463445,,Saitenhalter,Unbekannt,MIMBestand2,Ebenholz,Musikinstrument,
2463446,,Steckerl für Gitarre,Unbekannt,MIMBestand2,"Ebenholz, Elfenbein, Palisander, Buchsbaum, schwarzgefärbtes Holz",Musikinstrument,
