ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2352867,18200001,Tarent,,MKAntikeGriechenArchaikundKlassik650bis336,"Silber, Didrachme, 10, geprägt",Numismatik,ca. 415-390 v. Chr.
2352871,18200002,Kaulonia,,MKAntikeGriechenArchaikundKlassik650bis336,"Silber, Stater, 12, geprägt",Numismatik,ca. 525-500 v. Chr.
2352873,18200003,So-?,,MKAntikeGriechenArchaikundKlassik650bis336,"Silber, Drachme, 12, geprägt",Numismatik,ca. 525-510 v. Chr.
2352874,18200004,Kyme,,MKAntikeGriechenArchaikundKlassik650bis336,"Silber, Stater, 10, geprägt",Numismatik,ca. 420-380 v. Chr.
2352875,18200005,Thurioi,,MKAntikeGriechenArchaikundKlassik650bis336,"Silber, Distater, 11, geprägt",Numismatik,ca. 400-350 v. Chr.
2352877,18200007,Metapont,,MKAntikeGriechenArchaikundKlassik650bis336,"Silber, Stater, 12, geprägt",Numismatik,ca. 540-500 v. Chr.
2352878,18200008,Zankle (Messana),,MKAntikeGriechenArchaikundKlassik650bis336,"Silber, 1/3 Stater (Trite), 12, geprägt",Numismatik,ca. 520-500 v. Chr.
2352887,18200017,Persischer Großkönig,,MKAntikeGriechenArchaikundKlassik650bis336,"Gold, Dareikos, geprägt",Numismatik,ca. 400-330 v. Chr.
2352888,18200018,Persischer Großkönig,,MKAntikeGriechenArchaikundKlassik650bis336,"Gold, Doppeldareike, geprägt",Numismatik,ca. 400-330 v. Chr.
2352889,18200019,Persischer Satrap,,MKAntikeGriechenArchaikundKlassik650bis336,"Silber, Siglos, geprägt",Numismatik,ca. 400-330 v. Chr.
2352895,18200027,Persischer Satrap (Keranos) in Soloi,,MKAntikeGriechenArchaikundKlassik650bis336,"Silber, 3, geprägt",Numismatik,ca. 400-375 v. Chr.
2352913,18200045,Persischer Satrap,,MKAntikeGriechenArchaikundKlassik650bis336,"Silber, Stater, 12, geprägt",Numismatik,ca. 400-330 v. Chr.
2352916,18200049,Persischer Satrap in Pergamon,Gongylos (ca. 400-350 v. Chr).,MKAntikeGriechenArchaikundKlassik650bis336,"Silber, Diobol, 3, geprägt",Numismatik,ca. 400-350 v. Chr.
2352917,18200050,Persischer Satrap: Tissaphernes,Tissaphernes,MKAntikeGriechenArchaikundKlassik650bis336,"Bronze, 11, geprägt",Numismatik,ca. 411-395 v. Chr.
2352941,18200075,Aspendos,,MKAntikeGriechenArchaikundKlassik650bis336,"Silber, Stater, 4, geprägt",Numismatik,ca. 440-420 v. Chr.
2352957,18200092,Elektron,,MKAntikeGriechenArchaikundKlassik650bis336,"Elektron, Stater, geprägt",Numismatik,6. Jh. v. Chr.
2352958,18200093,Elektron,,MKAntikeGriechenArchaikundKlassik650bis336,"Elektron, 1/3 Stater (Trite), geprägt",Numismatik,ca. 600-550 v. Chr.
2352959,18200094,Elektron,,MKAntikeGriechenArchaikundKlassik650bis336,"Elektron, 1/3 Stater (Trite), geprägt",Numismatik,ca. 600-550 v. Chr.
2352960,18200095,Elektron,,MKAntikeGriechenArchaikundKlassik650bis336,"Elektron, 1/12 Stater (Hemihekte), geprägt",Numismatik,ca. 600-550 v. Chr.
