ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2352876,18200006,Abukir,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Gold, 12, geprägt",Numismatik,1. Hälfte 3. Jh. n. Chr.
2352882,18200012,Abukir,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Gold, 11, geprägt",Numismatik,1. Hälfte 3. Jh. n. Chr.
2352886,18200016,Abukir,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Gold, 12, geprägt",Numismatik,1. Hälfte 3. Jh. n. Chr.
2352890,18200020,Abukir,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Gold, 12, geprägt",Numismatik,1. Hälfte 3. Jh. n. Chr.
2352891,18200021,Abukir,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Gold, 1, geprägt",Numismatik,1. Hälfte 3. Jh. n. Chr.
2352902,18200034,Ephesos,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 12, geprägt",Numismatik,211 n. Chr.
2352904,18200036,Pergamon,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 6, geprägt",Numismatik,ca. 193-206 n. Chr.
2352929,18200063,Bosporos: Rheskouporis III.,Rheskouporis III.,MKAntikeGriechenRomischeKaiserzeit30bis283,"Gold, Stater, 11, geprägt",Numismatik,224-225 n. Chr.
2352934,18200068,Apameia,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 12, geprägt",Numismatik,249-251 n. Chr.
2352938,18200072,Pergamon,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 12, geprägt",Numismatik,197-211 n. Chr.
2352939,18200073,Pergamon,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 6, geprägt",Numismatik,197-211 n. Chr.
2352949,18200083,Caesarea: Nero,Nero,MKAntikeGriechenRomischeKaiserzeit30bis283,"Silber, Drachme, 12, geprägt",Numismatik,54-56 n. Chr.
2352951,18200085,Caesarea: Nero,Nero,MKAntikeGriechenRomischeKaiserzeit30bis283,"Silber, Drachme, 12, geprägt",Numismatik,54-56 n. Chr.
2352953,18200087,Gaza,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 12, geprägt",Numismatik,199-213 n. Chr.
2352955,18200089,Pergamon,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 6, geprägt",Numismatik,216-217 n. Chr.
2352956,18200091,Side,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 5 Assaria, 7, geprägt",Numismatik,221 n. Chr.
2353054,18200190,Mauretanien: Iuba II.,"Iuba II. (25 v.-23 n. Chr.), König von Mauretanien",MKAntikeGriechenRomischeKaiserzeit30bis283,"Silber, Denar (ANT), 7, geprägt",Numismatik,20 v.-23 n. Chr.
2353056,18200192,Kappadokien: Archelaos,Archelaos Philopator,MKAntikeGriechenRomischeKaiserzeit30bis283,"Silber, Drachme, 1, geprägt",Numismatik,17-16 v. Chr.
2353057,18200193,Parther: Phraates IV.,Phraates IV. (38-2 v. Chr.),MKAntikeGriechenRomischeKaiserzeit30bis283,"Silber, Drachme, 12, geprägt",Numismatik,38-2 v. Chr.
2353078,18200214,Achulla,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 12, geprägt",Numismatik,8-7 v. Chr.
2353079,18200215,Antiochia am Orontes,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 11, geprägt",Numismatik,7-6 v. Chr.
2353094,18200230,"Aiax, Toparch in Kilikien","Ajax, Sohn des Teukros",MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 9, geprägt",Numismatik,13/14-14/15 n. Chr.
2353095,18200231,Kappadokien: Artaxias,Artaxias III. von Armenien,MKAntikeGriechenRomischeKaiserzeit30bis283,"Silber, Didrachme, 11, geprägt",Numismatik,18 n. Chr. (oder erst unter Claudius?)
2353096,18200232,Kommagene: Antiochos IV.,"Antiochos IV. (38-72 n. Chr.), König von Kommagene",MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 12, geprägt",Numismatik,38-72 n. Chr.
2353189,18200324,Samos,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 6, geprägt",Numismatik,254-268 n. Chr.
2353201,18200336,Kuschan: Vasudeva I.,Vasudeva I.,MKAntikeGriechenRomischeKaiserzeit30bis283,"Gold, Dinar, 12, geprägt",Numismatik,ca. 190/191-224/225 n. Chr.
2353212,18200348,Kyzikos,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 7, geprägt",Numismatik,138-161 n. Chr.
2353222,18200358,Pergamon,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 6, geprägt",Numismatik,253-268 n. Chr.
2353315,18200454,Claudius,Claudius,MKAntikeGriechenRomischeKaiserzeit30bis283,"Silber, Cistophor, 6, geprägt",Numismatik,ca. 41-42 n. Chr.
2353316,18200455,Alexandria: Antoninus Pius,Antoninus Pius,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, Drachme, 12, geprägt",Numismatik,148/149 n. Chr.
2353317,18200456,Byblos,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 6, geprägt",Numismatik,217-218 n. Chr.
2353318,18200458,Antiochia am Mäander,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 6, geprägt",Numismatik,254-268 n. Chr.
2353319,18200459,Bizye,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 7, geprägt",Numismatik,244-249 n. Chr.
2353343,18200484,Pautalia,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 1, geprägt",Numismatik,198-212n. Chr.
2353344,18200485,Tarsos,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 6, geprägt",Numismatik,198-217 n. Chr.
2353346,18200487,Perge,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 10 Assaria, 12, geprägt",Numismatik,253-260 n. Chr.
2353350,18200491,Koinon von Zypern,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 6, geprägt",Numismatik,198-217 n. Chr.
2353355,18200496,Heliopolis (Baalbek),,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 1, geprägt",Numismatik,244-249 n. Chr.
2353368,18200509,Philadelpheia,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 6, geprägt",Numismatik,193-211 n. Chr.
2353369,18200510,Perinthos,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 7, geprägt",Numismatik,198-209 n. Chr.
2353471,18200620,Apameia,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 12, geprägt",Numismatik,193-211 n. Chr.
2353472,18200621,Pergamon,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 12, geprägt",Numismatik,ca. 169-175 n. Chr.
2353481,18200630,Smyrna,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 12, geprägt",Numismatik,198-202n. Chr.
2353492,18200641,Samos,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 6, geprägt",Numismatik,253-260 n. Chr.
2353493,18200643,Halikarnassos,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 7, geprägt",Numismatik,117-138 n. Chr.
2353495,18200646,Elis: Zeus des Phidias,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 3, geprägt",Numismatik,134 n. Chr.
2353532,18200684,Bizye,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 2, geprägt",Numismatik,244-249 n. Chr.
2353594,18200746,Perinthos,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 2, geprägt",Numismatik,222-235 n. Chr.
2353616,18200769,Caesarea: Marcus Aurelius,Marcus Aurelius,MKAntikeGriechenRomischeKaiserzeit30bis283,"Silber, Didrachme, 6, geprägt",Numismatik,161-166 n. Chr.
2353618,18200771,Caesarea: Marcus Aurelius,Marcus Aurelius,MKAntikeGriechenRomischeKaiserzeit30bis283,"Silber, Didrachme, 6, geprägt",Numismatik,161-166 n. Chr.
2353659,18200812,Syria: Traianus,Traianus,MKAntikeGriechenRomischeKaiserzeit30bis283,"Silber, Tetradrachme, 6, geprägt",Numismatik,110-111 n. Chr.
2353662,18200815,Prokuratoren: M. Ambibulus,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 12, geprägt",Numismatik,11 n. Chr.
2353667,18200820,Alexandria: Nero,Nero,MKAntikeGriechenRomischeKaiserzeit30bis283,"Silber, Tetradrachme, 12, geprägt",Numismatik,66-67 n. Chr.
2353684,18200837,Nikomedia,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 2, geprägt",Numismatik,177-192 n. Chr.
2353685,18200838,Nikaia,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 8, geprägt",Numismatik,177-192 n. Chr.
2353686,18200839,Sagalassos,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 10 Assaria, 6, geprägt",Numismatik,268-270 n. Chr.
2353687,18200840,Myra,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 12, geprägt",Numismatik,242-244 n. Chr.
2353688,18200841,Laodikeia am Lykos,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 12, geprägt",Numismatik,139-144 n. Chr.
2353689,18200842,Kolossai,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 6, geprägt",Numismatik,180-192 n. Chr.
2353690,18200843,Tarsos,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 6, geprägt",Numismatik,133/134-138 n. Chr.
2353691,18200844,Laodikeia am Lykos,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 6, geprägt",Numismatik,177-192 n. Chr.
2353692,18200845,Samos,,MKAntikeGriechenRomischeKaiserzeit30bis283,"Bronze, 6, geprägt",Numismatik,249-251 n. Chr.
