ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2352898,18200030,Gordianus III.,Gordianus III.,MKAntikeRomischeKaiserzeit30bis283,"Silber, Doppeldenar, 12, geprägt",Numismatik,238-239 n. Chr.
2352906,18200038,Severus Alexander,Severus Alexander,MKAntikeRomischeKaiserzeit30bis283,"Gold, Quinar (Gold), 12, geprägt",Numismatik,223 n. Chr.
2352907,18200039,Herennia Etruscilla,Traianus Decius,MKAntikeRomischeKaiserzeit30bis283,"Gold, Aureus, 12, geprägt",Numismatik,249-251 n. Chr.
2352921,18200055,Commodus,Marcus Aurelius,MKAntikeRomischeKaiserzeit30bis283,"Gold, Aureus, 6, geprägt",Numismatik,175 n. Chr.
2352922,18200056,Domitianus,Domitianus,MKAntikeRomischeKaiserzeit30bis283,"Bronze, Sesterz, 6, geprägt",Numismatik,85 n. Chr.
2352924,18200058,Divus Augustus,Tiberius,MKAntikeRomischeKaiserzeit30bis283,"Bronze, As, 12, geprägt",Numismatik,ca. 22-30 n. Chr.
2352925,18200059,Divus Augustus,Tiberius,MKAntikeRomischeKaiserzeit30bis283,"Bronze, As (halbiert), 6, geprägt",Numismatik,ca. 22-30 n. Chr.
2352933,18200067,Philippus I.,Philippus I.,MKAntikeRomischeKaiserzeit30bis283,"Silber, Doppeldenar, 6, geprägt",Numismatik,244-247 n. Chr.
2352947,18200081,Augustus,"Gaius Iulius Caesar (Octavianus), seit 27 v. Chr. Augustus",MKAntikeRomischeKaiserzeit30bis283,"Bronze, As, 9, geprägt",Numismatik,12-nach 10 v. Chr.
2352948,18200082,Claudius,Claudius,MKAntikeRomischeKaiserzeit30bis283,"Bronze, Sesterz, 7, geprägt",Numismatik,ca. 41-50 n. Chr.
2353108,18200244,Augustus,"Gaius Iulius Caesar (Octavianus), seit 27 v. Chr. Augustus",MKAntikeRomischeKaiserzeit30bis283,"Gold, Aureus, 4, geprägt",Numismatik,15-13 v. Chr.
2353109,18200245,Augustus,"Gaius Iulius Caesar (Octavianus), seit 27 v. Chr. Augustus",MKAntikeRomischeKaiserzeit30bis283,"Gold, Aureus, 7, geprägt",Numismatik,15-13 v. Chr.
2353110,18200246,Nero,Nero,MKAntikeRomischeKaiserzeit30bis283,"Bronze, Sesterz, 6, geprägt",Numismatik,um 64 n. Chr.
2353112,18200248,Nero,Nero,MKAntikeRomischeKaiserzeit30bis283,"Bronze, Sesterz, 7, geprägt",Numismatik,um 65 n. Chr.
2353113,18200249,Domitianus,Domitianus,MKAntikeRomischeKaiserzeit30bis283,"Gold, Aureus, 7, geprägt",Numismatik,88 n. Chr.
2353114,18200250,Domitianus,Domitianus,MKAntikeRomischeKaiserzeit30bis283,"Bronze, Sesterz, 6, geprägt",Numismatik,88 n. Chr.
2353115,18200251,Nerva,Nerva,MKAntikeRomischeKaiserzeit30bis283,"Gold, Aureus, 7, geprägt",Numismatik,97 n. Chr.
2353116,18200252,Nerva,Nerva,MKAntikeRomischeKaiserzeit30bis283,"Bronze, Sesterz, 6, geprägt",Numismatik,97 n. Chr.
2353117,18200253,Traianus,Traianus,MKAntikeRomischeKaiserzeit30bis283,"Bronze, Sesterz, 6, geprägt",Numismatik,103-111 n. Chr.
2353118,18200254,Traianus,Traianus,MKAntikeRomischeKaiserzeit30bis283,"Bronze, Sesterz, 7, geprägt",Numismatik,103-111 n. Chr.
2353119,18200255,Diva Marciana,Traianus,MKAntikeRomischeKaiserzeit30bis283,"Gold, Aureus, 6, geprägt",Numismatik,112-117 n. Chr.
2353120,18200256,Diva Matidia,Hadrianus,MKAntikeRomischeKaiserzeit30bis283,"Gold, Aureus, 6, geprägt",Numismatik,um 119 n. Chr.
2353121,18200257,Hadrianus,Hadrianus,MKAntikeRomischeKaiserzeit30bis283,"Gold, Aureus, 7, geprägt",Numismatik,117-118 n. Chr.
2353122,18200258,Hadrianus,Hadrianus,MKAntikeRomischeKaiserzeit30bis283,"Gold, Aureus, 6, geprägt",Numismatik,134-138 n. Chr.
2353123,18200259,Antoninus Pius,Antoninus Pius,MKAntikeRomischeKaiserzeit30bis283,"Bronze, Sesterz, 12, geprägt",Numismatik,140-144 n. Chr.
2353124,18200260,Antoninus Pius,Antoninus Pius,MKAntikeRomischeKaiserzeit30bis283,"Bronze, Sesterz, 11, geprägt",Numismatik,140-144 n. Chr.
2353125,18200261,Diva Faustina (Maior),Antoninus Pius,MKAntikeRomischeKaiserzeit30bis283,"Gold, Aureus, 6, geprägt",Numismatik,nach 140 n. Chr.
2353126,18200262,Diva Faustina (Maior),Antoninus Pius,MKAntikeRomischeKaiserzeit30bis283,"Gold, Aureus, 6, geprägt",Numismatik,nach 140 n. Chr.
2353127,18200263,Antoninus Pius,Antoninus Pius,MKAntikeRomischeKaiserzeit30bis283,"Gold, Aureus, 12, geprägt",Numismatik,140 n. Chr.
2353128,18200264,Marcus Aurelius,Antoninus Pius,MKAntikeRomischeKaiserzeit30bis283,"Gold, Aureus, 6, geprägt",Numismatik,145 n. Chr.
2353129,18200265,Marcus Aurelius,Marcus Aurelius,MKAntikeRomischeKaiserzeit30bis283,"Gold, Aureus, 12, geprägt",Numismatik,177/178 n. Chr.
