ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2352892,18200022,Röm. Republik: L. Furius Brocchus,,MKAntikeRomischeRepublik280bis30,"Silber, Denar (ANT), 7, geprägt",Numismatik,63 v. Chr.
2352896,18200028,Röm. Republik: L. Furius Brocchus,,MKAntikeRomischeRepublik280bis30,"Silber, Denar (ANT), 6, geprägt",Numismatik,63 v. Chr.
2352930,18200064,Röm. Republik: C. Calpurnius Piso Frugi,,MKAntikeRomischeRepublik280bis30,"Silber, Denar (ANT), 5, geprägt",Numismatik,67 v. Chr.
2353058,18200194,Röm. Republik: M. Aurelius Cotta,,MKAntikeRomischeRepublik280bis30,"Silber, Denar (ANT), 6, geprägt",Numismatik,139 v. Chr.
2353059,18200195,Röm. Republik: C. Servilius M. filius,,MKAntikeRomischeRepublik280bis30,"Silber, Denar (ANT), 7, geprägt",Numismatik,136 v. Chr.
2353060,18200196,Röm. Republik: M. Aurelius Scaurus und L. Licinius und Cn. Domitius,,MKAntikeRomischeRepublik280bis30,"Silber, Denar (serratus), 1, geprägt",Numismatik,118 v. Chr.
2353061,18200197,Röm. Republik: N. Fabius Pictor,,MKAntikeRomischeRepublik280bis30,"Silber, Denar (ANT), 12, geprägt",Numismatik,126 v. Chr.
2353062,18200198,Röm. Republik: C. Fundanius Q.,,MKAntikeRomischeRepublik280bis30,"Silber, Denar (ANT), 4, geprägt",Numismatik,101 v. Chr.
2353063,18200199,Röm. Republik: C. Fundanius,,MKAntikeRomischeRepublik280bis30,"Silber, Quinar, 1, geprägt",Numismatik,101 v. Chr.
2353064,18200200,Röm. Republik: C. Servilius,,MKAntikeRomischeRepublik280bis30,"Silber, Denar (ANT), 12, geprägt",Numismatik,82-80 v. Chr.
2353065,18200201,Röm. Republik: P. Lepidus und L. Scribonius Libo,,MKAntikeRomischeRepublik280bis30,"Silber, Denar (ANT), 5, geprägt",Numismatik,62 v. Chr.
2353066,18200202,Röm. Republik: M. Iunius Brutus,,MKAntikeRomischeRepublik280bis30,"Silber, Denar (ANT), 6, geprägt",Numismatik,54 v. Chr.
2353068,18200204,Röm. Republik: C. Coelius Caldus,,MKAntikeRomischeRepublik280bis30,"Silber, Denar (ANT), 3, geprägt",Numismatik,51 v. Chr.
2353097,18200233,Röm. Republik: M. Lollius Palikanus,,MKAntikeRomischeRepublik280bis30,"Silber, Denar (ANT), 6, geprägt",Numismatik,45 v. Chr.
2353098,18200234,Röm. Republik: C. Iulius Caesar und M. Mettius,,MKAntikeRomischeRepublik280bis30,"Silber, Denar (ANT), 7, geprägt",Numismatik,44 v. Chr.
