ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2353910,18201069,"Schleicher, Julia: Unkraut vergeht nicht",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,2014
2354427,18201615,"Fitzenreiter, Wilfried: Griechische Münzprägung",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1978
2354428,18201619,"Jesus, Fernando: Iberoamerikanische Ausstellung 1958",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, geprägt, 12",Numismatik,1958
2354929,18202222,"Wrba, Georg: Alfred Messel",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, geprägt",Numismatik,1905
2355965,18203457,"Gies, Ludwig: Bruno Paul",,MKMedaillen20Jhbisheute1900bisheute,"Porzellan, modelliert",Numismatik,1954
2355966,18203458,"Pilgrim, Hubertus von: Demonstranten 1989",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1990
2356052,18203560,"Pilgrim, Hubertus von: Phönix",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1991
2357809,18205498,"Kowarzik, Joseph: Theodor Mommsen",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1903
2357812,18205501,"Bosselt, Rudolf: Julius Menadier",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1929
2357813,18205502,"Morin, Georges: James Simon",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1912
2357816,18205505,"Kolbe, Georg: Adolf von Harnack",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,um 1926
2357817,18205506,"Elkan, Benno: Friedrich Ebert",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1925
2357818,18205507,"Fürst, Else: Helene Lange",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1916
2357819,18205508,"Bosselt, Rudolf: Peter Behrens",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1918
2357821,18205510,"Kaufmann, Hugo: Max Liebermann",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, geprägt",Numismatik,1905
2357822,18205511,"Gies, Ludwig: Selbstbildnis",,MKMedaillen20Jhbisheute1900bisheute,"Biskuitporzellan, modelliert",Numismatik,1930
2357824,18205513,"Gies, Ludwig: Kruzifix in Kirchenruine",,MKMedaillen20Jhbisheute1900bisheute,"Eisen, gegossen",Numismatik,1917
2357825,18205514,"Gies, Ludwig: Vertrieben",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1915
2357829,18205518,"Gies, Ludwig: Amerika im Weltkrieg",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1917
2357830,18205519,"Gies, Ludwig: Das neue Chaos",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1917
2357831,18205520,"Gies, Ludwig: Ruhrkampf",,MKMedaillen20Jhbisheute1900bisheute,"Eisen, gegossen",Numismatik,1923
2357832,18205521,"Gies, Ludwig: Athena in den Trümmern",,MKMedaillen20Jhbisheute1900bisheute,"Silber, gegossen",Numismatik,1947
2357833,18205522,"Broer, Hilde: Christus auf den Wogen",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1967
2357834,18205523,"Broer, Hilde: Christi Geburt",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1970
2357835,18205524,"Broer, Hilde: Jonas",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1971
2357836,18205525,"Broer, Hilde: Daphne II",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1970
2357837,18205526,"Broer, Hilde: Menschen und Engel",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1968
2357838,18205527,"Broer, Hilde: Ostern (Passion)",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1967
2357857,18205546,"Galtie, Andre: FIDEM Paris 1957",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1957
2357858,18205547,"Welz, Ferdinand: FIDEM Wien 1959",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1959
2357859,18205548,"Asselbergs, Jean: FIDEM Paris 1967",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, geprägt",Numismatik,1967
2357861,18205550,"Lacko, Karol: FIDEM Prag 1969",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1969
2357862,18205551,"Stuhlmüller, Friedrich: FIDEM Köln 1971",,MKMedaillen20Jhbisheute1900bisheute,"Bronze, gegossen",Numismatik,1971
