ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2353473,18200622,Anhalt-Dessau: Herzog Johann Georg und Dorothea,,MKMedaillenBarockundRokoko1600bis1770,"Gold, gegossen",Numismatik,nach 1618
2353504,18200656,"Warin, Jean: Kardinal Jules Mazarin",,MKMedaillenBarockundRokoko1600bis1770,"Bronze, geprägt",Numismatik,1659
2353528,18200680,"Eberl, Christoph Ulrich: Pfalzgraf Maximilian I.",,MKMedaillenBarockundRokoko1600bis1770,"Gold, geprägt",Numismatik,1623-1651
2353645,18200798,"Maler, Valentin: Graf Karl II. von Hohenzollern-Sigmaringen","Karl II. (1576-1606), Graf von Hohenzollern-Sigmaringen",MKMedaillenBarockundRokoko1600bis1770,"Gold, geprägt",Numismatik,um 1582/1583
2353648,18200801,Kurland: Herzogin Elisabeth Magdalene von Pommern,,MKMedaillenBarockundRokoko1600bis1770,"Gold, gegossen",Numismatik,1600
2353650,18200803,Kurland: Herzog Jakob Kettler von Kurland,"Jakob Kettler (1642-1682), Herzog von Kurland",MKMedaillenBarockundRokoko1600bis1770,"Gold, gegossen",Numismatik,1642
2353655,18200808,Mainz: Erzbischof Damian Hartard von der Leyen,"Damian Hartard von der Leyen (1675-1678), Erzbischof und Kurfürst von Mainz",MKMedaillenBarockundRokoko1600bis1770,"Silber, gegossen",Numismatik,1675-1678
2353656,18200809,"Abondio, Antonio: Erzherzog Maximilian",,MKMedaillenBarockundRokoko1600bis1770,"Gold, geprägt",Numismatik,1586
2353668,18200821,Sachsen-Altenburg: Herzog Friedrich Wilhelm II.,"Friedrich Wilhelm II. (1639-1669), Herzog von Sachsen-Altenburg",MKMedaillenBarockundRokoko1600bis1770,"Gold, gegossen",Numismatik,1632
2353670,18200823,"Pfründt, Georg: Erzbischof Karl Kaspar von der Leyen","Karl Kaspar von der Leyen (1652-1676), Erzbischof von Trier",MKMedaillenBarockundRokoko1600bis1770,"Silber, gegossen",Numismatik,1632
2354493,18201701,"Faltz, Raimund: Georg Ludwig von Braunschweig-Lüneburg",,MKMedaillenBarockundRokoko1600bis1770,"Wachs, modelliert",Numismatik,1700
2354494,18201702,"Faltz, Raimund: Welfenroß",,MKMedaillenBarockundRokoko1600bis1770,"Wachs, modelliert",Numismatik,1700
2354510,18201719,"Faltz, Raimund: Karl XII. von Schweden als Kronprinz",,MKMedaillenBarockundRokoko1600bis1770,"Wachs, modelliert",Numismatik,1690
2354516,18201724,"Faltz, Raimund: König Karl XI. von Schweden",,MKMedaillenBarockundRokoko1600bis1770,"Wachs, modelliert",Numismatik,1687
2354518,18201726,"Faltz, Raimund: Selbstbildnis",,MKMedaillenBarockundRokoko1600bis1770,"Wachs, modelliert",Numismatik,1686
2354519,18201727,"Faltz, Raimund: Friedrich Eberhard Marl",,MKMedaillenBarockundRokoko1600bis1770,"Wachs, modelliert",Numismatik,um 1700/1702
2354533,18201747,"Faltz, Raimund: Ecce Homo",,MKMedaillenBarockundRokoko1600bis1770,"Wachs, modelliert",Numismatik,ca. 1686-1703
2354536,18201751,"Faltz, Raimund: König Ludwig XIV. von Frankreich",,MKMedaillenBarockundRokoko1600bis1770,"Wachs, modelliert",Numismatik,1686
2354538,18201753,"Faltz, Raimund: Triton",,MKMedaillenBarockundRokoko1600bis1770,"Wachs, modelliert",Numismatik,ca. 1686-1703
2356278,18203793,Ulrich von Pommern,"Ulrich (1618-1622), Herzog von Pommern, Bischof von Cammin (Kamień Pomorski)",MKMedaillenBarockundRokoko1600bis1770,"Gold, geprägt",Numismatik,1617
2356349,18203864,"Vermeyen, Jan: Kaiserkrönung Rudolf II.","Rudolf II. (1576-1612), Kaiser, römischer König seit 1575, König von Ungarn seit 1572, von Böhmen seit 1575",MKMedaillenBarockundRokoko1600bis1770,"Gold, gegossen",Numismatik,um 1600
2357009,18204527,"Warin, Jean: König Ludwig XIV. von Frankreich","Ludwig XIV. (1643-1715), König von Frankreich",MKMedaillenBarockundRokoko1600bis1770,"Bronze, geprägt",Numismatik,1663
2357189,18204722,"Warin, Jean: Kardinal Richelieu",,MKMedaillenBarockundRokoko1600bis1770,"Bronze, gegossen",Numismatik,um 1630
2357501,18205129,"Warin, Jean: Anna von Österreich und Ludwig (XIV.) von Frankreich","Ludwig XIII. (1610-1643), König von Frankreich",MKMedaillenBarockundRokoko1600bis1770,"Bronze, gegossen",Numismatik,1638
2357551,18205203,"Dupré, Guillaume: Maria von Medici","Maria (1610-1617), Königin und Regentin von Frankreich",MKMedaillenBarockundRokoko1600bis1770,"Bronze, gegossen",Numismatik,1624
2357558,18205210,"Meybusch, Anton und Raimund Faltz: Sieg über die Seeräuber vor Chios","Ludwig XIV. (1643-1715), König von Frankreich",MKMedaillenBarockundRokoko1600bis1770,"Silber, geprägt",Numismatik,1681
