ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2352900,18200032,"Schwarz, Hans: Kurfürst Joachim I.","Joachim I. (1499-1535), Kurfürst von Brandenburg",MKMedaillenBrandenburgPreuszen1500bis1918,"Bronze, gegossen",Numismatik,1519
2352911,18200043,"Faltz, Raimund: Bau der Schloßbrücke","Friedrich III./I. (1688-1713), Kurfürst von Brandenburg, seit 1701 König in Preußen",MKMedaillenBrandenburgPreuszen1500bis1918,"Silber, geprägt",Numismatik,1692
2352912,18200044,"Faltz, Raimund: Neubau der Berliner Schleuse","Friedrich III./I. (1688-1713), Kurfürst von Brandenburg, seit 1701 König in Preußen",MKMedaillenBrandenburgPreuszen1500bis1918,"Gold, geprägt",Numismatik,1694
2352914,18200047,"Faltz, Raimund: Erweiterung der Stadt Berlin","Friedrich III./I. (1688-1713), Kurfürst von Brandenburg, seit 1701 König in Preußen",MKMedaillenBrandenburgPreuszen1500bis1918,"Silber, geprägt",Numismatik,1700
2352915,18200048,"Faltz, Raimund: Krönung Friedrich I.","Friedrich III./I. (1688-1713), Kurfürst von Brandenburg, seit 1701 König in Preußen",MKMedaillenBrandenburgPreuszen1500bis1918,"Gold, 48 Dukaten, geprägt",Numismatik,1701
2352918,18200051,"Faltz, Raimund: Akademie der Künste","Friedrich III./I. (1688-1713), Kurfürst von Brandenburg, seit 1701 König in Preußen",MKMedaillenBrandenburgPreuszen1500bis1918,"Silber, geprägt",Numismatik,1690-1701
2352919,18200053,"Faltz, Raimund: Kurprinz Friedrich Wilhelm (I.)","Friedrich III./I. (1688-1713), Kurfürst von Brandenburg, seit 1701 König in Preußen",MKMedaillenBrandenburgPreuszen1500bis1918,"Silber, geprägt",Numismatik,um 1696?
2352923,18200057,"Faltz, Raimund: Der Schutz Belgiens",,MKMedaillenBrandenburgPreuszen1500bis1918,"Wachs, modelliert",Numismatik,1690
2352926,18200060,"Faltz, Raimund: Mars und Minerva (Gründung Universität Halle)",,MKMedaillenBrandenburgPreuszen1500bis1918,"Wachs, modelliert",Numismatik,1694
2352927,18200061,"Faltz, Raimund: Borussia (Krönung Friedrichs in Preußen)",,MKMedaillenBrandenburgPreuszen1500bis1918,"Wachs, modelliert",Numismatik,1701
2352928,18200062,"Faltz, Raimund: Adlerhorst (Friedrich Wilhelm (I.) als Kurprinz)",,MKMedaillenBrandenburgPreuszen1500bis1918,"Wachs, modelliert",Numismatik,um 1696?
2353558,18200710,"Gladehals, Jakob (?): Kurfürst Johann Georg von Brandenburg",,MKMedaillenBrandenburgPreuszen1500bis1918,"Gold, gegossen",Numismatik,1597
2353563,18200715,"Gladehals, Jakob (?): Kurfürst Johann Sigismund von Brandenburg",,MKMedaillenBrandenburgPreuszen1500bis1918,"Gold, gegossen",Numismatik,1610
2353565,18200717,"Carl, Matthäus (?): Kurfürst Johann Sigismund",,MKMedaillenBrandenburgPreuszen1500bis1918,"Gold, gegossen",Numismatik,1608-1619
2353577,18200729,Brandenburg: Kurfürst Georg Wilhelm,,MKMedaillenBrandenburgPreuszen1500bis1918,"Gold, gegossen",Numismatik,1621
2353595,18200747,"Psolimar, David (?): Kurfürst Georg Wilhelm von Brandenburg",,MKMedaillenBrandenburgPreuszen1500bis1918,"Gold, gegossen",Numismatik,1636
2353596,18200748,Brandenburg-Preußen: Kurfürst Georg Wilhelm,,MKMedaillenBrandenburgPreuszen1500bis1918,"Gold, gegossen",Numismatik,1640
2354492,18201700,"Faltz, Raimund: Friedrich Wilhelm der Große Kurfürst",,MKMedaillenBrandenburgPreuszen1500bis1918,"Wachs, modelliert",Numismatik,um 1690
2354517,18201725,"Faltz, Raimund: Kurfürstin Sophie Charlotte",,MKMedaillenBrandenburgPreuszen1500bis1918,"Wachs, modelliert",Numismatik,um 1693
2354539,18201754,"Faltz, Raimund: Friedrich Wilhelm (I.) als Kurprinz",,MKMedaillenBrandenburgPreuszen1500bis1918,"Wachs, modelliert",Numismatik,um 1696?
2354585,18201825,Erzbischof Albrecht von Brandenburg,"Albrecht (1513-1545), Administrator von Halberstadt, Erzbischof von Magdeburg und Mainz, Kardinal, Markgraf von Brandenburg seit 1499",MKMedaillenBrandenburgPreuszen1500bis1918,"Silber, gegossen",Numismatik,1515
2354586,18201826,"Gebel, Matthes (?): Erzbischof Albrecht von Brandenburg",,MKMedaillenBrandenburgPreuszen1500bis1918,"Silber, gegossen",Numismatik,1526
2354589,18201829,"Reinhart, Hans d. Ä.: Erzbischof Albrecht von Brandenburg","Albrecht (1513-1545), Administrator von Halberstadt, Erzbischof von Magdeburg und Mainz, Kardinal, Markgraf von Brandenburg seit 1499",MKMedaillenBrandenburgPreuszen1500bis1918,"Silber, gegossen",Numismatik,1535
