ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2356279,18203794,Friedrich August von Sachsen,,MKMedaillenKlassizismus1770bis1830,"Porzellan, modelliert",Numismatik,ca. 1810-1820
2356280,18203795,Amalia Augusta von Sachsen,,MKMedaillenKlassizismus1770bis1830,"Porzellan, modelliert",Numismatik,ca. 1810-1820
2356285,18203800,Hohe Karlsschule,"Karl Eugen (1744-1793), Herzog von Württemberg",MKMedaillenKlassizismus1770bis1830,"Silber, 12, geprägt",Numismatik,1773-1793
2357550,18205202,"Fischer, Johann Karl: Alexander von Humboldt","Friedrich Wilhelm IV. (1840-1861), König von Preußen",MKMedaillenKlassizismus1770bis1830,"Gold, geprägt, 12",Numismatik,1847
2357783,18205472,"Posch, Leonhard: Napoleon I.",,MKMedaillenKlassizismus1770bis1830,"Wachs, modelliert",Numismatik,1806
2357792,18205481,"Posch, Leonhard: Gerhard Johann David von Scharnhorst",,MKMedaillenKlassizismus1770bis1830,"Gips, modelliert",Numismatik,um 1819
2357795,18205484,"Fischer, Johann Karl: Kosmos (Alexander von Humboldt)",,MKMedaillenKlassizismus1770bis1830,"Wachs, modelliert",Numismatik,1847
2357799,18205488,"Fischer, Johann Karl: Alexander von Humboldt",,MKMedaillenKlassizismus1770bis1830,"Wachs, modelliert",Numismatik,1847
2357801,18205490,"Fischer, Johann Karl: Amor bindet Chronos",,MKMedaillenKlassizismus1770bis1830,"Wachs, modelliert",Numismatik,1848
2357804,18205493,"Fischer, Johann Karl: Gottfried Wilhelm Leibniz",,MKMedaillenKlassizismus1770bis1830,"Silber, geprägt",Numismatik,1846
2357807,18205496,"Fischer, Johann Karl: Gottfried Wilhelm Leibniz",,MKMedaillenKlassizismus1770bis1830,"Wachs, modelliert",Numismatik,1846
2357827,18205516,"Posch, Leonhard: Karl Asmund Rudolphi",,MKMedaillenKlassizismus1770bis1830,"Eisen, gegossen",Numismatik,1825
2357943,18205631,"Vivier, Benjamin und Nicolas-Marie Gatteux: Ludwig XVI.","Ludwig XVI. (1774-1793), König von Frankreich, seit 1791 König der Franzosen",MKMedaillenKlassizismus1770bis1830,"Bronze, geprägt",Numismatik,1789
2357944,18205632,"Andrieu, Bertrand: Josephine","Napoleon Bonaparte (1799-1815), 1799-1804 Erster Konsul, 1804-1814, 1815 als Napoleon I. Kaiser der Franzosen",MKMedaillenKlassizismus1770bis1830,"Zinn, geprägt",Numismatik,1805
2357945,18205633,"Andrieu, Bertrand: Napoleon I.","Napoleon Bonaparte (1799-1815), 1799-1804 Erster Konsul, 1804-1814, 1815 als Napoleon I. Kaiser der Franzosen",MKMedaillenKlassizismus1770bis1830,"Silber, geprägt",Numismatik,1810
2357946,18205634,"Andrieu, Bertrand und Jacques-Edouard Gatteaux: Ludwig XVIII.","Ludwig XVIII. (1814-1824), König von Frankreich",MKMedaillenKlassizismus1770bis1830,"Platin, geprägt",Numismatik,1814
2357947,18205635,"d'Angers, Pierre Jean David: Alexander von Humboldt",,MKMedaillenKlassizismus1770bis1830,"Bronze, gegossen",Numismatik,1831
2357948,18205636,"Schadow, Johann Gottfried: Johann Wolfgang von Goethe",,MKMedaillenKlassizismus1770bis1830,"Bronze, gegossen",Numismatik,1815
2357949,18205637,"Schadow, Johann Gottfried: Johann Wolfgang von Goethe",,MKMedaillenKlassizismus1770bis1830,"Bronze, gegossen",Numismatik,1815
2423630,18205638,"Brandt, Henri Francois: Alexander von Humboldt",,MKMedaillenKlassizismus1770bis1830,"Silber, 12, geprägt",Numismatik,1828
2357950,18205639,"Goetze, Gottlieb: Daniel Friedrich Loos",,MKMedaillenKlassizismus1770bis1830,"Silber, geprägt",Numismatik,1816
2357951,18205640,"Pfeuffer, Christoph Carl: Gottfried Bernhard Loos",,MKMedaillenKlassizismus1770bis1830,"Bronze, geprägt",Numismatik,1829
2357952,18205641,"Fischer, Johann Karl: Johann Gottfried Schadow",,MKMedaillenKlassizismus1770bis1830,"Bronze, gegossen",Numismatik,1834
