ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2352992,18200127,"Marescotti, Antonio: Antonio Pisano",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,vor 1443
2352993,18200128,"Pisano, Antonio, gen. Pisanello: Sigismundo Pandolfo Malatesta",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,um 1445
2352994,18200129,"Pisano, Antonio, gen. Pisanello: Gianfrancesco Gonzaga",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,ca. 1439-1444
2352999,18200134,"Pisano, Antonio, gen. Pisanello: Inigo d'Avalos",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,um 1449
2353006,18200141,"Pisano, Antonio, gen. Pisanello: Vittorio da Feltre",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,1446
2353018,18200154,"Pisano, Antonio, gen. Pisanello: Bellotto Cumano",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,1447
2353019,18200155,"Pisano, Antonio, gen. Pisanello: Leonello d'Este",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,um 1443
2353020,18200156,"Pisano, Antonio, gen. Pisanello: Leonello d'Este",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,ca. 1441-1443
2353021,18200157,"Pisano, Antonio, gen. Pisanello: Francesco Sforza",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,um 1441
2353025,18200161,"Pisano, Antonio, gen. Pisanello: Cecilia Gonzaga",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,1447
2353026,18200162,"Pisano, Antonio, gen. Pisanello: Niccolò Piccinino",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,um 1441
2353032,18200168,"Pisano, Antonio, gen. Pisanello: Leonello d'Este",,MKMedaillenRenaissance1435bis1550,"Blei, gegossen",Numismatik,1444
2353033,18200169,"Pisano, Antonio, gen. Pisanello: Lodovico Gonzaga",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,um 1445
2353067,18200203,"Pisano, Antonio, gen. Pisanello: Johannes VIII. Palaiologos",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,um 1438/1439
2353077,18200213,"Pisano, Antonio, gen. Pisanello: König Alfons V. von Neapel",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,1449
2353080,18200216,"Pasti, Matteo de': Benedetto de' Pasti",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,ca. 1453-1455
2353141,18200277,"Pasti, Matteo de': Isotta degli Atti",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,1446
2353152,18200288,Sperandio aus Mantua: Bartolomeo Pendaglia,,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,um 1462
2353153,18200289,Sperandio aus Mantua: Pietro Albano,,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,1472
2353154,18200290,"Pasti, Matteo de': Sigismondo Pandolfo Malatesta",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,1446
2353155,18200291,"Boldù, Giovanni: Caracalla",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,1466
2353156,18200292,"Pisano, Antonio, gen. Pisanello: Domenico Novello Malatesta",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,um 1445
2353157,18200293,"Talpa, Bartolo: Francesco Gonzaga",,MKMedaillenRenaissance1435bis1550,"Bronze, gegossen",Numismatik,um 1495
2353206,18200341,"Schwarz, Hans: Urban Labenwolf",,MKMedaillenRenaissance1435bis1550,"Holz, geschnitten",Numismatik,1518
2353207,18200342,"Schwarz, Hans: Martin Tucher",,MKMedaillenRenaissance1435bis1550,"Holz, geschnitten",Numismatik,1519
2353208,18200343,"Weiditz, Christoph: Magdalene Rudolff, geb. Honoldt",,MKMedaillenRenaissance1435bis1550,"Holz, geschnitten",Numismatik,1528
