ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2353398,18200542,Westgoten: Pseudoimperial,,MKMittelalterFruhmittelalter476bis900,"Gold, Solidus, 5, geprägt",Numismatik,ca. 439-455 n. Chr.
2353413,18200560,Westgoten: Pseudoimperial,,MKMittelalterFruhmittelalter476bis900,"Gold, Solidus, 6, geprägt",Numismatik,461-ca. 470 n. Chr.
2353698,18200853,Trier: Milo,"Milo (722/723-761/762), Bischof von Trier und 714-744 Reims",MKMittelalterFruhmittelalter476bis900,"Silber, Denar (MA), 9, geprägt",Numismatik,751-755
2354252,18201424,Zeno (Odovacar),Odovacar (476-493),MKMittelalterFruhmittelalter476bis900,"Gold, Tremissis, geprägt",Numismatik,476-491
2354253,18201425,Odovacar,Odovacar (476-493),MKMittelalterFruhmittelalter476bis900,"Silber, 1/2 Siliqua, geprägt, 12",Numismatik,476-493
2354255,18201427,Odovacar: Fälschung,Odovacar (476-493),MKMittelalterFruhmittelalter476bis900,"Silber, 1/2 Siliqua, gegossen, 6",Numismatik,476-493
2354256,18201428,Odovacar,Odovacar (476-493),MKMittelalterFruhmittelalter476bis900,"Bronze, geprägt, 7",Numismatik,476-493
2354257,18201430,Ostgoten: Theoderich,Theoderich (493-526),MKMittelalterFruhmittelalter476bis900,"Gold, Solidus, geprägt",Numismatik,493-518
2354258,18201431,Ostgoten: Theoderich,Theoderich (493-526),MKMittelalterFruhmittelalter476bis900,"Gold, Solidus, geprägt",Numismatik,493-518
2354259,18201432,Ostgoten: Pseudoimperial,Theoderich (493-526),MKMittelalterFruhmittelalter476bis900,"Gold, Tremissis, geprägt",Numismatik,493-518
2354260,18201433,Ostgoten: Theoderich,Theoderich (493-526),MKMittelalterFruhmittelalter476bis900,"Silber, 1/4 Siliqua, geprägt",Numismatik,493-518
2354262,18201435,Ostgoten: Theoderich,Theoderich (493-526),MKMittelalterFruhmittelalter476bis900,"Silber, 1/4 Siliqua, geprägt",Numismatik,518-526
2354263,18201436,Ostgoten: Athalarich,Athalarich (526-534),MKMittelalterFruhmittelalter476bis900,"Silber, 1/2 Siliqua, geprägt",Numismatik,526-534
2354264,18201437,Vandalen: Pseudoimperial,,MKMittelalterFruhmittelalter476bis900,"Silber, 1/2 Siliqua, geprägt",Numismatik,vor 443/481
2354267,18201439,Ostgoten: Athalarich,Athalarich (526-534),MKMittelalterFruhmittelalter476bis900,"Silber, 1/4 Siliqua, geprägt",Numismatik,526-534
2354269,18201441,Ostgoten: Theodahat,Theodahat (534-536),MKMittelalterFruhmittelalter476bis900,"Silber, 1/2 Siliqua, geprägt",Numismatik,534-536
2354270,18201442,Ostgoten: Witigis,Witigis (536-540),MKMittelalterFruhmittelalter476bis900,"Silber, 1/2 Siliqua, geprägt",Numismatik,536-540
2354272,18201444,Ostgoten: Baduila,Baduila/Totila (541-552),MKMittelalterFruhmittelalter476bis900,"Silber, 1/2 Siliqua, geprägt",Numismatik,541-552
2354273,18201445,Ostgoten: Theia,Theia/Teja (552),MKMittelalterFruhmittelalter476bis900,"Silber, 1/2 Siliqua, geprägt",Numismatik,552
2354274,18201446,Ostgoten: Athalarich,Athalarich (526-534),MKMittelalterFruhmittelalter476bis900,"Kupfer, 10 Nummi, geprägt",Numismatik,526-534
2354275,18201447,Ostgoten: Theodahat,Theodahat (534-536),MKMittelalterFruhmittelalter476bis900,"Kupfer, 40 Nummi (Follis), geprägt",Numismatik,534-536
2354276,18201448,Ostgoten: Witigis,Witigis (536-540),MKMittelalterFruhmittelalter476bis900,"Kupfer, 10 Nummi, geprägt",Numismatik,536-540
2354277,18201449,Ostgoten: Baduila,Baduila/Totila (541-552),MKMittelalterFruhmittelalter476bis900,"Kupfer, 10 Nummi, geprägt",Numismatik,541-552
2354279,18201452,Ostgoten,,MKMittelalterFruhmittelalter476bis900,"Kupfer, 40 Nummi (Follis), geprägt",Numismatik,491-537 oder 526-534
2354282,18201455,Ostgoten,,MKMittelalterFruhmittelalter476bis900,"Kupfer, 40 Nummi (Follis), geprägt",Numismatik,491-537 oder 493-526
2354283,18201456,Ostgoten,,MKMittelalterFruhmittelalter476bis900,"Kupfer, 10 Nummi, geprägt",Numismatik,436-452 oder 493-526
2354285,18201458,Ostgoten,,MKMittelalterFruhmittelalter476bis900,"Kupfer, 10 Nummi, geprägt",Numismatik,436-452 oder 493-526
2354339,18201512,Vandalen: Pseudoimperial,,MKMittelalterFruhmittelalter476bis900,"Silber, 1/2 Siliqua, geprägt",Numismatik,vor 443/481
2354340,18201513,Vandalen: Huneric,Huneric (477-484),MKMittelalterFruhmittelalter476bis900,"Silber, 1/2 Siliqua, geprägt",Numismatik,443/444 oder 480/481
2354341,18201514,Vandalen: Gunthamund,Gunthamund (484-496),MKMittelalterFruhmittelalter476bis900,"Silber, 100 Denare (Siliqua?), geprägt",Numismatik,484-496
2354342,18201515,Vandalen: Gunthamund,Gunthamund (484-496),MKMittelalterFruhmittelalter476bis900,"Silber, 50 Denare (Halbsiliqua?), 11, geprägt",Numismatik,484-496
2354343,18201516,Vandalen: Gunthamund,Gunthamund (484-496),MKMittelalterFruhmittelalter476bis900,"Silber, 25 Denare (1/4 Siliqua?), 6, geprägt",Numismatik,484-496
2354344,18201517,Vandalen: Thrasamund,Thrasamund (496-523),MKMittelalterFruhmittelalter476bis900,"Silber, 50 Denare (Halbsiliqua?), geprägt",Numismatik,496-523
2354345,18201518,Vandalen: Hilderic,Hilderic (523-530),MKMittelalterFruhmittelalter476bis900,"Silber, 1/2 Siliqua?, geprägt",Numismatik,523-530
2354346,18201519,Vandalen: Gelimer,Gelimer (530-533),MKMittelalterFruhmittelalter476bis900,"Silber, 50 Denare (Halbsiliqua?), geprägt",Numismatik,530-533
2354347,18201520,Vandalen?/Vespasianus,Vespasianus,MKMittelalterFruhmittelalter476bis900,"Bronze, Sesterz/83 Nummi (Doppelfollis?), geprägt",Numismatik,vor ca. 480/490
