ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2353914,18201073,Quedlinburg: Beatrix II.,"Beatrix II. (1138-1160), Äbtissin",MKMittelalterHochmittelalter900bis1250,"Silber, Brakteat, geprägt",Numismatik,ca. 1150-1160
2353915,18201074,Quedlinburg: Meregart,"Meregart (1160-1161), Äbtissin",MKMittelalterHochmittelalter900bis1250,"Silber, Brakteat, geprägt",Numismatik,1160-1161
2353916,18201075,Quedlinburg: Adelheid III.,"Adelheid III. (1152-1184), seit 1161 Äbtissin von Quedlinburg, als Adelheid IV. seit 1152/1153 Äbtissin in Gandersheim",MKMittelalterHochmittelalter900bis1250,"Silber, Brakteat, geprägt",Numismatik,1161
2353917,18201076,Halberstadt: Bistum,,MKMittelalterHochmittelalter900bis1250,"Silber, Brakteat, geprägt",Numismatik,1160-1177
2353918,18201077,Halberstadt: Bistum,,MKMittelalterHochmittelalter900bis1250,"Silber, Brakteat, geprägt",Numismatik,1160-1177
2353919,18201078,Halberstadt: Bistum,,MKMittelalterHochmittelalter900bis1250,"Silber, Brakteat, geprägt",Numismatik,1160-1177
2353920,18201079,Anhalt: Albrecht der Bär,"Albrecht der Bär (1123-1170), seit 1134 Markgraf der Nordmark",MKMittelalterHochmittelalter900bis1250,"Silber, Brakteat, geprägt",Numismatik,1150-1170
2353921,18201080,Anhalt: Albrecht der Bär,"Albrecht der Bär (1123-1170), seit 1134 Markgraf der Nordmark",MKMittelalterHochmittelalter900bis1250,"Silber, Brakteat, geprägt",Numismatik,1160-1161
2353922,18201081,Anhalt: Albrecht der Bär,"Albrecht der Bär (1123-1170), seit 1134 Markgraf der Nordmark",MKMittelalterHochmittelalter900bis1250,"Silber, Brakteat, geprägt",Numismatik,1158-1170
2353923,18201082,Anhalt: Albrecht der Bär,"Albrecht der Bär (1123-1170), seit 1134 Markgraf der Nordmark",MKMittelalterHochmittelalter900bis1250,"Silber, Brakteat, geprägt",Numismatik,1159-1170
2353924,18201083,Anhalt: Bernhard,"Bernhard (1170-1212), Graf, seit 1180 Herzog von Sachsen",MKMittelalterHochmittelalter900bis1250,"Silber, Brakteat, geprägt",Numismatik,1180
2353925,18201084,Anhalt: Bernhard,"Bernhard (1170-1212), Graf, seit 1180 Herzog von Sachsen",MKMittelalterHochmittelalter900bis1250,"Silber, Brakteat, geprägt",Numismatik,1170-1180
2353926,18201085,Arnstein: Walter II.,"Walter II. (1133-1166), Herr von Arnstein",MKMittelalterHochmittelalter900bis1250,"Silber, Brakteat, geprägt",Numismatik,1150-1166
