ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2354055,18201218,Mecklenburg: Neubrandenburg,,MKMittelalterSpatmittelalter1251bis1500,"Silber, Witten, 9, geprägt",Numismatik,ca. 1410-1420
2354120,18201292,Hamburg: Stadt,,MKMittelalterSpatmittelalter1251bis1500,"Silber, Blaffert, geprägt",Numismatik,ca. 1400-1450
2354151,18201322,Mailand: Galeazzo Maria Sforza,"Galeazzo Maria Sforza (1466-1476), Herzog von Mailand",MKMittelalterSpatmittelalter1251bis1500,"Gold, Dukat, geprägt",Numismatik,1466-1476
2354164,18201335,Brandenburg: Joachim I. und Albrecht,"Joachim I. (1499-1535), Kurfürst von Brandenburg",MKMittelalterSpatmittelalter1251bis1500,"Silber, Groschen, geprägt",Numismatik,1500
2430016,18201399,Schwäbisch-Hall,,MKMittelalterSpatmittelalter1251bis1500,"Silber, Heller (Händleinheller), geprägt",Numismatik,ca. 1275-1300
2432707,18201413,Frankreich: Ludwig XI.,"Ludwig XI. (1461-1483), König von Frankreich",MKMittelalterSpatmittelalter1251bis1500,"Billon, Liard, 6, geprägt",Numismatik,1461-1483
2354294,18201467,Serbien: Stephan I. Uroš,"Stephan I. Uroš (1243-1276), König von Raszien und Serbien",MKMittelalterSpatmittelalter1251bis1500,"Silber, Grosso (Matapan), geprägt",Numismatik,ab ca. 1270
2354296,18201469,Meißen: Markgrafschaft,"Friedrich II. (1323-1349), Markgraf von Meißen und Landgraf von Thüringen",MKMittelalterSpatmittelalter1251bis1500,"Silber, Meißner Groschen, geprägt",Numismatik,1338-1349
2354304,18201477,England: Edward III.,"Edward III. (1327-1377), König von England, 1327-1365 und 1372-1377 Herzog von Aquitanien",MKMittelalterSpatmittelalter1251bis1500,"Gold, Noble, geprägt",Numismatik,1363-1369
2354333,18201506,Böhmen: Wenzel II.,"Wenzel II. (1278-1305), König von Böhmen, seit 1300 als Wenzel I. König von Polen",MKMittelalterSpatmittelalter1251bis1500,"Silber, Prager Groschen, geprägt",Numismatik,1300-1305
2354393,18201571,Deutscher Orden: Winrich von Kniprode,"Winrich von Kniprode (1351-1382), Hochmeister des Deutschen Ordens",MKMittelalterSpatmittelalter1251bis1500,"Silber, Schilling, 12, geprägt",Numismatik,ab ca. 1380
2430017,18201595,Venedig: Stadt,"Andrea Dandolo (1343-1354), Doge von Venedig",MKMittelalterSpatmittelalter1251bis1500,"Gold, Dukat (Zecchino), geprägt",Numismatik,1343-1354
2354415,18201597,Silberbarren (Gusskönig),,MKMittelalterSpatmittelalter1251bis1500,"Silber, gegossen",Numismatik,14. Jahrhundert
2354418,18201605,Münztechnik: Prägestempel Hessen,"Heinrich III. von Marburg (1458-1483), Landgraf von Oberhessen",MKMittelalterSpatmittelalter1251bis1500,"Stahl, geprägt",Numismatik,1458-1483
2354419,18201606,Münztechnik: Prägestempel Hessen,"Heinrich III. von Marburg (1458-1483), Landgraf von Oberhessen",MKMittelalterSpatmittelalter1251bis1500,"Stahl, geprägt",Numismatik,1458-1483
2354420,18201607,Hessen,"Heinrich III. von Marburg (1458-1483), Landgraf von Oberhessen",MKMittelalterSpatmittelalter1251bis1500,"Silber, Albus, geprägt",Numismatik,1458-1483
2355628,18202977,England: Heinrich III.,"Heinrich III. (1216-1272), König von England",MKMittelalterSpatmittelalter1251bis1500,"Silber, Sterling, geprägt",Numismatik,1251-1272
