ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2352897,18200029,Bundesrepublik Deutschland: 2002 Währungsunion,,MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Silber, 10 Euro, 12, geprägt",Numismatik,2002
2352901,18200033,Bundesrepublik Deutschland: 2000 10 Jahre Deutsche Einheit,,MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Silber, 10 Deutsche Mark, 12, geprägt",Numismatik,2000
2352903,18200035,Bundesrepublik Deutschland: 2004 Europäische Union,,MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Silber, 10 Euro, 12, geprägt",Numismatik,2004
2352905,18200037,Bundesrepublik Deutschland: 2002 Währungsunion,,MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Gold, 200 Euro, geprägt, 12",Numismatik,2002
2352908,18200040,Bundesrepublik Deutschland: 2002 Währungsunion,,MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Gold, 100 Euro, 12, geprägt",Numismatik,2002
2352909,18200041,Bundesrepublik Deutschland: 2003 Quedlinburg,,MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Gold, 100 Euro, 12, geprägt",Numismatik,2003
2352910,18200042,Bundesrepublik Deutschland: 2004 Bamberg,,MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Gold, 100 Euro, 12, geprägt",Numismatik,2004
2352932,18200066,Kaiserreich: 1915 Mansfeld,"Wilhelm II. (1888-1918), König von Preußen, deutscher Kaiser",MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Silber, 3 Mark, geprägt",Numismatik,1915
2352952,18200086,Kaiserreich: 1908 Universität Jena,"Wilhelm Ernst (1901-1918), Großherzog von Sachsen-Weimar",MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Silber, 5 Mark, 12, geprägt",Numismatik,1908
2352981,18200116,Weimarer Republik: 1927 Bremerhaven,,MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Silber, 5 Reichsmark, 12, geprägt",Numismatik,1927
2352982,18200117,Weimarer Republik: 1927 Nordhausen,,MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Silber, 3 Reichsmark, 12, geprägt",Numismatik,1927
2352983,18200118,Weimarer Republik: 1929 Lessing,,MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Silber, 5 Reichsmark, 12, geprägt",Numismatik,1929
2352995,18200130,Weimarer Republik: 1929 Verfassung,,MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Silber, 5 Reichsmark, 12, geprägt",Numismatik,1929
2352996,18200131,Weimarer Republik: 1929 Graf Zeppelin,,MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Silber, 5 Reichsmark, 12, geprägt",Numismatik,1930
2353002,18200137,Weimarer Republik: 1930 Walther von der Vogelweide,,MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Silber, 3 Reichsmark, 12, geprägt",Numismatik,1930
2353008,18200143,Weimarer Republik: 1932 Goethe,,MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Silber, 5 Reichsmark, geprägt",Numismatik,1932
2353262,18200403,Deutsche Demokratische Republik: 1966 Leibniz,,MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Silber, 20 Mark Deutscher Notenbank, geprägt",Numismatik,1966
2353265,18200406,Deutsche Demokratische Republik: 1966 Schinkel,,MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Silber, 10 Mark Deutscher Notenbank, geprägt",Numismatik,1966
2353320,18200460,Deutsche Demokratische Republik: 1990 Brandenburger Tor,,MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Silber, 20 Mark (DDR), 12, geprägt",Numismatik,1990
2353322,18200461,Kaiserreich: 1917 Reformationsjubiläum,"Friedrich August III. (1904-1918), König von Sachsen",MKNeuzeitDeutschlandGedenkmunzen2021Jh1901bisheute,"Silber, 3 Mark, geprägt",Numismatik,1917
