ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2352879,18200009,Griechenland: 2002,,MKNeuzeitModerneseit19001900bisheute,"Kupfer-Nickel, 2 Euro, geprägt",Numismatik,2002
2352880,18200010,Italien: 2002,,MKNeuzeitModerneseit19001900bisheute,"Kupfer-Nickel, Euro, 12, geprägt",Numismatik,2002
2352881,18200011,Österreich: 2002,,MKNeuzeitModerneseit19001900bisheute,"Aluminium-Messing (Noric Gold), 50 Cent (EUR), 12, geprägt",Numismatik,2002
2352883,18200013,Spanien: 1999,"Juan Carlos I. (1975-2014), König von Spanien",MKNeuzeitModerneseit19001900bisheute,"Aluminium-Messing (Noric Gold), 20 Cent (EUR), 12, geprägt",Numismatik,1999
2352884,18200014,Bundesrepublik Deutschland: 2002,,MKNeuzeitModerneseit19001900bisheute,"Aluminium-Messing (Noric Gold), 10 Cent (EUR), 12, geprägt",Numismatik,2002
2352885,18200015,Frankreich: 2002,,MKNeuzeitModerneseit19001900bisheute,"Stahl mit Kupferauflage, 5 Cent (EUR), 12, geprägt",Numismatik,1999
2352893,18200023,Niederlande: 1999,"Beatrix (1980-2013), Königin der Niederlande",MKNeuzeitModerneseit19001900bisheute,"Stahl mit Kupferauflage, 2 Cent (EUR), 12, geprägt",Numismatik,1999
2352894,18200025,Bundesrepublik Deutschland: 2002,,MKNeuzeitModerneseit19001900bisheute,"Aluminium-Messing (Noric Gold), 50 Cent (EUR), 12, geprägt",Numismatik,2002
2352935,18200069,Kaiserreich: Bayern 1918,,MKNeuzeitModerneseit19001900bisheute,"Silber, 3 Mark, geprägt",Numismatik,1918 (1939)
2352937,18200071,Kaiserreich: Württemberg 1916,"Wilhelm II. (1891-1918), König von Württemberg",MKNeuzeitModerneseit19001900bisheute,"Silber, 3 Mark, 12, geprägt",Numismatik,1916
2352940,18200074,Kaiserreich: Württemberg 1911,"Wilhelm II. (1891-1918), König von Württemberg",MKNeuzeitModerneseit19001900bisheute,"Silber, 3 Mark, 12, geprägt",Numismatik,1911
2352943,18200077,Kaiserreich: Hessen 1904,"Ernst Ludwig (1892-1918), Großherzog von Hessen",MKNeuzeitModerneseit19001900bisheute,"Silber, 5 Mark, 12, geprägt",Numismatik,1904
2352946,18200080,Kaiserreich: Hessen 1917,"Ernst Ludwig (1892-1918), Großherzog von Hessen",MKNeuzeitModerneseit19001900bisheute,"Silber, 3 Mark, geprägt",Numismatik,1917
2352950,18200084,Kaiserreich: Mecklenburg-Schwerin 1904,"Friedrich Franz IV. (1897-1918), Großherzog von Mecklenburg-Schwerin",MKNeuzeitModerneseit19001900bisheute,"Silber, 5 Mark, 12, geprägt",Numismatik,1904
2352954,18200088,Kaiserreich: Sachsen-Weimar-Eisenach 1915,"Wilhelm Ernst (1901-1918), Großherzog von Sachsen-Weimar",MKNeuzeitModerneseit19001900bisheute,"Silber, 3 Mark, 12, geprägt",Numismatik,1915
2353005,18200140,Weimarer Republik: 1931 Stein,,MKNeuzeitModerneseit19001900bisheute,"Silber, 3 Reichsmark, geprägt",Numismatik,1931
