ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2363243,18214942,Leipziger Bank: 10 Taler 1866,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 10 Taler, 18. April 1866, 270078, Hoch- und Tiefdruck, 10 ZEHN THALER",Numismatik,1866
2364326,18216466,Bank für Süddeutschland: 100 Mark 1874,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, Grün, 100 Mark, 1. Januar 1874, 534676, Hoch- und Tiefdruck, B F S.",Numismatik,1874
2364327,18216467,Danziger Privat-Actien-Bank: 100 Mark 1875,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 100 Mark, 1. Juni 1875, 08391, Hoch- und Tiefdruck, 100, Blau",Numismatik,1875
2364336,18216481,Sächsische Bank: 10 Taler 1866,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 10 Taler, 15. Januar 1866, A Ser. XVI 929681, Tiefdruck, Lithographie",Numismatik,1866
2364338,18216485,Leipziger Cassenverein: 500 Mark 1875,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 500 Mark, 31. März 1875, Hoch- und Tiefdruck, Lithographie, Rot",Numismatik,1875
2364339,18216489,Chemnitzer Stadtbank: 100 Mark 1874,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 100 Mark, 1. Mai 1874, Fol. 81 V 8066, Tiefdruck, Lithographie, HUNDERT ?, Grün",Numismatik,1874
2364365,18216578,Preußen Hauptverwaltung Staatsschulden: 1 Taler 1834,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, Taler, 1. Januar 1834, Lit. D 385164, Lithographie, Stern des Ordens vom Schwarzen Adler C A EIN - THL Adler., Braun",Numismatik,1834
2364851,18217516,Preußen Hauptverwaltung Staatsschulden: 1 Taler 1833,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, Taler, 1. Januar 1833, I 27635 Lit. E, Lithographie, Braun",Numismatik,1833
2364862,18217527,Preußen Hauptverwaltung Staatsschulden: 1 Taler 1833,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, Taler, 1. Januar 1833, I 27638 Lit. E, Lithographie, Blau",Numismatik,1833
2364865,18217530,Preußen: 5 Taler 1806,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 5 Taler, (1.6.1806), Schwarz/Weiß",Numismatik,1806
2364883,18217548,Preußen: 5 Taler 1856,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 5 Taler, 15. Dezember 1856, 864314 IX Fol. 173, Kupfertiefdruck, 5 THALER, Blauer Rahmen",Numismatik,1856
2365067,18217824,Bank für Süddeutschland: 10 Thaler 1857,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 10 Taler, 20. März 1857, 1749, weiß/blau",Numismatik,1857
2365321,18218500,"Kaiserslautern, Stadt: 5 Gulden 1870",,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 5 Gulden, 31. Juli 1870, 690, Buchdruck, Gelb auf Weiß",Numismatik,1870
2365343,18218532,Königlich-preußisches Militärgouvernement: 8 Groschen 1807,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 8 Groschen, 1807, 2974, handbeschriftet, weißes Papier mit schwarzer und roter Tinte",Numismatik,1807
2365346,18218535,Königlich-preußisches Militärgouvernement: 2 Groschen 1807,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Pappe, 2 Groschen, 11317, handbeschriftet, weißes Papier mit schwarzer Tinte",Numismatik,1807
2573079,18271434,Masfeld: Fürstlich Sächsisches Amt: 3 Groschen,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Pappe, 3 Groschen",Numismatik,1622
2575264,18271589,Mainz: 5 Sol 1793,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 5 Sol, 25249, Buchdruck, handbeschriftet",Numismatik,1793
2575265,18271590,Mainz: 5 Sol 1793,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 5 Sol, 111798, Buchdruck, handbeschriftet",Numismatik,1793
2575266,18271598,Mainz: 3 Livres 1793,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 3 Livres, 5459, Buchdruck, handbeschriftet",Numismatik,1793
2575267,18271601,Mainz: 20 Livres 1793,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 20 Livres, 5459, Buchdruck, handbeschriftet, 10 L",Numismatik,1793
2575268,18271604,Mainz: 10 Sol 1793,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 10 Sols, 20599, Buchdruck, handbeschriftet",Numismatik,1793
2575269,18271606,Mainz: 10 Sol 1793,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 10 Sols, 25829, Buchdruck, handbeschriftet",Numismatik,1793
2575270,18271608,Mainz: 10 Sol 1793,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 10 Sols, 39328, Buchdruck, handbeschriftet",Numismatik,1793
2575271,18271613,Mainz: 3 Livres 1793,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 3 Livres, 38807, Buchdruck, handbeschriftet",Numismatik,1793
2575272,18271614,Mainz: 3 Livres 1793,,MKPapiergeldAltdeutscheStaaten1700bis1871,"Papier, 3 Livres, 90965, Buchdruck, handbeschriftet",Numismatik,1793
