ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2364868,18217533,Verein Barnim Uckermark regional e. V.: 4 Oderblüten 2007,,MKPapiergeldBundesrepublikDeutschland1948bisheute,"Polymerpapier, 4 Oderblüten, 22. November 2007, 000749, Orange/Weiß",Numismatik,2007
2364884,18217549,Verein Barnim Uckermark regional e. V.: 50 Oderblüten 2007,,MKPapiergeldBundesrepublikDeutschland1948bisheute,"Polymerpapier, 50 Oderblüten, 000057, Offsetdruck, Dunkelrot/Weiß",Numismatik,2007
2378445,18245938,Bank Deutscher Länder: 20 Deutsche Mark 1948,,MKPapiergeldBundesrepublikDeutschland1948bisheute,"Papier, 20 Mark, 1948, 0065784, grün",Numismatik,1948
2382791,18253417,Bundesrepublik Deutschland: 5 Euro 2002,,MKPapiergeldBundesrepublikDeutschland1948bisheute,"Papier, 5 Euro, 2002, 11721612917, Hoch- und Tiefdruck, Tor und Wertzahl, graublau",Numismatik,2002
2384424,18257238,Souvenirgeldschein: 0 Euro 2017,,MKPapiergeldBundesrepublikDeutschland1948bisheute,"Papier, 2017 - 1, JQ004077, Hoch- und Tiefdruck, Wert",Numismatik,2017
2384425,18257239,Souvenirgeldschein: 0 Euro 2017,,MKPapiergeldBundesrepublikDeutschland1948bisheute,"Papier, 2017 - 1, JQ004098, Hoch- und Tiefdruck, Wert",Numismatik,2017
2387232,18257710,Souvenirgeldschein: 0 Euro 2017,,MKPapiergeldBundesrepublikDeutschland1948bisheute,"Papier, 2017 - 2, JQ00001423, Hoch- und Tiefdruck, Wert",Numismatik,2017
2387282,18259009,Souvenirgeldschein: 0 Euro 2017,,MKPapiergeldBundesrepublikDeutschland1948bisheute,"Papier, 2017 - 3, JQ002425, Hoch- und Tiefdruck, Wert",Numismatik,2017
2387283,18259010,Souvenirgeldschein: 0 Euro 2017,,MKPapiergeldBundesrepublikDeutschland1948bisheute,"Papier, 2017 - 1, LZ000811, Hoch- und Tiefdruck, Wert",Numismatik,2017
2387286,18261010,Souvenirgeldschein: 0 Euro 2017,,MKPapiergeldBundesrepublikDeutschland1948bisheute,"Papier, 2017 - 1, MV001753, Hoch- und Tiefdruck, Wert",Numismatik,2017
