ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2582075,,,,MSBNichtdefiniert,,Gefäßform,
2285495,3,Relief mit betender Figur (Orans),"Sepp, Johann Nepomuk",MSBNichtdefiniert,Kalktuff,Allgemein,unbekannt
2351640,6,Ziboriumsbogen mit Gesims und Konsolenpaar,,MSBNichtdefiniert,"Marmor, Marmor",Architektur,8. Jahrhundert
2342679,6 b,Gesims,,MSBNichtdefiniert,"Marmor, Marmor",Allgemein,
2342686,6 d,Konsole,,MSBNichtdefiniert,,Allgemein,
1442673,1,Apostel Petrus,,MSBNichtdefiniert,"Bronze, Bronze",Skulptur,4./5. Jahrhundert
1442673,1,Apostel Petrus,,MSBNichtdefiniert,"Bronze, Bronze",Skulptur,16. Jahrhundert
1374790,6 c,Konsole,,MSBNichtdefiniert,Marmor,Allgemein,
2433214,21 /2018,Fragmente einer Tunika mit Vögeln und pflanzlichen Motiven,"Schmidt, Carl",MSBNichtdefiniert,"Leinen und Wolle, Grundgewebe in Leinwandbindung gewebt"";"" Dekor gewirkt",Allgemein,5.-7. Jahrhundert
2265960,23,Zierplatte (Formella),"Marcato, Antonio",MSBNichtdefiniert,"Griechischer Marmor, Marmor",Architektur,13. Jahrhundert
1939797,2,Verschlussplatte einer Öffnung,"Pajaro, Francesco",MSBNichtdefiniert,"Istrischer Kalkstein, Kalkstein",Architektur,7./8. Jahrhundert
1608323,4,Kasten eines Sarkophags,"Pajaro, Francesco",MSBNichtdefiniert,"Istrischer Kalkstein, istrischer Kalkstein",Skulptur,8. Jahrhundert
2012172,5,Kasten eines Sarkophags,"Pajaro, Francesco",MSBNichtdefiniert,"Istrischer Kalkstein, Istrischer Kalkstein",Skulptur,9. Jahrhundert
1939861,6 a,Ziboriumsbogen,,MSBNichtdefiniert,"Griechischer Marmor, Marmor",Architektur,8. Jahrhundert
1939860,7,Fragment einer Brüstungsplatte,"Pajaro, Francesco",MSBNichtdefiniert,"Marmor, Marmor",Skulptur,10./11. Jahrhundert
1939981,8,Zierplatte mit Hirsch und Pfauenpaar am Brunnen,"Pajaro, Francesco",MSBNichtdefiniert,"Griechischer Marmor, Marmor",Architektur,19. Jahrhundert (?)
1408583,11,Schlussstein,"Pajaro, Francesco",MSBNichtdefiniert,"Istrischer Kalkstein, Istrischer Kalkstein",Architektur,13. Jahrhundert
1440388,15,Schrankenplatte oder Wandverkleidung mit lateinischem Kreuz,,MSBNichtdefiniert,"Thessalischer Marmor, Thessalischer Marmor",Architektur,6. Jahrhundert
