ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2455485,IXa 15927,"Fotografie""; zwei weibliche Terrakottastatuetten aus der Sammlung Ohnefalsch-Richter;"" vor 1945 (Musterdatensatz)",Fotograf unbekannt,MVFArvBArchivischeSammlungen,"Glasnegativ, Gelantinetrockenplatte",Fotografie,vor 1945
2551763,IXc 00003,,,MVFArvBArchivischeSammlungen,"Papier, Tinte, Pappe, Baumwollgewebe, Leder, Papier, gebunden, bedruckt, beschrieben (Blätter)"";"" Pappe, mit Baumwollgewebe und Leder kaschiert (Deckel, Rücken)",Archivalie - Sonstiges,Ende 19. Jahrhundert
2560052,IXc 00004,,,MVFArvBArchivischeSammlungen,"Papier, Tinte, Pappe, Baumwollgewebe, Leder, Papier, gebunden, bedruckt, beschrieben (Blätter)"";"" Pappe, mit Baumwollgewebe und Leder kaschiert (Deckel, Rücken)",Archivalie - Sonstiges,Ende 19. Jahrhundert/Anfang 20. Jahrhundert
2560280,IXc 00005,,,MVFArvBArchivischeSammlungen,"Papier, Tinte, Pappe, Baumwollgewebe, Leder, Papier, gebunden, bedruckt, beschrieben (Blätter)"";"" Pappe, mit Baumwollgewebe und Leder kaschiert (Deckel, Rücken)",Archivalie - Sonstiges,Ende 19. Jahrhundert/Anfang 20. Jahrhundert
2560280,IXc 00005,,,MVFArvBArchivischeSammlungen,"Papier, Tinte, Pappe, Baumwollgewebe, Leder, Papier, gebunden, bedruckt, beschrieben (Blätter)"";"" Pappe, mit Baumwollgewebe und Leder kaschiert (Deckel, Rücken)",Archivalie - Sonstiges,Ende 19. Jahrhundert/Mitte 20. Jahrhundert
2560282,IXc 00006,,,MVFArvBArchivischeSammlungen,"Papier, Tinte, Pappe, Baumwollgewebe, Leder, Papier, gebunden, bedruckt, beschrieben (Blätter)"";"" Pappe, mit Baumwollgewebe und Leder kaschiert (Deckel, Rücken)",Archivalie - Sonstiges,Ende 19. Jahrhundert/Anfang 20. Jahrhundert
2560305,IXc 00007,,,MVFArvBArchivischeSammlungen,"Papier, Tinte, Pappe, Baumwollgewebe, Leder, Papier, gebunden, bedruckt, beschrieben (Blätter)"";"" Pappe, mit Baumwollgewebe und Leder kaschiert (Deckel, Rücken)",Archivalie - Sonstiges,Ende 19. Jahrhundert/Anfang 20. Jahrhundert
2560299,IXc 00008,,,MVFArvBArchivischeSammlungen,"Papier, Tinte, Pappe, Baumwollgewebe, Leder, Papier, gebunden, bedruckt, beschrieben (Blätter)"";"" Pappe, mit Baumwollgewebe und Leder kaschiert (Deckel, Rücken)",Archivalie - Sonstiges,Ende 19. Jahrhundert
2560308,IXc 00009,,,MVFArvBArchivischeSammlungen,"Papier, Tinte, Pappe, Baumwollgewebe, Leder, Papier, gebunden, bedruckt, beschrieben (Blätter)"";"" Pappe, mit Baumwollgewebe und Leder kaschiert (Deckel, Rücken)",Archivalie - Sonstiges,Ende 19. Jahrhundert
2560310,IXc 00010,,,MVFArvBArchivischeSammlungen,"Papier, Tinte, Pappe, Baumwollgewebe, Leder, Papier, gebunden, bedruckt, beschrieben (Blätter)"";"" Pappe, mit Baumwollgewebe und Leder kaschiert (Deckel, Rücken)",Archivalie - Sonstiges,Ende 19. Jahrhundert/Anfang 20. Jahrhundert
2560325,IXc 00011,,,MVFArvBArchivischeSammlungen,"Papier, Tinte, Pappe, Baumwollgewebe, Leder, Papier, gebunden, bedruckt, beschrieben (Blätter)"";"" Pappe, mit Baumwollgewebe und Leder kaschiert (Deckel, Rücken)",Archivalie - Sonstiges,Anfang 20. Jahrhundert
