ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1534244,,Beile aus Jadeit,,MVFBPKFotoubernahme,,Allgemein,5.-4. Jahrtausend v. Chr.
1534302,,Hortfund mit Kettengehänge,,MVFBPKFotoubernahme,,Allgemein,12. Jahrhundert v. Chr.
1534310,,Hortfund mit Armringen und Randleistenbeilen,,MVFBPKFotoubernahme,,Allgemein,1. Viertel 2. Jahrtausend v. Chr.
1534313,,Hortfund mit Randleistenbeilen,,MVFBPKFotoubernahme,,Allgemein,1. Viertel 2. Jahrtausend v. Chr.
1534317,,"Hortfund mit Kessel, Schale, Schmuck und Pferdegeschirr",,MVFBPKFotoubernahme,,Allgemein,9. - 8. Jh. v. Chr.
1534319,,"Hortfund mit Lanzenspitzen, Schmuck und Geräten",,MVFBPKFotoubernahme,,Allgemein,10. Jh. v. Chr.
1534330,,Hortfund mit Schmuck und Tüllenaufsätzen,,MVFBPKFotoubernahme,,Allgemein,um 1000 v. Chr.
1534336,,Hortfund,,MVFBPKFotoubernahme,,Allgemein,12. Jh. v. Chr.
1534340,,Hortfund mit Hohlwulst- und Nierenringen,,MVFBPKFotoubernahme,,Allgemein,8./7. Jahrhundert vor Christus
1534342,,Situla und Ringe,,MVFBPKFotoubernahme,,Allgemein,7. Jh. v. Chr.
1534344,,Hortfund,,MVFBPKFotoubernahme,,Allgemein,Mitte 2. Jahrtausend vor Christus
1534354,,Hortfund,,MVFBPKFotoubernahme,,Allgemein,11. Jh. v. Chr.
1534360,,Schmuckgegenstände,,MVFBPKFotoubernahme,,Allgemein,9./8. Jahrhundert vor Christus
1534382,,Gefäße der Bronzezeit,,MVFBPKFotoubernahme,,Allgemein,Anfang 1. Jahrtausend vor Christus
1534387,,Gefäße der Bronzezeit,,MVFBPKFotoubernahme,,Allgemein,um 1000 v. Chr.
1534393,,Hortfund,,MVFBPKFotoubernahme,,Allgemein,um 1000 v. Chr.
1534395,,Hortfund,,MVFBPKFotoubernahme,,Allgemein,um 1000 v. Chr.
1534398,,Hortfund,,MVFBPKFotoubernahme,,Allgemein,12. Jh. v. Chr.
1534401,,Plattenfibeln und Schmuckscheibe,,MVFBPKFotoubernahme,,Allgemein,9./8. Jahrhundert vor Christus
1534406,,Hortfund mit Antennenschwert,,MVFBPKFotoubernahme,,Allgemein,8./7. Jahrhundert vor Christus
1534412,,Gefäße der Bronzezeit aus einem Opferbrunnen,,MVFBPKFotoubernahme,,Allgemein,um 1000 v. Chr.
1534349,Im 52,Rundschild,,MVFBPKFotoubernahme,"Bronze, Bronze",Allgemein,13./12. Jahrhundert vor Christus
1534228,Va 7210,Tiergravierung,,MVFBPKFotoubernahme,"Kalkstein, geritzt, Kalkstein, geritzt",Allgemein,"jüngere Altsteinzeit, 40.000 - 33.000 v. Chr."
