ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2553834,I. 568, ,,MVFMusBEuropa,"Ton, verziert, Ton, verziert",Allgemein,7. Jahrhundert vor Christus
2553834,I. 568, ,,MVFMusBEuropa,"Ton, verziert, Ton, verziert",Allgemein,Lausitzer Kultur
2553834,I. 568, ,,MVFMusBEuropa,"Ton, verziert, Ton, verziert",Allgemein,Billendorfer Gruppe
2553889,I. 569, ,,MVFMusBEuropa,"Ton, verziert, Ton, verziert",Allgemein,7. Jahrhundert vor Christus
2553889,I. 569, ,,MVFMusBEuropa,"Ton, verziert, Ton, verziert",Allgemein,Billendorfer Gruppe
2553889,I. 569, ,,MVFMusBEuropa,"Ton, verziert, Ton, verziert",Allgemein,Lausitzer Kultur
2553850,I. 573, ,,MVFMusBEuropa,"Ton, verziert, Ton, verziert",Allgemein,7. Jahrhundert vor Christus
2553850,I. 573, ,,MVFMusBEuropa,"Ton, verziert, Ton, verziert",Allgemein,Billendorfer Gruppe
2553850,I. 573, ,,MVFMusBEuropa,"Ton, verziert, Ton, verziert",Allgemein,Lausitzer Kultur
2569509,I. 899,Gefäß Typ Groß Raden/Markendorf,,MVFMusBEuropa,"Ton, verziert, Ton, verziert",Allgemein,
2610973,I. 1064,Schalenurne mit plastischen Wülsten,,MVFMusBEuropa,"Keramik, verziert, Keramik, verziert",Allgemein,3. Jahrhundert
2610973,I. 1064,Schalenurne mit plastischen Wülsten,,MVFMusBEuropa,"Keramik, verziert, Keramik, verziert",Allgemein,Römische Kaiserzeit
2555970,I. 2172a, ,,MVFMusBEuropa,"Ton, Ton",Allgemein,8.-5. Jahrhundert vor Christus
2555970,I. 2172a, ,,MVFMusBEuropa,"Ton, Ton",Allgemein,Hallstatt
2556043,I. 4724c, ,,MVFMusBEuropa,"Ton, Ton",Allgemein,8.-5. Jahrhundert vor Christus
2556043,I. 4724c, ,,MVFMusBEuropa,"Ton, Ton",Allgemein,Hallstatt
2556069,I. 4724f, ,,MVFMusBEuropa,"Ton, Ton",Allgemein,8.-5. Jahrhundert vor Christus
