ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2434825,,Becher mit bildlicher Darstellung,,MVFMusBKaukasusundVordererOrient,"Bronze, getrieben, Bronze, getrieben",Allgemein,10./11. Jh. vor Christus
2556299,II. 9824, ,,MVFMusBKaukasusundVordererOrient,"Bronze, verziert, Bronze, verziert",Allgemein,7./6. Jahrhundert vor Christus
2556299,II. 9824, ,,MVFMusBKaukasusundVordererOrient,"Bronze, verziert, Bronze, verziert",Allgemein,Hallstattzeit
2435824,IIId 240/1,,,MVFMusBKaukasusundVordererOrient,"Bronze, Bronze",Allgemein,15.-11. Jahrhundert vor Christus
2435826,IIId 2310,,,MVFMusBKaukasusundVordererOrient,"Bronze, Bronze",Allgemein,15.-11. Jahrhundert vor Christus
2435833,IIId 2641a,,,MVFMusBKaukasusundVordererOrient,"Bronze, Bronze",Allgemein,14.-8. Jahrhundert vor Christus
2435832,IIId 2698a,,,MVFMusBKaukasusundVordererOrient,"Bronze, gepunzt, Bronze, gepunzt",Allgemein,14.-8. Jahrhundert vor Christus
2435831,IIId 2698e,,,MVFMusBKaukasusundVordererOrient,"Bronze, verziert, Bronze, verziert",Allgemein,14.-8. Jahrhundert vor Christus
2435827,IIId 3916,Bogenfibel mit bildlicher Darstellung,,MVFMusBKaukasusundVordererOrient,"Bronze, verziert, Bronze, verziert",Allgemein,10.-7. Jahrhundert vor Christus
2435821,IIId 3964,Kobanaxt mit beidseitiger Pferdedarstellung,,MVFMusBKaukasusundVordererOrient,"Bronze, verziert, Bronze, verziert",Allgemein,10.-7. Jahrhundert vor Christus
2435825,IIId 4537,Fächerförmige Nadel,,MVFMusBKaukasusundVordererOrient,"Bronze, Bronze",Allgemein,15.-11. Jahrhundert vor Christus
2435823,IIId 4756,,,MVFMusBKaukasusundVordererOrient,"Bronze, Bronze",Allgemein,15.-11. Jahrhundert vor Christus
2435822,IIId 5054,,,MVFMusBKaukasusundVordererOrient,"Bronze, Bronze",Allgemein,15.-11. Jahrhundert vor Christus
2435834,IIId 5132a,Vogelförmiger Anhänger,,MVFMusBKaukasusundVordererOrient,"Bronze, Bronze",Allgemein,14.-8. Jahrhundert vor Christus
2435835,IIId 5132b,Vogelförmiger Anhänger,,MVFMusBKaukasusundVordererOrient,"Bronze, Bronze",Allgemein,14.-8. Jahrhundert vor Christus
2435836,IIId 5453/2,Gürtelhaken mit drei Widderköpfe,,MVFMusBKaukasusundVordererOrient,"Bronze"";"" Kupfersulfid, Bronze, Kupfersulfid, Einlage",Allgemein,11.-8. Jahrhundert vor Christus
2435830,IIId 5527,Gürtelhaken mit bildlicher Darstellung (Hirsch und Schakale),,MVFMusBKaukasusundVordererOrient,"Bronze, Bronze",Allgemein,11.-8. Jahrhundert vor Christus
2435828,IIId 5540,Zoomorpher Anhänger (Widderkopf),,MVFMusBKaukasusundVordererOrient,"Bronze, Bronze",Allgemein,11.-8. Jahrhundert vor Christus
2435829,IIId 5541,Zoomorpher Anhänger (Widderkopf),,MVFMusBKaukasusundVordererOrient,"Bronze, Bronze",Allgemein,11.-8. Jahrhundert vor Christus
2430005,IIId 6607,Stangenaufsatz mit Raubkatzenkopf,,MVFMusBKaukasusundVordererOrient,"Bronze, verziert"";"" Gestein, Bronze, Gestein, verziert",Allgemein,6. Jahrhundert vor Christus
2557117,IIId 6933,Anthropomorphes Beschlag-Fragment,,MVFMusBKaukasusundVordererOrient,"Bronze, verziert, Bronze, verziert",Allgemein,4. Jahrhundert vor Christus
2557117,IIId 6933,Anthropomorphes Beschlag-Fragment,,MVFMusBKaukasusundVordererOrient,"Bronze, verziert, Bronze, verziert",Allgemein,skythisch
2555145,IIId 7042/2,Skytischer Pferdekopfschmuck,,MVFMusBKaukasusundVordererOrient,"Bronze, verziert, Bronze, verziert",Allgemein,1. Hälfte 5. Jahrhundert vor Christus
2555145,IIId 7042/2,Skytischer Pferdekopfschmuck,,MVFMusBKaukasusundVordererOrient,"Bronze, verziert, Bronze, verziert",Allgemein,Skyten
2016533,IIId 2683e,Scherenpinzette mit runder Feder,,MVFMusBKaukasusundVordererOrient,"Bronze, Bronze",Allgemein,
2016500,IIId 6427,,,MVFMusBKaukasusundVordererOrient,"Bronze, Bronze",Allgemein,
2016497,IIId 6826,,,MVFMusBKaukasusundVordererOrient,"Blei-Zinn-Kupferlegierung, Blei, Zinn, Kupfer",Allgemein,
1534293,IIId 7042/1,Skytischer Pferdekopfschmuck,,MVFMusBKaukasusundVordererOrient,"Bronze, verziert, Bronze, verziert",Allgemein,1. Hälfte 5. Jahrhundert vor Christus
1534293,IIId 7042/1,Skytischer Pferdekopfschmuck,,MVFMusBKaukasusundVordererOrient,"Bronze, verziert, Bronze, verziert",Allgemein,Skyten
1623511,IIId BD 8a-b,Zweischneidiges Schwert mit Chalcedonperle,,MVFMusBKaukasusundVordererOrient,"Eisen, vergoldetes Bronzezellwerk mit granatfarbenen Glaseinlagen"";"" Chalcedon, Eisen, Bronze, Glas, Cloisonné-Technik, Chalzedon",Allgemein,1. Hälfte/Mitte 5. Jahrhundert
2395482,XIb 1239,"Terrakotten-Fragment """"""""Sitzfigur (Kybele) mit einem kleinen Löwen auf dem Schoß",,MVFMusBKaukasusundVordererOrient,"Keramik, Terrakotta, Keramik, Terrakotta",Allgemein,Römische Kaiserzeit
2395355,XIb 1249,,,MVFMusBKaukasusundVordererOrient,"Ton, Ton",Allgemein,Eisenzeit
2395358,XIb 1250,,,MVFMusBKaukasusundVordererOrient,"Ton, Ton",Allgemein,Eisenzeit
2435799,XIb 1340,"Scherbe mit Henkel, mykenisch",,MVFMusBKaukasusundVordererOrient,"Keramik, bemalt, Keramik, bemalt",Allgemein,14.-12. Jahrhundert vor Christus
2452863,XIb 1345,"Scherbe, mykenisch",,MVFMusBKaukasusundVordererOrient,"Ton, bemalt, Ton, bemalt",Allgemein,
