ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2473613,VIIa 327,Fibel mit Tierkopfsprossen (Nachbildung),,MVFMusBOhneFundkontext,"Metall, verziert, Metall, verziert",Allgemein,
2473614,VIIa 329,Spangenfibel (Nachbildung),,MVFMusBOhneFundkontext,"Gips, Gips",Allgemein,
2473615,VIIa 330,Bügelfibel (Nachbildung),,MVFMusBOhneFundkontext,"unbekannt, unbekannt",Allgemein,
2473616,VIIa 331,Bügelfibel (Nachbildung),,MVFMusBOhneFundkontext,"Gips, Gips",Allgemein,
2390837,VIIb 226,"Gesichtsrekonstruktion eines """"""""Homo sapiens fossilis"""""""" (Neanthropus?)",,MVFMusBOhneFundkontext,"Gips, coloriert, Gips, coloriert",Allgemein,Mousterien (Original)
2396007,VIIIa 428,"Brakteat """"""""Jacza von Köpenick",,MVFMusBOhneFundkontext,"Silber, Silber",Allgemein,1150-1157
2396008,VIIIa 429,"Brakteat """"""""Albrecht der Bär",,MVFMusBOhneFundkontext,"Silber, Silber",Allgemein,1150-1170
2396009,VIIIa 430,"Brakteat """"""""Albrecht der Bär",,MVFMusBOhneFundkontext,"Silber, Silber",Allgemein,1150 (nach)
2396010,VIIIa 431,"Brakteat """"""""Otto I. von Brandenburg",,MVFMusBOhneFundkontext,"Silber, Silber",Allgemein,1170-1184
2396011,VIIIa 432,"Brakteat """"""""Otto I. von Brandenburg",,MVFMusBOhneFundkontext,"Silber, Silber",Allgemein,
2556822,VIIIa 516,Schnabelkanne mit Acheloosmaske,,MVFMusBOhneFundkontext,"Bronze, Bronze",Allgemein,5. Jahrhundert vor Christus
2556822,VIIIa 516,Schnabelkanne mit Acheloosmaske,,MVFMusBOhneFundkontext,"Bronze, Bronze",Allgemein,etruskisch
2563404,VIIIa 1235,,,MVFMusBOhneFundkontext,"Felsgestein, Felsgestein",Allgemein,Neolithikum
2571123,VIIIa 1580/1,,,MVFMusBOhneFundkontext,"Silex, Silex",Allgemein,
2571124,VIIIa 1580/2,,,MVFMusBOhneFundkontext,"Silex, Silex",Allgemein,
2571125,VIIIa 1580/3,,,MVFMusBOhneFundkontext,"Silex, Silex",Allgemein,
2571126,VIIIa 1580/4,,,MVFMusBOhneFundkontext,"Silex, Silex",Allgemein,
2571127,VIIIa 1580/5,,,MVFMusBOhneFundkontext,"Silex, Silex",Allgemein,
2571128,VIIIa 1580/6,,,MVFMusBOhneFundkontext,"Silex, Silex",Allgemein,
2563405,VIIIa 2117,Tasse mit überrandständigem Bandhenkel,,MVFMusBOhneFundkontext,"Ton, Ton",Allgemein,Neolithikum
2475090,VIIIa 2436, ,,MVFMusBOhneFundkontext,"Gold, Gold",Allgemein,Frühe Bronzezeit
2475090,VIIIa 2436, ,,MVFMusBOhneFundkontext,"Gold, Gold",Allgemein,Aunjetitzer Kultur
2571130,VIIIa 2737,,,MVFMusBOhneFundkontext,"Jadeit, Jadeit",Allgemein,ca. 4500 vor Christus 
2571130,VIIIa 2737,,,MVFMusBOhneFundkontext,"Jadeit, Jadeit",Allgemein,Jungsteinzeit (Neolithikum)
2571113,VIIIa 4524,,,MVFMusBOhneFundkontext,"Kupfererz, Kupfererz",Allgemein,
1647704,VIIIa 3691,Anhänger mit Radmotiv,,MVFMusBOhneFundkontext,"Bronze, einseitig gegossen, Bronze, einseitig gegossen",Allgemein,Mittelbronzezeit
1647704,VIIIa 3691,Anhänger mit Radmotiv,,MVFMusBOhneFundkontext,"Bronze, einseitig gegossen, Bronze, einseitig gegossen",Allgemein,Hügelgräberbronzezeit
2286234,BA 535, ,,MVFMusBOhneFundkontext,"Ton, Ton",Allgemein,Jungsteinzeit (Neolithikum)
2286235,BA 1128,,,MVFMusBOhneFundkontext,"Ton, Ton, verziert",Allgemein,Jungsteinzeit (Neolithikum)
2286236,BA 1129,,,MVFMusBOhneFundkontext,"Ton, Ton, verziert",Allgemein,Jungsteinzeit (Neolithikum)
2286237,BA 1132,,,MVFMusBOhneFundkontext,"Ton, Ton, verziert",Allgemein,Jungsteinzeit (Neolithikum)
2286238,BA 1134,,,MVFMusBOhneFundkontext,"Ton, Ton",Allgemein,Jungsteinzeit (Neolithikum)
2286239,BA 1171,,,MVFMusBOhneFundkontext,"Ton, Ton",Allgemein,Jungsteinzeit (Neolithikum)
2453042,BA 1257,,,MVFMusBOhneFundkontext,"Ton, Ton",Allgemein,
2453045,BA 1258,Scherbe mit Ösenhenkel,,MVFMusBOhneFundkontext,"Ton, Ton",Allgemein,
2453046,BA 1259,,,MVFMusBOhneFundkontext,"Ton, Ton",Allgemein,
2453047,BA 1260,,,MVFMusBOhneFundkontext,"Ton, Ton",Allgemein,
2453048,BA 1261,,,MVFMusBOhneFundkontext,"Ton, Ton",Allgemein,
2453050,BA 1262,,,MVFMusBOhneFundkontext,"Ton, Ton",Allgemein,
2453051,BA 1263,,,MVFMusBOhneFundkontext,"Ton, Ton",Allgemein,
2286240,BB 143,,,MVFMusBOhneFundkontext,"Gestein, Gestein",Allgemein,Jungsteinzeit (Neolithikum)
2286241,BB 1016,,,MVFMusBOhneFundkontext,"Gestein, Gestein",Allgemein,Jungsteinzeit (Neolithikum)
2286242,BB 1031,,,MVFMusBOhneFundkontext,"Gestein, Gestein",Allgemein,Jungsteinzeit (Neolithikum)
