ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2634484,,"Silberperle (""""""""Kiewer Ei"""""""")",,MVFMusSBerlinerBodenfunde,"Silber, verziert, Silber, verziert",Allgemein,13. Jahrhundert
2438236,If 399,Rillenstein,,MVFMusSBerlinerBodenfunde,"Granit, Granit",Allgemein,
2438135,If 400,Pfeilspitze,,MVFMusSBerlinerBodenfunde,"Feuerstein, Feuerstein",Allgemein,
2438137,If 402b,Zweiflüglige Pfeilspitze,,MVFMusSBerlinerBodenfunde,"Bronze, Bronze",Allgemein,Bronzezeit
2438234,If 403,Griffzungenschwert,,MVFMusSBerlinerBodenfunde,"Bronze, Bronze",Allgemein,Bronzezeit
2571135,If 8702,,,MVFMusSBerlinerBodenfunde,"Bronze, Bronze",Allgemein,ca. 800-620 vor Christus 
2571135,If 8702,,,MVFMusSBerlinerBodenfunde,"Bronze, Bronze",Allgemein,jüngere Bronzezeit / Hallstatt C
2612334,If 16044a,Rinderfigur ,,MVFMusSBerlinerBodenfunde,"Bronze, Bronze",Allgemein,3. Jahrhundert
2612334,If 16044a,Rinderfigur ,,MVFMusSBerlinerBodenfunde,"Bronze, Bronze",Allgemein,Römische Kaiserzeit
2396015,If 16222,Kamm mit 2 Nieten,,MVFMusSBerlinerBodenfunde,"Geweih, verziert, Geweih, verziert",Allgemein,11. Jahrhundert
2223138,If 16239,,,MVFMusSBerlinerBodenfunde,"Ton, verziert, Ton, verziert",Allgemein,
2223144,If 16253,,,MVFMusSBerlinerBodenfunde,"Eisen, Eisen",Allgemein,
2223145,If 16255, ,,MVFMusSBerlinerBodenfunde,"Eisen, Eisen",Allgemein,
2223146,If 16261, ,,MVFMusSBerlinerBodenfunde,"Ton, Ton",Allgemein,
2465597,If 16269,,,MVFMusSBerlinerBodenfunde,"Ton, verziert, Ton, verziert",Allgemein,slawisch
2223204,If 16276,Kamm mit 7 Nieten,,MVFMusSBerlinerBodenfunde,"Horn, verziert mit 7 Eisennieten, Horn, Eisen, verziert mit 7 Nieten",Allgemein,
2560089,If 16300,Topf (Suckower/Menkendorfer Typ),,MVFMusSBerlinerBodenfunde,"Keramik, verziert, Keramik, verziert",Allgemein,7.-10. Jahrhundert
2223209,If 16301, ,,MVFMusSBerlinerBodenfunde,"Ton, verziert, Ton, verziert",Allgemein,
2441164,If 16305,,,MVFMusSBerlinerBodenfunde,"Keramik, Keramik",Allgemein,Ende 7. Jahrhundert/Anfang 8. Jahrhundert
2393866,If 16315/1,,,MVFMusSBerlinerBodenfunde,"Geweih, Geweih",Allgemein,
2441171,If 16322,,,MVFMusSBerlinerBodenfunde,"Glas, Glas",Allgemein,10. Jahrhundert
2223240,If 16334, ,,MVFMusSBerlinerBodenfunde,"Ton, verziert, Ton, verziert",Allgemein,
2393841,If 16343, ,,MVFMusSBerlinerBodenfunde,"Ton, Ton",Allgemein,
2441174,If 16344,,,MVFMusSBerlinerBodenfunde,"Glas, Glas",Allgemein,12. Jahrhundert
2457887,If 16356a,Bandförmiger Fingerring,,MVFMusSBerlinerBodenfunde,"Bronze, Bronze",Allgemein,2. Hälfte 12. Jahrhundert
2457890,If 16356b,Bandförmiger Fingerring mit offenen Enden,,MVFMusSBerlinerBodenfunde,"Bronze, Bronze",Allgemein,2. Hälfte 12. Jahrhundert
2457871,If 16356c,Fingerknochen-Fragment [Mensch],,MVFMusSBerlinerBodenfunde,"Knochen, Knochen",Allgemein,2. Hälfte 12. Jahrhundert
2441175,If 16358,,,MVFMusSBerlinerBodenfunde,"Holz, Holz",Allgemein,11./12. Jahrhundert
2441178,If 16414,,,MVFMusSBerlinerBodenfunde,"Keramik, Keramik",Allgemein,10.-12. Jahrhundert
2455086,If 16443,,,MVFMusSBerlinerBodenfunde,"Knochen, Knochen",Allgemein,13. Jahrhundert
2455327,If 16456,,,MVFMusSBerlinerBodenfunde,"Eisen, vergoldet, Eisen, vergoldet",Allgemein,Mittelalter
2455091,If 16458,,,MVFMusSBerlinerBodenfunde,"Bronze, Bronze",Allgemein,13./14. Jahrhundert
2455096,If 16462,Messer mit Holzgriff,,MVFMusSBerlinerBodenfunde,"Eisen"";"" Holz, Eisen, Holz",Allgemein,Mittelalter
2441194,If 16476,Halbe Schale,,MVFMusSBerlinerBodenfunde,"Holz, Holz",Allgemein,11. Jahrhundert
2441200,If 16488,,,MVFMusSBerlinerBodenfunde,"Eisen"";"" Bronze, ummantelt, Eisen, Bronze, ummantelt",Allgemein,11./12. Jahrhundert
2455098,If 16510,Daubenschüssel,,MVFMusSBerlinerBodenfunde,"Holz, Holz",Allgemein,Mittelalter
2278441,If 16514,,,MVFMusSBerlinerBodenfunde,"Ton, Ton",Allgemein,13. Jahrhundert
2455110,If 16518,,,MVFMusSBerlinerBodenfunde,"Ton, Ton",Allgemein,Ende 13. Jahrhundert
2455111,If 16522, ,,MVFMusSBerlinerBodenfunde,"Keramik, Keramik",Allgemein,13. Jahrhundert
2455112,If 16523,Pokal mit Brombeernoppen,,MVFMusSBerlinerBodenfunde,"Keramik, Irdenware, grün glasiert, verziert, Keramik, Irdenware, grün glasiert, verziert",Allgemein,13. Jahrhundert
2455114,If 16524,,,MVFMusSBerlinerBodenfunde,"Keramik, Steinzeug, Steinzeug",Allgemein,14./15. Jahrhundert
2455204,If 16539,,,MVFMusSBerlinerBodenfunde,"Ton, Ton",Allgemein,Neuzeit
2455255,If 16551,,,MVFMusSBerlinerBodenfunde,"Knochen, Knochen",Allgemein,13./14. Jahrhundert
2278440,If 16565,Bronzefigur in Form eines Hundes,,MVFMusSBerlinerBodenfunde,"Bronze, Bronze",Allgemein,14. Jahrhundert
2455259,If 16571,,,MVFMusSBerlinerBodenfunde,"Keramik, Keramik",Allgemein,13. Jahrhundert
2455277,If 16594,,,MVFMusSBerlinerBodenfunde,"Ziegel, Ziegel",Allgemein,Mittelalter/Neuzeit
2455289,If 16603,,,MVFMusSBerlinerBodenfunde,"Bronze, Bronze",Allgemein,13./14. Jahrhundert
2455294,If 16604,,,MVFMusSBerlinerBodenfunde,"Knochen (?), Knochen (?)",Allgemein,Mittelalter/Neuzeit
2386482,If 16608, ,,MVFMusSBerlinerBodenfunde,"Keramik, verziert, Keramik, verziert",Allgemein,11./12. Jahrhundert
2386457,If 16617,,,MVFMusSBerlinerBodenfunde,"Glas, grün, Glas, grün",Allgemein,11./12. Jahrhundert
2386456,If 16626,,,MVFMusSBerlinerBodenfunde,"Knochen, Knochen",Allgemein,11./12. Jahrhundert
2386961,If 16631,"Anthropomorphe Figur ohne Kopf (""""""""Christusknäblein"""""""")",,MVFMusSBerlinerBodenfunde,"Ton, weiß gebrannt, Ton, weiß gebrannt",Allgemein,Ende 15. Jahrhundert/Anfang 16. Jahrhundert
2386458,If 16633,,,MVFMusSBerlinerBodenfunde,"Ton, Ton",Allgemein,11./12. Jahrhundert
2386459,If 16634,,,MVFMusSBerlinerBodenfunde,"Ton, verziert, Ton, verziert",Allgemein,11./12. Jahrhundert
2457873,If 16641a-c,Fischknochen,,MVFMusSBerlinerBodenfunde,"Knochen, Knochen",Allgemein,slawisch
2441202,If 16647,,,MVFMusSBerlinerBodenfunde,"Keramik, Keramik",Allgemein,11. Jahrhundert
2223242,If 16649,,,MVFMusSBerlinerBodenfunde,"Geweih, Geweih",Allgemein,
2441205,If 16652,,,MVFMusSBerlinerBodenfunde,"Eisen"";"" Bronze, ummantelt, Eisen, Bronze, ummantelt",Allgemein,11. Jahrhundert
2455303,If 16655,,,MVFMusSBerlinerBodenfunde,"Eisen, Eisen",Allgemein,13./14. Jahrhundert
2571092,If 16656,,,MVFMusSBerlinerBodenfunde,"Leder, Leder",Allgemein,12. Jahrhundert
2394388,If 16662,,,MVFMusSBerlinerBodenfunde,"Bronze, Bronze",Allgemein,
2558044,If 16687a, ,,MVFMusSBerlinerBodenfunde,"Silex, Silex",Allgemein,Spätpaläolithikum
2558045,If 16687b, ,,MVFMusSBerlinerBodenfunde,"Silex, Silex",Allgemein,Spätpaläolithikum
2394391,If 16703,Rechteckiger Feuerstahl,,MVFMusSBerlinerBodenfunde,"Eisen, Eisen",Allgemein,
2394406,If 16704,,,MVFMusSBerlinerBodenfunde,"Bronze, Bronze",Allgemein,
2560076,If 16736,Menkendorfer Topf,,MVFMusSBerlinerBodenfunde,"Keramik, verziert, Keramik, verziert",Allgemein,7.-10. Jahrhundert
2455305,If 16770,,,MVFMusSBerlinerBodenfunde,"Keramik, Keramik",Allgemein,Mittelalter
2455334,If 16778,Messer mit Schaft,,MVFMusSBerlinerBodenfunde,"Eisen, Eisen",Allgemein,Mittelalter
