ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2604430,VIIb 395,Hirschgeweihmaske (Rekonstruktion),,MVFMusSDeposita,"Knochen, Rothirsch (Cervus elaphus)"";"" Geweih, Rothirsch (Cervus elaphus), Knochen, Rothirsch (Cervus elaphus), Geweih, Rothirsch (Cervus elaphus)",,2019
2604430,VIIb 395,Hirschgeweihmaske (Rekonstruktion),,MVFMusSDeposita,"Knochen, Rothirsch (Cervus elaphus)"";"" Geweih, Rothirsch (Cervus elaphus), Knochen, Rothirsch (Cervus elaphus), Geweih, Rothirsch (Cervus elaphus)",,(Original:) Mittelsteinzeit (Mesolithikum)
2267491,1975/162,Reibnagel,,MVFMusSDeposita,"Eisen, Eisen",Allgemein,
2597901,1975/66,,,MVFMusSDeposita,"Eisen, Eisen",Allgemein,
2597903,1975/66,,,MVFMusSDeposita,"Eisen, Eisen",Allgemein,
2267310,1980/4.I24,Becken mit Halbdeckel und Ausguss,,MVFMusSDeposita,"Kupferlegierung, innen und Rand verzinnt, Kupferlegierung, innen und Rand verzinnt",Allgemein,
2267154,1980/4.I8,Becken mit Ausguss,,MVFMusSDeposita,"Kupferlegierung, verzinnt, verziert, Kupferlegierung, verzinnt, verziert",Allgemein,
2597883,1980/40.I26,,,MVFMusSDeposita,"Kupferlegierung"";"" Eisen, Kupferlegierung, Eisen",Allgemein,
2267319,1980/40.I29,"Kessel (""""""""Westlandkessel"""""""")",,MVFMusSDeposita,"Kupferlegierung, Kupferlegierung",Allgemein,
2267061,1980/40.I30,"Platte mit ausbiegendem, innen profilierten Rand",,MVFMusSDeposita,"Kupferlegierung, innen verzinnt, Kupferlegierung, innen verzinnt",Allgemein,
2267144,1980/40.I9,Kelle mit ruderförmigem Griff,,MVFMusSDeposita,"Kupferlegierung, Kupferlegierung",Allgemein,
2267373,1980/40.II3,Einhenkelbecken mit abgerundetem Unterteil,,MVFMusSDeposita,"Kupferlegierung, Kupferlegierung",Allgemein,
2267141,1980/40.III5,Kelle mit ruderförmigem Griff,,MVFMusSDeposita,"Kupferlegierung, Kupferlegierung",Allgemein,
2597899,1980/40.III7,Einhenkelbecken,,MVFMusSDeposita,"Kupferlegierung, Kupferlegierung",Allgemein,
2267329,1981/25.I11,"Kessel (""""""""Westlandkessel"""""""")",,MVFMusSDeposita,"Kupferlegierung, Kupferlegierung",Allgemein,
2266904,1981/25.I12,Teller mit innen profiliertem Rand,,MVFMusSDeposita,"Kupferlegierung, innen silberplattiert, Kupferlegierung, innen silberplattiert, Silber",Allgemein,
2267324,1981/25.I18,"Kessel (""""""""Westlandkessel"""""""")",,MVFMusSDeposita,"Kupferlegierung, Kupferlegierung",Allgemein,
2267133,1981/25.I19,Ovale Platte ohne Griffe,,MVFMusSDeposita,"Zinn, Zinn",Allgemein,
2612337,1981/25.II12,"Platte mit ausbiegendem Rand, glattem Rand",,MVFMusSDeposita,"Kupferlegierung, innen verzinnt, Kupferlegierung, verzinnt, innen",Allgemein,
2267371,1981/25.II2,Einhenkelbecken mit kantigem Unterteil,,MVFMusSDeposita,"Kupferlegierung, Kupferlegierung",Allgemein,
2267523,1981/25.II21,,,MVFMusSDeposita,"Eisen, Eisen",Allgemein,
2267556,1981/25.II46,,,MVFMusSDeposita,"Eisen"";"" Kupferlegierung, Eisen, Kupferlegierung",Allgemein,
2612338,1981/25.II9,Ovale Platte mit breiten Griffen,,MVFMusSDeposita,"Kupferlegierung, innen verzinnt, Kupferlegierung, verzinnt, innen",Allgemein,
2597897,1981/26.12,Kelle mit ruderförmigem Griff,,MVFMusSDeposita,"Kupferlegierung, verzinnt (?), Kupferlegierung, verzinnt (?)",Allgemein,
2267136,1981/26.14,Kasserolle mit rundem Scheibengriff,,MVFMusSDeposita,"Kupferlegierung, Kupferlegierung",Allgemein,
2267064,1981/26.26,Platte mit profiliertem Steilrand,,MVFMusSDeposita,"Silber, Silber",Allgemein,
2612374,1981/26.3,Becken mit Halbdeckel und Ausguss,,MVFMusSDeposita,"Kupferlegierung, innen verzinnt, Kupferlegierung, verzinnt, innen",Allgemein,
2597896,1981/26.30,Platte mit ausbiegendem Rand,,MVFMusSDeposita,"Kupferlegierung, Zinn/Blei-Überzug, Kupferlegierung, Zinn/Blei-Überzug",Allgemein,
2267372,1981/26.35,Einhenkelbecken mit abgerundetem Unterteil,,MVFMusSDeposita,"Kupferlegierung, Kupferlegierung",Allgemein,
2267332,1981/26.43,"Kessel (""""""""Westlandkessel"""""""")",,MVFMusSDeposita,"Kupferlegierung, Kupferlegierung",Allgemein,
2268824,1981/26.46,"Kessel (""""""""Westlandkessel"""""""")",,MVFMusSDeposita,"Kupferlegierung, Kupferlegierung",Allgemein,
2267366,1981/26.52,Topf,,MVFMusSDeposita,"Kupferlegierung, Kupferlegierung",Allgemein,
2267369,1981/26.53,,,MVFMusSDeposita,"Kupferlegierung, innen verzinnt, Kupferlegierung, innen verzinnt",Allgemein,
2267368,1981/26.55,,,MVFMusSDeposita,"Kupferlegierung, Kupferlegierung",Allgemein,
2600935,1981/26.82,,,MVFMusSDeposita,"Kupferlegierung, Kupferlegierung",Allgemein,
