ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2560111,,Schale mit Gurtfurchen,,MVFMusSMarkischesMuseum,"Keramik, Keramik, verziert",Allgemein,11. Jh. - 12. Jh.
2041082,MM  II 5824, ,,MVFMusSMarkischesMuseum,"Gestein, Gestein",Allgemein,
1624413,MM  II 20427,Panzerreiterfigur (Hacksilber),,MVFMusSMarkischesMuseum,"Silber, gegossen, verziert mit Drahauflage, Silber, gegossen, Drahtauflage",Allgemein,10./11. Jahrhundert
1624413,MM  II 20427,Panzerreiterfigur (Hacksilber),,MVFMusSMarkischesMuseum,"Silber, gegossen, verziert mit Drahauflage, Silber, gegossen, Drahtauflage",Allgemein,slawisch
1627150,MM  II 21669 ff.,"Hortfund mit Kessel, Schale, Schmuck und Pferdegeschirr",,MVFMusSMarkischesMuseum,"Bronze, Bronze",Allgemein,9./8. Jahrhundert vor Christus
1627150,MM  II 21669 ff.,"Hortfund mit Kessel, Schale, Schmuck und Pferdegeschirr",,MVFMusSMarkischesMuseum,"Bronze, Bronze",Allgemein,Späte Bronzezeit
1514608,MM  II 21670,Hängebecken mit reicher Verzierung,,MVFMusSMarkischesMuseum,"Bronze, getrieben, graviert, Bronze, getrieben, graviert",Allgemein,9. Jahrhundert vor Christus
1514608,MM  II 21670,Hängebecken mit reicher Verzierung,,MVFMusSMarkischesMuseum,"Bronze, getrieben, graviert, Bronze, getrieben, graviert",Allgemein,Späte Bronzezeit
2041101,MM  II 28000, ,,MVFMusSMarkischesMuseum,"Bronze, Bronze",Allgemein,
2041102,MM  II 28004,Bronzene Pfeilspitze,,MVFMusSMarkischesMuseum,"Bronze, Bronze",Allgemein,
2041087,MM  II 28082,Steinbeil-Fragment,,MVFMusSMarkischesMuseum,"Gestein, Gestein",Allgemein,
2006182,MM  II 28722,Fibel mit Spiralkonstruktion,,MVFMusSMarkischesMuseum,"Bronze, Bronze",Allgemein,1. Drittel 5. Jahrhundert vor Christus
2041412,MM  II 29926-29960/1, ,,MVFMusSMarkischesMuseum,"Ton, Ton",Allgemein,
2041433,MM  II 29926-29960/2, ,,MVFMusSMarkischesMuseum,"Ton, Ton",Allgemein,
2006221,MM  II 41403/1-3,Urne mit Deckschale und Leichenbrand,,MVFMusSMarkischesMuseum,"Ton, Ton, handgeformt",Allgemein,Bronzezeit
2041110,MM  II 41412,Eisenschwert,,MVFMusSMarkischesMuseum,"Eisen, Eisen",Allgemein,
1949539,MM  II 43822,Rechteckschnalle,,MVFMusSMarkischesMuseum,"Bronze, Bronze",Allgemein,Römische Kaiserzeit
