ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1896701,(MVF) PM OPM 20559-20561/1,Spiralfingerring,,MVFMusSPrussia2,"Buntmetall, Buntmetall",Allgemein,9. Jh. - 12. Jh.
2032691,(MVF) PM Pr 11097*,Gürtelschließe,,MVFMusSPrussia2,"Bronze, Bronze",Allgemein,
2038171,(MVF) PM Pr 11141*,Riemenzunge,,MVFMusSPrussia2,"Eisen, Eisen",Allgemein,
2038173,(MVF) PM Pr 11142*,Unbestimmt (Schmuck),,MVFMusSPrussia2,"Eisen, Eisen",Allgemein,
2040895,(MVF) PM Pr 11152*,Fingerband,,MVFMusSPrussia2,"Bronze, Bronze",Allgemein,
2040837,(MVF) PM Pr 11198*,Beschlag,,MVFMusSPrussia2,"Bronze, Bronze",Allgemein,
2040903,(MVF) PM Pr 11199*,Dorn einer Gürtelschnalle,,MVFMusSPrussia2,"Bronze, Bronze",Allgemein,
2040908,(MVF) PM Pr 11200*,Fibel mit Spiralkonstruktion,,MVFMusSPrussia2,"Bronze, Bronze",Allgemein,
2040913,(MVF) PM Pr 11201*,Fibel mit Spiralkonstruktion,,MVFMusSPrussia2,"Bronze, Bronze",Allgemein,
2040914,(MVF) PM Pr 11202*,Beschlag,,MVFMusSPrussia2,"Bronze, Bronze",Allgemein,
2049424,(MVF) PM Pr 11212*,Beschlag,,MVFMusSPrussia2,"Bronze, Bronze",Allgemein,
2049426,(MVF) PM Pr 11213*,Fingerband,,MVFMusSPrussia2,"Bronze, Bronze",Allgemein,
2049429,(MVF) PM Pr 11214*,Röhrchen,,MVFMusSPrussia2,"Bronze, Bronze",Allgemein,
2049433,(MVF) PM Pr 11215*,Röhrchen,,MVFMusSPrussia2,"Bronze, Bronze",Allgemein,
2049436,(MVF) PM Pr 11216*,Beschlag,,MVFMusSPrussia2,"Bronze, Bronze",Allgemein,
2049440,(MVF) PM Pr 11217*,Pfriem,,MVFMusSPrussia2,"Eisen, Eisen",Allgemein,
2049442,(MVF) PM Pr 11218*,Ring,,MVFMusSPrussia2,"Bronze, Bronze",Allgemein,
2049441,(MVF) PM Pr 11219*,Griff [Messer],,MVFMusSPrussia2,"Eisen, Eisen",Allgemein,
2049454,(MVF) PM Pr 11220*,Bügel [Fibel],,MVFMusSPrussia2,"Bronze, Bronze",Allgemein,
2049457,(MVF) PM Pr 11221*,Fibelfragment,,MVFMusSPrussia2,"Bronze, Bronze",Allgemein,
2049460,(MVF) PM Pr 11222*,"Spinnwirtel, doppelkonisch",,MVFMusSPrussia2,"Ton, Ton",Allgemein,
