ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2350669,VIIa 670/1,"Saucière aus dem """"""""Schatz des Priamos"""""""" (Nachbildung)",,MVFMusSSchliemann,"Kupfer, vergoldet (Original: Gold), Kupfer, Gold, galvanisiert",Allgemein,(Original) um 2300 vor Christus 
2452820,VIIa 1259,Anthropomorphes Gefäß (Nachbildung),,MVFMusSSchliemann,"Gips, coloriert, Gips, coloriert",Allgemein,(Original) 2600-1700 vor Christus
2452823,VIIa 1260,Anthropomorpher Stülpdeckel mit Zipfelgriff (Nachbildung),,MVFMusSSchliemann,"Gips, coloriert, Gips, coloriert",Allgemein,(Original) 2600-1700 vor Christus
2452826,VIIa 1261,Depas (Nachbildung),,MVFMusSSchliemann,"Gips, coloriert, Gips, coloriert",Allgemein,(Original) 2600-1700 vor Christus
2452828,VIIa 1262,Schnabelkanne (Nachbildung),,MVFMusSSchliemann,"Gips, coloriert, Gips, coloriert",Allgemein,(Original) 2600-2200 vor Christus
2452832,VIIa 1263,Schnurösengefäß mit drei Füßen (Nachbildung),,MVFMusSSchliemann,"Gips, coloriert, Gips, coloriert",Allgemein,(Original) 2600-1700 vor Christus
2452834,VIIa 1264,"Kalyx, mykenisch (Nachbildung)",,MVFMusSSchliemann,"Gips, coloriert, Gips, coloriert",Allgemein,(Original) 14./13. Jahrhundert vor Christus
2452837,VIIa 1265,Bemaltes Schweinchen (Nachbildung),,MVFMusSSchliemann,"Gips, coloriert, rote Bemalung, Gips, rote Bemalung, coloriert",Allgemein,(Original) 1700-1300 vor Christus
2452838,VIIa 1266,Buckelgefäß (Nachbildung),,MVFMusSSchliemann,"Gips, coloriert, Gips, coloriert",Allgemein,(Original) 1300-1100 vor Christus
2350671,VIIa 1409,Ohrgehänge (Nachbildung),,MVFMusSSchliemann,"Silber, vergoldet (Original: Gold), Silber, Gold, galvanisiert",Allgemein,(Original) Frühe Bronzezeit
2269192,VIIa 1418 ff.,"Großes Diadem und zwei Ohrgehänge aus dem """"""""Schatz des Priamos"""""""" (Nachbildung)",,MVFMusSSchliemann,"Silber vergoldet (Original: Gold), Silber, vergoldet, Gold",Allgemein,(Original) um 2300 vor Christus 
2448169,VIIa 1425,"Ohrgehänge aus dem """"""""Schatz des Priamos"""""""" (Nachbildung)",,MVFMusSSchliemann,"Silber, vergoldet (Original: Gold), Silber, Gold, galvanisiert",Allgemein,(Original) um 2300 vor Christus 
