ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
"[aus: 7 Objects/69, Hrsg. Tanglewood Press, Inc., New York]","Tanglewood Press, Inc., New York",NGHamburgerBahnhofMuseumfurGegenwart,"Gemälde auf Leinwand, Nägel",Malerei/Gemälde,1969,,
"Verso: Mädchen am Strand, 1913","Kirchner, Ernst Ludwig",NGNeueNationalgalerie,"Öl auf Leinwand, oil on canvas, Öl : Leinwand",Malerei/Gemälde,1914,,
Verso: Strand mit Dünen und Kreuz (wohl 1910),"Heckel, Erich",NGNeueNationalgalerie,"Öl auf Leinwand, oil on canvas, Öl : Leinwand",Malerei/Gemälde,1911,,
Verso: Strand mit Dünen und Kreuz (wohl 1910),"Heckel, Erich",NGNeueNationalgalerie,"Öl auf Leinwand, oil on canvas, Öl : Leinwand",Malerei/Gemälde,1910/1911,,
Verso: Strand mit Dünen und Kreuz (wohl 1910),"Heckel, Erich",NGNeueNationalgalerie,"Öl auf Leinwand, oil on canvas, Öl : Leinwand",Malerei/Gemälde,1910,,
"Verso: Kinderbildnis Frank, um 1917","Pechstein, Max",NGNeueNationalgalerie,"Öl auf Leinwand, oil on canvas, Öl : Leinwand",Malerei/Gemälde,1917,,
"Verso: Bäume I (Studie, 1916)","Felixmüller, Conrad",NGNeueNationalgalerie,"Öl auf Leinwand, oil on canvas, Öl : Leinwand",Malerei/Gemälde,1918,,
Verso: Brustbild eines Mannes (um 1910-1912),"Jawlensky, Alexej von",NGNeueNationalgalerie,"Öl auf Pappe, oil on cardboard, Öl : Pappe",Malerei/Gemälde,1912,,
Verso: Komposition (1915),"Muche, Georg",NGNeueNationalgalerie,"Öl auf Leinwand, oil on canvas, Öl : Leinwand",Malerei/Gemälde,1919,,
Verso: Villa und Park an der Elbe (um 1909),"Kirchner, Ernst Ludwig",NGNeueNationalgalerie,"Öl auf Leinwand, oil on canvas, Öl : Leinwand",Malerei/Gemälde,1910-1926,,
Verso: Niedergrunstedt VI (1914),"Feininger, Lyonel",NGNeueNationalgalerie,"Öl auf Leinwand, oil on canvas",Malerei/Gemälde,1920,,
