ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
Ausstellung November - Januar 1988-89,Unbekannt,KKBucherMappennach1800,Papier,Midas-Objekt,1988 - 1989,,
(6 Stöcke),"Flötner, Peter (1485)",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
"Titel zu: Johann Gayler von Kaisersperg: Das Buch Granatapfel;"" Augsburg 1510.","Burgkmair, Hans (der Ältere)",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1510,,
"(1 Druckstock, beidseitig genutzt mit je 6 Monaten)",Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,um 1470,,
(2 Stöcke),"Cranach, Lucas (der Jüngere)",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
8 Stöcke9,"Krug, Ludwig",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(4 Stöcke),"Dürer, Albrecht",KKPlattenarchiv,Holzdruckstock (4 Teile),Midas-Objekt,,,
(4 Stöcke),Monogrammist G G (1501),KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(3 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert,,
(2 Stöcke),"Amman, Jost",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert,,
(2 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert,,
(8 Stöcke),"Schäufelein, Hans Leonhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1513,,
6 Stöcke,"Beham, Hans Sebald",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(4 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert,,
(22 Stöcke),"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(2 Stöcke),"Lorichs, Melchior",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(2 Stöcke),"Ostendorfer, Michael",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1556,,
(2 Stöcke),"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(11 Druckstöcke),"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(4 Stöcke),Monogrammist M W (1501),KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(6 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert,,
(5 Stöcke),"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1541,,
(3 Stöcke),"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(7 Stöcke),"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(2 Stöcke),Monogrammist P H (1551-1600),KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1570,,
(2 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert,,
(3 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert,,
(3 Stöcke),"Weigel, Martin",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1556,,
(2 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert,,
(4 Stöcke),"Beham, Hans Sebald",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(4 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert,,
(2 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert,,
(2 Stöcke),"Pencz, Georg",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(5 Stöcke),"Amman, Jost",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert,,
(4 Stöcke),"Schäufelein, Hans Leonhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(8 Stöcke),"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(2 Stöcke),"Cranach, Lucas (der Jüngere)",KKPlattenarchiv,"Holzstock, Holzschnitt",Midas-Objekt,1549,,
(2 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert,,
(24 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert,,
(6 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert,,
(3 Stöcke),"Beham, Hans Sebald",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(3 Stöcke),"Beham, Hans Sebald",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(3 Stöcke),"Beham, Hans Sebald",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(3 Stöcke),"Beham, Hans Sebald",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(5 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
2 Stöcke,Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(3 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
"Titel zu Bernhadinus: """"""""Vita Johannis Capistrani"""""""", Augsburg 1519 (bei Johannes Miller)",Monogrammist H S (1530),KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1519,,
(2 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(2 Stöcke),Unbekannt,KKPlattenarchiv,,Midas-Objekt,,,
(7 Stöcke),"Pencz, Georg",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1510,,
(2 Stöcke),"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(4 Stöcke),"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(20 Stöcke),"Maen, Wolfgang",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(10 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(3 Stöck),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(9 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
Aus: 30 Illustrationen einer antipäpstlichen Kampfschrift.,"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(2 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(76 Stöcke),"Beham, Hans Sebald",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1521,,
(7 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(7 Stöcke),Monogrammist H W (1501),KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(7 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(2 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(2 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(2 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(4 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(9 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(8 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(8 Stöcke),Monogrammist W M (1501),KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(16 Stöcke),"Solis, Virgilius (der Ältere)",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(7 Stöcke),"Baldung, Hans",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1545,,
(6 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(9 Stöcke),"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
3 Stöcke,Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(2 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert,,
(14 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert,,
(7 Stöcke),"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(5 Stöcke),"Springinklee, Hans",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(4 Stöcke),"Weigel, Martin",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1556,,
(3 Stöcke),"Altdorfer, Albrecht",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1513,,
(6 Stöcke),"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(6 Stöcke),"Beham, Hans Sebald",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1530,,
(5 Stöcke),"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1517,,
(2 Stöcke),"Beham, Hans Sebald",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1530,,
(2 Stöcke),Meister der Anbetung der Hirten,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert,,
"Literatur: B 4, 12 (?)","Solis, Virgilius (der Ältere)",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
(10 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,,,
