ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
492470,,,Wolff & Tritschler,MusterdatensatzeSammlung,Foto,Fotografie,
1548505,,Strickensemble,"Dorgans, Gustavo",MusterdatensatzeSammlung,"Filzstift, Tusche",Zeichnung,1983
1568316,,,"Segner, Klaus",MusterdatensatzeSammlung,"Druckfarbe, Offsetdruck auf Papier",Allgemein,
1568365,,,"Segner, Klaus",MusterdatensatzeSammlung,"Druckfarbe, Offsetdruck auf Papier",Allgemein,
1568366,,,,MusterdatensatzeSammlung,"Druckfarbe, Offsetdruck auf Papier",Allgemein,
1568372,,,,MusterdatensatzeSammlung,"Druckfarbe, Offsetdruck auf Papier",Allgemein,
1568432,,,"Segner, Klaus",MusterdatensatzeSammlung,"Druckfarbe, Offsetdruck auf Papier",Allgemein,
1568435,,,,MusterdatensatzeSammlung,"Druckfarbe, Offsetdruck auf Papier",Allgemein,
1568440,,,"Segner, Klaus",MusterdatensatzeSammlung,"Druckfarbe, Offsetdruck auf Papier",Allgemein,
1568442,,,,MusterdatensatzeSammlung,"Druckfarbe, Offsetdruck auf Papier",Allgemein,
1568447,,,,MusterdatensatzeSammlung,"Druckfarbe, Offsetdruck auf Papier",Allgemein,
1568449,,,,MusterdatensatzeSammlung,"Druckfarbe, Offsetdruck auf Papier",Allgemein,
1690484,,Dauerausstellung: Gemäldegalerie am Kulturforum,"Schauerte, Günther",MusterdatensatzeSammlung,,Fotografie,1997
1696639,,,"Olbrich, Joseph Maria",MusterdatensatzeSammlung,,Allgemein,
1903902,,,,MusterdatensatzeSammlung,,Textilie,
2012142,, ,,MusterdatensatzeSammlung,Offset,Midas-Objekt,
2013029,,,,MusterdatensatzeSammlung,,Allgemein,
2014585,,,,MusterdatensatzeSammlung,,Allgemein,
2023494,,Musterdatensatz TEST,,MusterdatensatzeSammlung,,Fotografie,
2033964,,,"Matthies, Holger",MusterdatensatzeSammlung,"Offsetdruck auf Papier, Druckfarbe & Papier, Offsetdruck auf Papier",Allgemein,
2045982,,,,MusterdatensatzeSammlung,,Allgemein,
2046002,,,,MusterdatensatzeSammlung,,Allgemein,
2046006,,,,MusterdatensatzeSammlung,,Allgemein,
783369,,,,MusterdatensatzeSammlung,,Musikinstrument,
800901,,Inschrift: Etat der Ausgaben für Opfertiere,,MusterdatensatzeSammlung,Marmor,Inschrift,
821609,,Fania All Stars - Viva La Charanga,Sonodisc,MusterdatensatzeSammlung,,Audio,1986
821726,,,,MusterdatensatzeSammlung,,Audio,
2222984,,"Illustration zu """"""""Die Göttliche Komödie"""""""" - Paradiso XVI.",,MusterdatensatzeSammlung,"Zeichnung / Feder auf Pergament, Feder auf Pergament, Zeichnung",Allgemein,nach 1480
2231524,,,"Rickmers, Willi Rickmer",MusterdatensatzeSammlung,,Allgemein,10./11. Jahrhundert
2294312,,,"Hossaini, Sayed Mohammad Daud",MusterdatensatzeSammlung,Tinte auf Papier,Allgemein,
2323472,,"Buch: der fürstbischöfliche Olmüzische neue Lustgarten zu Kremsier. (Widmung unterzeichnet:) Urban Frantz Augustin Heger ... Crembsier den 13. Septembris, Anno 1691.","Heger, Urban Franz Augustin",MusterdatensatzeSammlung,"Papier, Kupferstich, Typendruck",Midas-Objekt,1691
