ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2431579,,Alexander von Humboldt und Aimé Bonpland am Orinoko,"Keller, Ferdinand",NGAlteNationalgalerie,"Öl auf Leinwand, oil on canvas, Ölhaltiges Bindemittel auf textilem Bildträger",Malerei/Gemälde,1875
2438128,,219 Miniaturen aus der Sammlung Albert und Anna Loewe,,NGAlteNationalgalerie,Miniatur im ornamentierten Metallrahmen,Malerei/Gemälde,1865-1885
2582693,,Bildnis Max Jordan,"Lederer, Hugo",NGAlteNationalgalerie,"Weißmetall, Metall",Allgemein,1907
2582695,,Bildnis eines Mädchens,"Lederer, Hugo",NGAlteNationalgalerie,"Marmor, Marmor",Skulptur,1896
2582696,,2 Kosacken- oder Tscherkessen-Reiter,,NGAlteNationalgalerie,Bronze,Allgemein,19. Jahrhundert
2582697,,Herr im Rokoko-Kostüm,"Eberlein, Gustav Heinrich",NGAlteNationalgalerie,Bronze,Allgemein,um 1900
2582743,,Knabe vom Berge mit Sockel,"Christensen, Jeremias",NGAlteNationalgalerie,Bronze auf Steinsockel,Allgemein,um 1880
2582744,,Friedrich II. von Preußen,"Rauch, Christian Daniel",NGAlteNationalgalerie,Bronze,Allgemein,um 1922
2582745,,Bildnis Karl Friedrich Schinkel,"Tieck, Christian Friedrich",NGAlteNationalgalerie,Zinn,Allgemein,um 1819
2582747,,Männlicher Kopf,Unbekannter Künstler,NGAlteNationalgalerie,"Marmor, Stein",Midas-Objekt,
2582749,,Heilige Katharina,,NGAlteNationalgalerie,Bronze,Allgemein,
2582750,,Bildnis Heinrich Osthoff,"Lederer, Hugo",NGAlteNationalgalerie,Bronze auf Steinsockel,Allgemein,um 1922
2582751,,Münzfries,"Schadow, Johann Gottfried",NGAlteNationalgalerie,"Sandstein, Sandstein",Architektur,1798 - 1800
2582763,,Weibliche Gestalt mit Fernrohr,"Schadow, Johann Gottfried",NGAlteNationalgalerie,Gips,Allgemein,um 1790
2582764,,Weibliche Gestalt mit Kithara,"Schadow, Johann Gottfried",NGAlteNationalgalerie,Gips,Allgemein,um 1791
2586557,,"Bildnis eines spanischen Mädchens / Bildnis einer spanischen Prinzessin / Damenbildnis (Kopie nach Velázquez, """"""""las meninas"""""""")",Unbekannt,NGAlteNationalgalerie,Öl auf Leinwand,Gemälde,
958631,,Sockelreliefs. Fragmente,"Kiss, August Karl Eduard",NGAlteNationalgalerie,Gips,Skulptur/Plastik/Objektkunst,1833/1834
