ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1797029,,"Videofestival in Riga, 1991","Steiner, Mike",NGHBFehemMedienarchivINTERN,"Magnetband, Video",Film/Video,1979
959557,,Lampenfieber,"Jost, Jon",NGHBFehemMedienarchivINTERN,"Magnetband, s. Zusatz 2",Film/Video,1980
960340,,Körper Horizonte,"Kahlen, Wolf",NGHBFehemMedienarchivINTERN,"Magnetband, s. Zusatz 2",Film/Video,1980
961125,,Sermonds of Erik Bock,"Iannone, Dorothy",NGHBFehemMedienarchivINTERN,"Magnetband, Video, s/w, Ton, 12,00 Min.",Film/Video,1979
962832,,In der Tinte,"Frenzel, Hanna",NGHBFehemMedienarchivINTERN,"Magnetband, s. Zusatz 2",Film/Video,1990
963139,,Snow White,"Hámos, Gusztáv",NGHBFehemMedienarchivINTERN,"Magnetband, s. Zusatz 2",Film/Video,1983
963355,,The Being From Earth,"Vostell, Wolf",NGHBFehemMedienarchivINTERN,"Magnetband, Video, Farbe, Ton, 88,00 Min.",Film/Video,1990
963842,,Isolation is Transparent,"Rosenbach, Ulrike",NGHBFehemMedienarchivINTERN,"Magnetband, s. Zusatz 2",Film/Video,1974
963948,,Pendel und sechs weitere Stücke,"Hödicke, Karl Horst",NGHBFehemMedienarchivINTERN,"Magnetband, Video, s/w, Ton, 24,00 Min.",Film/Video,1967
964002,,My Intuitive Video. 1979-1989,"Vostell, Wolf",NGHBFehemMedienarchivINTERN,"Magnetband, s. Zusatz 2",Film/Video,1989
964857,,Follow Me,"Iannone, Dorothy",NGHBFehemMedienarchivINTERN,"Magnetband, s. Zusatz 2",Film/Video,1977
965005,,Die Summe aller Dinge,"Kahlen, Wolf",NGHBFehemMedienarchivINTERN,"Magnetband, s. Zusatz 2",Film/Video,1983
965266,,Reflexionen über die Geburt der Venus,"Rosenbach, Ulrike",NGHBFehemMedienarchivINTERN,"Magnetband, s. Zusatz 2",Film/Video,1976/1968
965748,,Female Energy Change (Weiblicher Energiewechsel),"Rosenbach, Ulrike",NGHBFehemMedienarchivINTERN,"Magnetband, s. Zusatz 2",Film/Video,1976
965846,,Aquamoving,"Frenzel, Hanna",NGHBFehemMedienarchivINTERN,"Magnetband, s. Zusatz 2",Film/Video,1979
966084,,Airmoving,"Frenzel, Hanna",NGHBFehemMedienarchivINTERN,"Magnetband, s. Zusatz 2",Film/Video,1981
966595,,Three Transitions,"Campus, Peter",NGHBFehemMedienarchivINTERN,"Magnetband, Video, Farbe, Ton, 4,53 Min.",Film/Video,1973
966941,,East Ended Tape,"Campus, Peter",NGHBFehemMedienarchivINTERN,"Magnetband, s. Zusatz 2",Film/Video,1976
967428,,Terra degli dea Madre,Ulay,NGHBFehemMedienarchivINTERN,"Magnetband, Video, Farbe, Ton, 16,00 Min.",Film/Video,1984
968200,,Freeing The Voice,"Abramović, Marina",NGHBFehemMedienarchivINTERN,"U-Matic NTSC, Video, s/w, Ton",Film/Video,1976
959538,MA-0581,Luck Smith,"Hámos, Gusztáv",NGHBFehemMedienarchivINTERN,"Datenträger, Video, Farbe, Ton, 6,00 Min.",Midas-Objekt,1987
