ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1660456,,Video Still,"Calzolari, Pier Paolo",NGHamburgerBahnhofMuseumfurGegenwart,Fotografie,Fotografie,1972
1701889,,> was ist das für ein DS? <,"Rosenbach, Ulrike",NGHamburgerBahnhofMuseumfurGegenwart,,Film/Video,1974
1757259,,Mein smart,"Gröting, Asta",NGHamburgerBahnhofMuseumfurGegenwart,Polyurethan,Skulptur/Plastik/Objektkunst,2011
1775614,,Der Mercedes von Adenauer,"Gröting, Asta",NGHamburgerBahnhofMuseumfurGegenwart,Polyurethan,Skulptur/Plastik/Objektkunst,2012
1790878,,"Pergamon Museum 1, Berlin 2001","Struth, Thomas",NGHamburgerBahnhofMuseumfurGegenwart,"Farbfotografie, Colour photograph, gerahmt, C-Print",Fotografie,2001
1791292,,> was ist das für ein DS? <,"Rosenbach, Ulrike",NGHamburgerBahnhofMuseumfurGegenwart,siehe Zusatz 2,Film/Video,1974
1792267,,Ton-Röhre,"Leitner, Bernhard (geb. 1938)",NGHamburgerBahnhofMuseumfurGegenwart,"8-Kanal-Audioinstallation, 8:40 min., loop, 8 Kanthölzer, 64 Lautsprecher, Mediaplayer, Verstärker, Eight-channel audio installation, 8 square timbers, 64 speakers, media player, amplifier",Audio,1973 / 2008
1792270,,"Hamburger Bahnhof,  Grosse Galerie","Kleihues, Josef Paul",NGHamburgerBahnhofMuseumfurGegenwart,"Siebdruck auf braunem Karton, Silkscreen on brown cardboard, Druckfarbe auf Karton, Siebdruck",Druckgraphik,o. J.
1819171,,A Living Man Declared Dead and Other Chapters I – XVIII,"Simon, Taryn",NGHamburgerBahnhofMuseumfurGegenwart,"Farbfotografien und Texte, gerahmt",Fotografie,2008 - 2011
1928429,,Die Reisekutsche von Goethe,"Gröting, Asta",NGHamburgerBahnhofMuseumfurGegenwart,Polyurethan,Skulptur/Plastik/Objektkunst,2012
1965627,,8 Untertassen,"Broodthaers, Marcel",NGHamburgerBahnhofMuseumfurGegenwart,"Untertassen, 8-teilig, Saucers, 8 parts, Untertasse",Skulptur/Plastik/Objektkunst,unbekannt
2004238,,Das Kapital Raum 1970-1977,"Beuys, Joseph",NGHamburgerBahnhofMuseumfurGegenwart,"Holztafeln mit Kreide beschriftet, 50-teilig, Zinkwanne mit Wasser, Seife, Handtücher, Gelatine, elektronische Abspielgeräte und Kabel, Holzlatten, Speer, Axt, Messer, Kieselsteine, Konzertflügel, Taschenlampen, Projektionsleinwand, Blackboards with chalk lettering, 50 parts, zinc tub with water, soap, towels, gelatine, electronic playback devices and wires, wooden slats, spear, ax, knife, pebbles, grand piano, torch, projection screen",Installation,1980
2299327,,Love Story,"Breitz, Candice",NGHamburgerBahnhofMuseumfurGegenwart,"Siebenkanal-Videoinstallation, Farbe, Ton, ? min., 7-teilig, Seven-channel video isntallation, colour, sound, ?min., 7 parts",Film/Video,2016
2303088,,Ton-Raum-Untersuchungen,"Leitner, Bernhard (geb. 1938)",NGHamburgerBahnhofMuseumfurGegenwart,"s/w-Fotografie, 68-teilig, b/w photograph, 68 parts, gerahmt",Fotografie,1971 - 1974
2326249,,"537/539 Two-House Home, Staten Island, New York, N.Y.","Graham, Dan",NGHamburgerBahnhofMuseumfurGegenwart,"Farbfotografie, gerahmt",Fotografie,1974 / 1991
2326252,,"“Fourth of July Celebration”, Staten Island, New York City","Graham, Dan",NGHamburgerBahnhofMuseumfurGegenwart,"Farbfotografie, gerahmt",Fotografie,1974 / 1991
2345529,,"Part I (Soil Samples, Youtubes, Crazy Diamonds)","Zillig, Steffen",NGHamburgerBahnhofMuseumfurGegenwart,,Film/Video,2017
2345530,,"Part II (Space Fantasy, Enlightenment, Shine On)","Zillig, Steffen",NGHamburgerBahnhofMuseumfurGegenwart,,Film/Video,2017
2345532,,"Part II (Space Fantasy, Enlightenment, Shine On)","Zillig, Steffen",NGHamburgerBahnhofMuseumfurGegenwart,"Inkjetprint, 18-teilig, Inkjetprint",Druckgraphik,2017
2389228,,Mardijker Photo Studio,"Harahap, Agan",NGHamburgerBahnhofMuseumfurGegenwart,"s/w-Fotografie, digitaler C-Print auf Papier, 30-teilig, b/w photograph, digital C-print on paper, 30 parts, Ausstellungskopie, Inkjet-prints auf mattem Fotopapier",Fotografie,2014 - 2015
2394095,,Untitled,"Imhof, Anne",NGHamburgerBahnhofMuseumfurGegenwart,"Silkscreen on canvas, Siebdruck auf Leinwand, Druckfarbe unbekannt, nicht ermittelbar, Siebdruck",Druckgraphik,2017
2460036,,Doublebind,"Pichl, Andrea",NGHamburgerBahnhofMuseumfurGegenwart,"Tischlerplatte, Acrylglas, Aluminiumprofil, Dekorspanplatte, Tapete, 3 Dia- oder Videoprojektionen aus insgesamt 120 Dias oder digitalen Bildern, je Projektion 40 Bilder, core board, acrylic glass, aluminium profile, decor particle board, wallpaper, 3 slide or video projections, 120 Slides or digital images in toal, 40 images per projection",Skulptur/Plastik/Objektkunst,2011
2464832,,Ricki-Ricki,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464833,,Ricki-Lenin,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464834,,Ricki-Rasputin,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464835,,Ricki-Gitarre,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464836,,Ricki-Ofen,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464837,,Ricki-Kerze,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464838,,Ricki-Dreizehn,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464839,,Ricki-Doppelauge,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464840,,Ricki-Kuchen,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464841,,Ricki-Streichholz,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464842,,Ricki-Radio,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464843,,Ricki-Koffer,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464844,,Ricki-Saurier,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464845,,Ricki-Faultier,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464846,,Ricki-Tapir,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464847,,Ricki-Wigwam,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464848,,Ricki-Auto,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464849,,Ricki-Ratte,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464851,,Ricki-Füße,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464852,,Ricki-Sessel,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464853,,Ricki-Handschuh,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2464854,,Ricki-Teebeutel,"Dahn, Walter",NGHamburgerBahnhofMuseumfurGegenwart,"Capaplex auf Dispersion auf Nessel, Capaplex on emulsion paint on cotton",Malerei/Gemälde,1982 / 1983
2473359,,Rainbow Series #2,"Breitz, Candice",NGHamburgerBahnhofMuseumfurGegenwart,"Collage aus Zeitungsausschnitten auf Papier, Collage of newspaper cuttings on paper, gerahmt",Fotografie,1996
2473360,,Rainbow Series #3,"Breitz, Candice",NGHamburgerBahnhofMuseumfurGegenwart,"Collage aus Zeitungsausschnitten auf Papier, Collage of newspaper cuttings on paper, gerahmt",Fotografie,1996
