ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1796469,,Passage (Saturated),"Canell, Nina",NGLeihnahmenSonderausstellungenINTERN,"Sauerstoff bereicherte Luft, Durchgang, Entlüftung",Installation,2012
1796471,,Ohne Titel,"Julius, Rolf",NGLeihnahmenSonderausstellungenINTERN,Tusche auf Papier,Zeichnung,o. J.
1796473,,Ecken,"Julius, Rolf",NGLeihnahmenSonderausstellungenINTERN,s/w-Fotografie,Fotografie,1975 / 2007
1796474,,Schmutzlinie,"Julius, Rolf",NGLeihnahmenSonderausstellungenINTERN,"Schmutz, LS, CD-Spieler",Installation,1983 / 2006
1796475,,Score,"Julius, Rolf",NGLeihnahmenSonderausstellungenINTERN,,Druckgraphik,2000
1796477,,"Rot (etwas schwarz) und einige Klänge, in der kleinen Schale - sie sollte man auf gar keinen Fall stören","Julius, Rolf",NGLeihnahmenSonderausstellungenINTERN,"Video, Monitor, LS, Plastikschale, DVD-Spieler, CD-Spieler",Installation,2004 / 2005
1796478,,Hidden Landscape,"Julius, Rolf",NGLeihnahmenSonderausstellungenINTERN,"2 bedruckte Japanpapiere, Draht, Nägel, 2 LS, mp3-Spieler",Druckgraphik,2005
1796486,,Why pink,"Julius, Rolf",NGLeihnahmenSonderausstellungenINTERN,"Farbfotografie, Plexiglasscheibe, Schale, LS, CD-Spieler",Fotografie,2008
1796493,,Schatten - Stilleben,"Julius, Rolf",NGLeihnahmenSonderausstellungenINTERN,"4 Videoscreens, 2 LS, 1 Plastikschale, 1 Keramikschale, Pfeffer, mp3-Spieler, Tisch",Film/Video,2010
1796499,,Drawing (water),"Julius, Rolf",NGLeihnahmenSonderausstellungenINTERN,"Video auf Memory-Stick, Farbe, Ton, 3 Monitore",Film/Video,2011
1796503,,Remnants of Spring,"Canell, Nina",NGLeihnahmenSonderausstellungenINTERN,"Erhitztes Kupfer, Kabelenden, Kupferdraht, elektrischer Anschluss",Allgemein,2012
1796507,,And So Entangled,"Canell, Nina",NGLeihnahmenSonderausstellungenINTERN,"Neonröhren und Rundkupfer, Neon, Kupfer, Kabel, Draht, 3000 V",Installation,2012
1796516,,Halfway Between Opposite Ends,"Canell, Nina",NGLeihnahmenSonderausstellungenINTERN,"Stock, Saline, 4000 V",Allgemein,2010
1796517,,Ode to Outer Ends,"Canell, Nina",NGLeihnahmenSonderausstellungenINTERN,"Epoxid, Holz, Kokosnuss, elektromagnetisches Gerät",Installation,2010
1796973,,Strays,"Canell, Nina",NGLeihnahmenSonderausstellungenINTERN,"Radios, verchromte Bronze, Beton",Installation,2012
1796974,,Forgotten Curves,"Canell, Nina",NGLeihnahmenSonderausstellungenINTERN,"2 Rahmen mit Glasscheiben, gefüllt mit Luft, gefärbter Faden",Allgemein,2012
1796977,,Words Fallen,"Canell, Nina",NGLeihnahmenSonderausstellungenINTERN,"2 Rahmen mit Glasscheiben, gefüllt mit Luft",Allgemein,2012
1797179,,Zuerst die Füße,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Holz, geschnitzt, Autolack, Metallnägel",Skulptur,1990
1797180,,Input-Output [Faksimiles],"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"unter Glas auf einzelnen Wandkonsolen mit Metallwandhalterung, Ölkreide, Pastell, Aquarell und Bleistift auf Papier (Hotelrechnungen)",Zeichnung,1986 - 1992
1797181,,"Mecca: Backward, Forward","Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Holz, Schaumstoff, Gummi",Installation,1990
1797182,,Ohne Titel,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Holz, Styropor, Stoff, Neonlicht, Holz, Styropor, Stoff, Neonlicht",Allgemein,1996
1797183,,Drei Schallplattencover mit/als David Bowie,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,bedruckte Pappe?,Allgemein,o. J.
1797184,,Die weißen Bilder,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Öllack auf Leinwand, Öllack auf Leinwand",Malerei,1991
1797186,,"Ohne Titel (aus der Serie: Lieber Maler, male mir)","Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Acryl auf Leinwand, Acryl auf Leinwand",Malerei,1981
1797188,,"Heil Hitler, Ihr Fetischisten","Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Öl und Silikon auf Leinwand, Öl und Silikon auf Leinwand",Malerei,1984
1797189,,Entwurf für ein Müttergenesungswerk in Heilbronn,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,Holz,Skulptur,1985
1797190,,Korrekte Syntax (aus der Serie der Peter-Skulpturen),"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Holz, Siebdruck auf Plexiglas, Aufkleber, Steckkasten",Skulptur,1987
1797193,,Elite '88,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Kalender mit 24 Originalserigraphien, beidseitig bedruckt, auf verschiedenfarbigen Canson MiTeintes Papier 160 g in einem Schuber",Druckgraphik,1987
1797197,,Alkoholfolter,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Schlösser-Alt-Bierdose mit Initialen auf Heftpflaster signiert, Metall, Kunststoff",Allgemein,1989
1797201,,Ohne Titel,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Elektromobil, Fernbedienung, Gießharz, Plastik, Metall, Schaumstoff,",,
1797203,,Ohne Titel (aus der Serie: Das Floß der Medusa),"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Öl auf Leinwand, Öl auf Leinwand",Malerei,1996
1797206,,Ohne Titel (aus der Serie: Das Floß der Medusa),"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Öl auf Leinwand, Öl auf Leinwand",Malerei,1996
1797207,,Ohne Titel (aus der Serie: Das Floß der Medusa),"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Öl auf Leinwand, Öl auf Leinwand",Malerei,1996
1797209,,Vom Einfachsten nach Hause,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Öl auf Leinwand, Öl auf Leinwand",Malerei,1981 - 1982
1797212,,"[5 Schallplattencover, 2 Schallplatten]","Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Druckfarbe, Pappe?",Allgemein,
1797225,,Aus der Welt eines Mitmenschen,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,gedruckter Text,Allgemein,1985
1797227,,Bitte nicht nach Hause schicken,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Öl auf Leinwand, Öl auf Leinwand",Malerei,1983
1797245,,Tote Frau wie Taubenscheiße,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Öl auf Leinwand, Öl auf Leinwand",Malerei,1980
1797249,,Gibt’s mich wirklich?,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Ölfarbe auf zerschnittener Leinwand, Hosenträger, 2-Markstück, lackierter Keilrahmen, Wall Picture Radio",Allgemein,1982 - 1983
1797251,,Love Affair Without Racism,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Eisenrahmen, aufblasbarer Gummiüberzug, Fahrradventil, mit Pigment vermischte Schlacke auf Ytong-Steinen, Eisengestell mit Rädern",Installation,1989
1797252,,Fred The Frog Rings The Bell,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Holz, geschnitzt, Metallnägel",Skulptur,1990
1797267,,Grüße vom Müttergenesungswerk Massaker,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,,Skulptur,1994
1797268,,[143 Bücher von Martin Kippenberger],"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,142 Bücher von Martin Kippenberger,Buch,o. J.
1797273,,"Ohne Titel (aus der Serie: Lieber Maler, male mir)","Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Acryl auf Leinwand, Acryl auf Leinwand",Malerei,1981
1797277,,"Ohne Titel (aus der Serie: Lieber Maler, male mir)","Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Acryl auf Leinwand, Acryl auf Leinwand",Malerei,1981
1797279,,Paris Bar,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Öl auf Leinwand, Öl auf Leinwand",Malerei,1993
1797280,,Martin Kippenberger - Das Floß der Medusa,"Semotan, Elfie",NGLeihnahmenSonderausstellungenINTERN,"s/w-Fotografien, neu gerahmt (schwarze schmale Holzrahmen mit Distanzleiste oder Passepartouts), Silbergelatine auf Baryt",Fotografie,1996
1797282,,"Uno di voi, un tedesco in Firenze","Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Öl auf Leinwand, Öl auf Leinwand",Malerei,1976 - 1977
1797295,,"Uno di voi, un tedesco in Firenze","Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Öl auf Leinwand, Öl auf Leinwand",Malerei,1976 - 1977
1797296,,"Uno di voi, un tedesco in Firenze","Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Öl auf Leinwand, Öl auf Leinwand",Malerei,1976 - 1977
1797297,,"Uno di voi, un tedesco in Firenze","Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Öl auf Leinwand, Öl auf Leinwand",Malerei,1976 - 1977
1797303,,Ohne Titel,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Öl auf Leinwand, Öl auf Leinwand",Malerei,1978
1797306,,"Szene aus """"""""Liebe und Abenteuer","Stelly Augstein, Gisela",NGLeihnahmenSonderausstellungenINTERN,"Super 8 übertragen auf DVD, Farbe, Ton, siehe Zusatz 2",Film/Video,Version 2006
1797308,,Zuerst die Füße,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Holz, geschnitzt, Autolack, Metallnägel",Skulptur,1991
1797311,,Ohne Titel,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Stahl, Glas, Lack, Plexiglas",Skulptur,1992
1797314,,"Ohne Titel (aus der Serie: Lieber Maler, male mir)","Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Acryl auf Leinwand, Acryl auf Leinwand",Malerei,1981
1797371,,"Ohne Titel (aus der Serie Uno di voi, un tedesco in Firenze)","Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Öl auf Leinwand, Öl auf Leinwand",Malerei,1976 - 1977
1797374,,"Acht Bilder zum Nachdenken, ob's so weitergeht","Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Acryl, Öl, Münzen und Silikon auf Leinwand, Acryl, Öl, Münzen und Silikon auf Leinwand",Malerei,1983
1797377,,Ich kann beim besten Willen kein Hakenkreuz entdecken,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Öl und Silikon auf Leinwand, Öl und Silikon auf Leinwand",Malerei,1984
1797378,,Brummisitz / Fernfahrersitz,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Styropor, Kunstharz, Acrylfarbe, Acryllack, Styropor, Kunstharz, Acrylfarbe, Acryllack (Primal AC 35), Papier",Malerei,1987
1797379,,Not to Be the Second Winner,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Aldo Rossi Stuhl auf Sockel, Holz, Polsterung und Stoff, MDF-Platten und Acryl",Skulptur,1987
1797390,,Ohne Titel,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Öl auf Leinwand, Öl auf Leinwand",Malerei,1988
1797391,,Badewannennegativ,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Silikon, Schaumgummi, Plexiglas, Holz, Stahl",Skulptur,1989
1797392,,Das Ende des Alphabets,"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,"Gummi, Holz, Kork, Pressspan",Installation,1989
