ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1584498,F.V.,Glas,"Picasso, Pablo",NGMuseumBerggruen,Öl und Bleistift auf Holz,Gemälde,1913
1584512,F.V.,Gruppe von vier Badenden,"Picasso, Pablo",NGMuseumBerggruen,Bleistift auf Papier,Grafik,1921
1584528,F.V.,Das türkische Bad,"Picasso, Pablo",NGMuseumBerggruen,Bleistift auf Papier,Grafik,1968
1584539,F.V.,Bildnis Dora Maar,"Picasso, Pablo",NGMuseumBerggruen,Bleistift auf Papier,Grafik,1936/1937
1584563,F.V.,Paravent,"Chagall, Marc",NGMuseumBerggruen,Lithographie auf Holz (?),Skulptur/Plastik/Objektkunst,1963
1584675,F.V.,Apfel-Studie,"Cézanne, Paul",NGMuseumBerggruen,Bleistift und Aquarell auf Papier,Grafik,um 1885
1584679,F.V.,Frauenkopf,"Picasso, Pablo",NGMuseumBerggruen,Öl auf Holz,Gemälde,1921
1584688,F.V.,Dora Maar mit Blumenkranz,"Picasso, Pablo",NGMuseumBerggruen,Farbkreide und Bleistift auf Papier,Grafik,1937
1584692,F.V.,Schiff II c im Hafen,"Klee, Paul",NGMuseumBerggruen,Ölfarbe und Aquarell auf Karton auf Keilrahmen genagelt,Gemälde,1925
1584702,F.V.,Apollinaire (Umschlagentwurf),"Matisse, Henri",NGMuseumBerggruen,"Gouache découpée, Wachskreide und Bleistift auf Papier",Grafik,1950
1584706,F.V.,Frau im Mantel,"Picasso, Pablo",NGMuseumBerggruen,Bleistift auf Papier,Grafik,1919
1584709,F.V.,Die drei Schwestern,"Matisse, Henri",NGMuseumBerggruen,Tuschfeder auf Papier,Grafik,1928
1584712,F.V.,Sitzende Frau mit gekreuzten Armen,"Matisse, Henri",NGMuseumBerggruen,Tinte auf Papier,Grafik,1937
1584720,F.V.,"Bordell. Degas mit Skizzenblock, Celestine, drei Mädchen und ein marrokanisches Kissen","Picasso, Pablo",NGMuseumBerggruen,Radierung,Grafik,1971
1584724,F.V.,Das Paar,"Picasso, Pablo",NGMuseumBerggruen,Tusche und Bleistift auf Papier auf Wellpappe,Grafik,1967
1584728,F.V.,Stierkampf,"Picasso, Pablo",NGMuseumBerggruen,"Keramik, bemalt",Skulptur/Plastik/Objektkunst,1953
1584733,F.V.,ohne Titel,"Calder, Alexander",NGMuseumBerggruen,"Geschnittenes Metall, bemalt",Skulptur/Plastik/Objektkunst,circa 1958
1584742,F.V.,Die Akrobatin,"Chagall, Marc",NGMuseumBerggruen,"Gouache, Aquarell und Tusche auf Papier",Grafik,1967
1584748,F.V.,Clown mit blauer Gitarre,"Chagall, Marc",NGMuseumBerggruen,"Gouache, Collage und Tusche auf Papier",Grafik,1958
1585262,F.V.,Briefkarte an Heinz Berggruen mit Zeichnung,"Miró, Joan",NGMuseumBerggruen,Fettkreide auf Karton,Autograph/Dokument,1.12.1969
1585271,F.V.,Brief an Heinz Berggruen,"Miró, Joan",NGMuseumBerggruen,,Autograph/Dokument,17. 4. 1950
1585275,F.V.,Brief an Heinz Berggruen (samt Umschlag mit Poststempel vom 04.12.1972),"Miró, Joan",NGMuseumBerggruen,Kugelschreiber auf Papier,Autograph/Dokument,3.12.1972
1585282,F.V.,Postkarte an Heinz Berggruen mit Unterschrift der Ehefrau Mirós (Pilar),"Miró, Joan",NGMuseumBerggruen,Kugelschreiber und Tinte auf Karton,Autograph/Dokument,22.11.1969
1585408,F.V.,Brief an Heinz Berggruen,"Miró, Joan",NGMuseumBerggruen,,Autograph/Dokument,21. 3. 1972
1585411,F.V.,Brief an Heinz Berggruen,"Miró, Joan",NGMuseumBerggruen,Tinte auf Papier,Autograph/Dokument,1.12.1954
1585412,F.V.,"Eine von Miró an Heinz Berggruen zurückgesandte Einladungskarte einer Dalì-Ausstellung am 19. 6. 1951 in Paris, mit Umschlag","Miró, Joan",NGMuseumBerggruen,,Autograph/Dokument,1951
1585413,F.V.,"Farbfoto, auf dem Miró die ihm zugeschriebene Darstellung mit """"""""Faux"""""""" bezeichnet, mit handschriftlichem Briefumschlag (Poststempel vom August 1972)","Miró, Joan",NGMuseumBerggruen,Farbstift auf Fotopapier / Kugelschreiber auf Papier,Autograph/Dokument,20. 8. 1972
1585417,F.V.,Brief an Heinz Berggruen,"Miró, Joan",NGMuseumBerggruen,schwarzer Kugelschreiber,Autograph/Dokument,20. 8. 1972
1585418,F.V.,Brief an Heinz Berggruen,"Miró, Joan",NGMuseumBerggruen,schwarzer Kugelschreiber auf gedrucktem Briefpapier,Autograph/Dokument,10.10.1972
1585419,F.V.,Brief an Heinz Berggruen,"Miró, Joan",NGMuseumBerggruen,Kugelschreiber auf gedrucktem Briefpapier,Autograph/Dokument,19. 3. 1973
1585420,F.V.,Brief an Heinz Berggruen,"Miró, Joan",NGMuseumBerggruen,blaue Tinte auf gedrucktem Briefpapier mit Umschlag,Autograph/Dokument,5. 6.1958
1585421,F.V.,"Brief an Heinz Berggruen, mit Umschlag (Poststempel vom 9. 2.1958)","Miró, Joan",NGMuseumBerggruen,Tinte auf Papier,Autograph/Dokument,8. 2.1958
1585423,F.V.,Briefumschlag an Heinz Berggruen (Luftpost mit Poststempel),"Miró, Joan",NGMuseumBerggruen,Tinte auf Papier,Autograph/Dokument,22. 6. 1951?
1585424,F.V.,Briefkarte an den Kunsthändler André Level,"Picasso, Pablo",NGMuseumBerggruen,Collage und Bleistift auf Papier,Autograph/Dokument,1915
1585427,F.V.,Briefkarte an den Kunsthändler André Level,"Picasso, Pablo",NGMuseumBerggruen,Collage und Bleistift auf Papier,Autograph/Dokument,1919
1585430,F.V.,Briefkarte an den Kunsthändler André Level,"Picasso, Pablo",NGMuseumBerggruen,Bleistift auf Postkarte,Autograph/Dokument,1922 oder 1928
1585431,F.V.,Briefkarte an den Kunsthändler André Level,"Picasso, Pablo",NGMuseumBerggruen,Tinte auf Postkarte,Autograph/Dokument,1928
1585432,F.V.,Brief an den norwegischen Kunstsammler Walter Halvorsen,"Matisse, Henri",NGMuseumBerggruen,,Autograph/Dokument,17.4.1918
1585437,F.V.,Brief an den norwegischen Kunstsammler Walter Halvorsen,"Matisse, Henri",NGMuseumBerggruen,,Autograph/Dokument,20.4.1918
1614356,F.V.,Pflanze und Fenster Stilleben,"Klee, Paul",NGMuseumBerggruen,Öl auf Leinwand,Gemälde,1927
1614367,F.V.,Bildnis Olga,"Picasso, Pablo",NGMuseumBerggruen,Bleistift auf Papier,Grafik,um 1920
1614368,F.V.,Tänzerin und kubistische Komposition,"Picasso, Pablo",NGMuseumBerggruen,Bleistift auf Papier,Grafik,um 1919
1614369,F.V.,"Junger Mann mit Spiegel, Akt, Panflötenspieler und Kind","Picasso, Pablo",NGMuseumBerggruen,Tuschfeder auf Papier,Grafik,um 1919
1622982,F.V.,Junger Mann mit Spiegel und Akte,"Picasso, Pablo",NGMuseumBerggruen,Tuschfeder auf Papier,Grafik,1923
1624048,F.V.,Die Frauen von Algier (Version L),"Picasso, Pablo",NGMuseumBerggruen,Öl auf Leinwand,Malerei/Gemälde,9. Februar 1955
1624050,F.V.,Skizzenbuch,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,1947
1637981,F.V.,Skizzenbuch - Blatt 1 (Golf Juan),"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,14. Juli 1947
1637984,F.V.,Skizzenbuch - Blatt 3 (Golf Juan),"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,14. Juli 1947 (III)
1637986,F.V.,Skizzenbuch - Blatt 4 (Golf Juan),"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,14. Juli 1947 (IV)
1637989,F.V.,Skizzenbuch - Blatt 5,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,15. Juli 1947
1637991,F.V.,Skizzenbuch - Blatt 6,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,6. November 1947 (I)
1637993,F.V.,Skizzenbuch - Blatt 7,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,6. November 1947 (II)
1637994,F.V.,Skizzenbuch - Blatt 8,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,6. November 1947 (III)
1637999,F.V.,Skizzenbuch - Blatt 9,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,6. November 1947 (IV)
1638001,F.V.,Skizzenbuch - Blatt 10,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,6. November 1947 (V)
1638002,F.V.,Skizzenbuch - Blatt 11,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,6. November 1947 (VI)
1638025,F.V.,Skizzenbuch - Blatt 2 (Golf Juan),"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,14. Juli 1947 (II)
1638031,F.V.,Skizzenbuch - Blatt 12,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,6. November 1947 (VII)
1638035,F.V.,Skizzenbuch - Blatt 13,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,6. November 1947 (VIII)
1638044,F.V.,Skizzenbuch - Blatt 14,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,6. November 1947 (IX)
1638046,F.V.,Skizzenbuch - Blatt 15,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,6. November 1947 (X)
1638047,F.V.,Skizzenbuch - Blatt 16,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,6. November 1947 (X1)
1638048,F.V.,Skizzenbuch - Blatt 17,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,8. November 1947
1638049,F.V.,Skizzenbuch - Blatt 18,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,9. November 1947
1638050,F.V.,Skizzenbuch - Blatt 19 (Sculpture I),"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,20. November 1947
1638051,F.V.,Skizzenbuch - Blatt 20 (Sculpture II),"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,20. November 1947
1638052,F.V.,Skizzenbuch - Blatt 21 (Sculpture III),"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,20. November 1947
1638054,F.V.,Skizzenbuch - Blatt 22 (Sculpture IV),"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,20. November 1947
1638055,F.V.,Skizzenbuch - Blatt 23 (Sculpture V),"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,20. November 1947
1638056,F.V.,Skizzenbuch - Blatt 24,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,7. Dezember 1947 (I)
1638057,F.V.,Skizzenbuch - Blatt 25,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,7. Dezember 1947 (II)
1638058,F.V.,Skizzenbuch - Blatt 26,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,7. Dezember 1947 (III)
1638060,F.V.,Skizzenbuch - Blatt 27,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,7. Dezember 1947 (IV)
1638061,F.V.,Skizzenbuch - Blatt 28,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,7. Dezember 1947 (V)
1638062,F.V.,Skizzenbuch - Blatt 29,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,7. Dezember 1947 (VI)
1638063,F.V.,Skizzenbuch - Blatt 30,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,7. Dezember 1947 (VIII)
1638064,F.V.,Skizzenbuch - Blatt 31,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,7. Dezember 1947 (VII)
1638065,F.V.,Skizzenbuch - Blatt 32,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,7. Dezember 1947 (IX)
1638066,F.V.,Skizzenbuch - Blatt 33,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,7. Dezember 1947 (X)
1638067,F.V.,Skizzenbuch - Blatt 34,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,8. Dezember 1947
1638070,F.V.,Skizzenbuch - Blatt 35,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,9. Dezember 1947
1638071,F.V.,Skizzenbuch - Blatt 36,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,9. Dezember 1947 (II)
1638072,F.V.,Skizzenbuch - Blatt 37,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,14. Dezember 1947 (I)
1638074,F.V.,Skizzenbuch - Blatt 38,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,14. Dezember 1947 (II)
1638075,F.V.,Skizzenbuch - Blatt 39,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,14. Dezember 1947 (III)
1638076,F.V.,Skizzenbuch - Blatt 40,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,14. Dezember 1947 (IV)
1638077,F.V.,Skizzenbuch - Blatt 41,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,14. Dezember 1947 (V)
1638078,F.V.,Skizzenbuch - Blatt 42,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,14. Dezember 1947 (VI)
1638079,F.V.,Skizzenbuch - Blatt 43,"Picasso, Pablo",NGMuseumBerggruen,Skizzenbuch mit 43 Seiten bzw. Zeichnungen,Grafik,14. Dezember 1947 (VII)
1869260,F.V.,United Enemies,"Schütte, Thomas",NGMuseumBerggruen,Bronze,Skulptur/Plastik/Objektkunst,2011
1869273,F.V.,Jardinière (Orientalischer Patio),"Dufy, Raoul",NGMuseumBerggruen,Keramik und Bronze,Skulptur/Plastik/Objektkunst,um 1927 (Keramik) und 1957 (Bronze)
1869290,F.V.,Tête de Leon Chair,"Giacometti, Diego",NGMuseumBerggruen,Bronze,Skulptur/Plastik/Objektkunst,o.D.
1587131,NG MB 191b/2002,Picasso in seiner Villa La Californie in Cannes mit Heinz Berggruen und Jacques Prévert,"Villers, André",NGMuseumBerggruen,"Fotografie (Silbergelatine?), x : Papier, x",Fotografie,1962
1587129,NG MB 191c/2002,Picasso in seiner Villa La Californie in Cannes,"Villers, André",NGMuseumBerggruen,"Fotografie (Silbergelatine?), x : Papier, x",Fotografie,1962
1587127,NG MB 191d/2002,Picasso in seiner Villa La Californie in Cannes,"Villers, André",NGMuseumBerggruen,"Fotografie (Silbergelatine?), x : Papier, x",Fotografie,1962
