ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2475565,,"Weiblicher Porträtkopf (""""""""Kopf Ida"""""""")","Albiker, Karl",NGNeueNationalgalerie,"Gips, plaster",Skulptur/Plastik/Objektkunst,vermutlich 1905
2475566,,Männliche Porträtbüste,"Albiker, Karl",NGNeueNationalgalerie,"Gips, plaster",Skulptur/Plastik/Objektkunst,1901
2475567,,"Frau Schmitt, Porträt-Maske","Albiker, Karl",NGNeueNationalgalerie,"Gips, plaster",Skulptur/Plastik/Objektkunst,1923
2475568,,"Luz-Jürgen, Kinderkopf","Albiker, Karl",NGNeueNationalgalerie,"Keene's cement, Marmorgips, englischer Zement (lt. Werkbuch)",Skulptur/Plastik/Objektkunst,1927
2566101,,"Figur für """"""""Der Dirigent","Kirchner, Heinrich",NGNeueNationalgalerie,Bronze,Skulptur/Plastik/Objektkunst,1965
958433,,,"Schütz, Siegmund",NGNeueNationalgalerie,,Midas-Objekt,1965
958681,,,Corneille,NGNeueNationalgalerie,,Midas-Objekt,1966
958890,,,"Lüpertz, Markus",NGNeueNationalgalerie,,Midas-Objekt,1984
958891,,,"Lüpertz, Markus",NGNeueNationalgalerie,,Midas-Objekt,1984
958892,,,"Lüpertz, Markus",NGNeueNationalgalerie,,Midas-Objekt,1984
958930,,,"Scheibe, Richard",NGNeueNationalgalerie,,Midas-Objekt,1948
958978,,Seine Progression I,"Geccelli, Johannes",NGNeueNationalgalerie,,Midas-Objekt,1977
958979,,Seine Progression II,"Geccelli, Johannes",NGNeueNationalgalerie,,Midas-Objekt,1977
958980,,Seine Progression III,"Geccelli, Johannes",NGNeueNationalgalerie,,Midas-Objekt,1977
959112,,,"Scheibe, Richard",NGNeueNationalgalerie,,Midas-Objekt,1948
959318,,,"Frankenstein, Wolfgang",NGNeueNationalgalerie,,Midas-Objekt,1968/1969
959319,,,"Frankenstein, Wolfgang",NGNeueNationalgalerie,,Midas-Objekt,1968/1969
959320,,,"Frankenstein, Wolfgang",NGNeueNationalgalerie,,Midas-Objekt,1968/1969
959455,,,"Bour, Bernadette",NGNeueNationalgalerie,"Tusche auf Papier  [prüfen], drawing ink on paper  [prüfen], Tusche? : Papier",Midas-Objekt,1973
959456,,,"Bour, Bernadette",NGNeueNationalgalerie,"Papier und Maschendraht, paper and wire netting, Papier, Maschendraht (aufgelegt)",Midas-Objekt,1973
959457,,,"Bour, Bernadette",NGNeueNationalgalerie,"Druckfarbe auf Papier, ink on paper, Druckfarbe : Papier",Midas-Objekt,1973
959458,,,"Bour, Bernadette",NGNeueNationalgalerie,"Leinwand auf Papier, canvas on paper, Leinwand : Papier",Midas-Objekt,1973
959459,,,"Bour, Bernadette",NGNeueNationalgalerie,"Druckfarbe auf Papier, ink on paper, Druckfarbe : Papier",Midas-Objekt,1973
959460,,,"Bour, Bernadette",NGNeueNationalgalerie,"Druckfarbe und Graphit auf Papier, ink and graphite on paper, Druckfarbe & Graphit : Papier",Midas-Objekt,1973
959461,,,"Bour, Bernadette",NGNeueNationalgalerie,"Druckfarbe und Graphit auf Papier, ink and graphite on paper, Druckfarbe & Graphit : Papier",Midas-Objekt,1973
959462,,,"Bour, Bernadette",NGNeueNationalgalerie,"Druckfarbe und Graphit auf Papier, ink and graphite on paper, Druckfarbe & Graphit : Papier",Midas-Objekt,1973
959463,,,"Bour, Bernadette",NGNeueNationalgalerie,"ink and graphite on paper, Druckfarbe und Graphit auf Papier, Druckfarbe & Graphit : Papier",Midas-Objekt,1973
959464,,,"Bour, Bernadette",NGNeueNationalgalerie,"Druckfarbe und Graphit auf Papier, ink and graphite on paper, Druckfarbe & Graphit : Papier",Midas-Objekt,1973
959465,,,"Bour, Bernadette",NGNeueNationalgalerie,"Druckfarbe und Graphit auf Papier, ink and graphite on paper, Druckfarbe & Graphit : Papier",Midas-Objekt,1973
959466,,,"Bour, Bernadette",NGNeueNationalgalerie,"Druckfarbe und Graphit auf Papier, ink and graphite on paper, Druckfarbe & Graphit : Papier",Midas-Objekt,1973
959467,,,"Bour, Bernadette",NGNeueNationalgalerie,"Druckfarbe und Graphit auf Papier, ink and graphite on paper, Druckfarbe & Graphit : Papier",Midas-Objekt,1973
959468,,,"Bour, Bernadette",NGNeueNationalgalerie,"ink and graphite on paper, Druckfarbe und Graphit auf Papier, Druckfarbe & Graphit : Papier",Midas-Objekt,1973
959469,,,"Bour, Bernadette",NGNeueNationalgalerie,"Druckfarbe und Graphit auf Papier, ink and graphite on paper, Druckfarbe & Graphit : Papier",Midas-Objekt,1973
