ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1065714,,1 Ort,"Klinger, Max",NGSammlungScharfGerstenberg,,Midas-Objekt,1878
1065715,,2 Handlung,"Klinger, Max",NGSammlungScharfGerstenberg,,Midas-Objekt,1878
1065716,,3 Wünsche,"Klinger, Max",NGSammlungScharfGerstenberg,,Midas-Objekt,1878
1065717,,4 Rettung,"Klinger, Max",NGSammlungScharfGerstenberg,,Midas-Objekt,1878
1065718,,5 Triumph,"Klinger, Max",NGSammlungScharfGerstenberg,,Midas-Objekt,1878
1065719,,6 Huldigung,"Klinger, Max",NGSammlungScharfGerstenberg,,Midas-Objekt,1878
1065720,,7 Ängste,"Klinger, Max",NGSammlungScharfGerstenberg,,Midas-Objekt,1878
1065721,,8 Ruhe,"Klinger, Max",NGSammlungScharfGerstenberg,,Midas-Objekt,1878
1065722,,9 Entführung,"Klinger, Max",NGSammlungScharfGerstenberg,,Midas-Objekt,1878
1065723,,10 Amor,"Klinger, Max",NGSammlungScharfGerstenberg,,Midas-Objekt,1878
1625099,F.V.,L'Autoritaire,"Ernst, Max",NGSammlungScharfGerstenberg,Öl auf Leinwand,Malerei/Gemälde,um 1923
2007483,F.V.,Paravent,Anonym,NGSammlungScharfGerstenberg,Collage,Skulptur/Plastik/Objektkunst,2. Hälfte 19. Jahrhundert
2566024,F.V.,Les clefs de la naissance,"Orgeix, Christian d'",NGSammlungScharfGerstenberg,,Skulptur/Plastik/Objektkunst,o.J.
1386785,SSG 1,Schreiender,"Altenbourg, Gerhard",NGSammlungScharfGerstenberg,Kreide auf Transparentpapier,Grafik,1949
1065973,SSG 2,Huldigung an Redon,"Altenbourg, Gerhard",NGSammlungScharfGerstenberg,Bleistift und Kreide auf Bütten,Grafik,1966
1386759,SSG 3,Ein Genist aus Schweigen,"Altenbourg, Gerhard",NGSammlungScharfGerstenberg,"Kreide, Graphit, Sepia und Pastell auf Bütten",Grafik,1985
1065767,SSG 4,Komposition,"Baumeister, Willi",NGSammlungScharfGerstenberg,"Kohle und Pastell auf Bütten, Kohle & Pastell : Bütten",Grafik,1947
1065725,SSG 5,Ohne Titel,"Bellmer, Hans",NGSammlungScharfGerstenberg,Bleistift auf Papier,Grafik,1934
1066156,SSG 6,Ohne Titel,"Bellmer, Hans",NGSammlungScharfGerstenberg,Bleistift auf Papier,Grafik,1934
1066122,SSG 7,Étude pour Ubu,"Bellmer, Hans",NGSammlungScharfGerstenberg,Gouache auf Karton,Grafik,1934
1065476,SSG 8,Die Puppe,"Bellmer, Hans",NGSammlungScharfGerstenberg,"Buch mit 10 s/w-Originalfotografien und 3 Stichätzungen, Druckfarbe : Karton / Papier",Buch/Portfolio,1934
1065452,SSG 9,La poupée,"Bellmer, Hans",NGSammlungScharfGerstenberg,"Buch mit 10 Fotografien und 2 Zeichnungen, Druckfarbe : Karton",Buch/Portfolio,1934-1936
1065811,SSG 10,La poupée. Seconde Partie,"Bellmer, Hans",NGSammlungScharfGerstenberg,"Mappe mit 8 handkolorierten und 3 s/w- Fotografien, Wasserfarbe : Karton / Papier, handkoloriert",Buch/Portfolio,1936
1065840,SSG 11,Ohne Titel (La poupée),"Bellmer, Hans",NGSammlungScharfGerstenberg,"Mappe mit 18 s/w-Fotografien, Karton / Papier, x",Buch/Portfolio,1936?
1065674,SSG 12,Les Jeux de la poupée,"Bellmer, Hans",NGSammlungScharfGerstenberg,"Buch, 88 Seiten, mit 15 kolorierten Fotografien, 6 Strichätzungen, Druckfarbe & Wasserfarbe : Papier, x",Buch/Portfolio,1936-1946
1065674,SSG 12,Les Jeux de la poupée,"Bellmer, Hans",NGSammlungScharfGerstenberg,"Buch, 88 Seiten, mit 15 kolorierten Fotografien, 6 Strichätzungen, Druckfarbe & Wasserfarbe : Papier, x",Buch/Portfolio,1949
1065987,SSG 13,Œillades ciselées en branche,"Bellmer, Hans",NGSammlungScharfGerstenberg,"Buch mit 25 Illustrationen Bellmers, davon 7 blattgroß, als farbige Heliogravüren nach Zeichnungen, Druckfarbe : Papier, Heliogravüre",Buch/Portfolio,1939
1065910,SSG 14,Œillades ciselées en branche [2],"Bellmer, Hans",NGSammlungScharfGerstenberg,"Buch mit 25 llustrationen Bellmers, davon 7 blattgroß, als farbige Heliogravüren nach Zeichnungen, Druckfarbe : Papier, Heliogravüre",Buch/Portfolio,1939
1065780,SSG 15,"Kinder, die Frühling spielen (Konstruktionen mit Tzirfgelenken)","Bellmer, Hans",NGSammlungScharfGerstenberg,Bleistift und Aquarell auf Karton,Grafik,1936/1937
1065731,SSG 16,La poupée,"Bellmer, Hans",NGSammlungScharfGerstenberg,"s/w Fotografie, Vintage Print, Karton, Vintage print",Fotografie,1936-1938
1066137,SSG 17,Die große Gaukelei,"Bellmer, Hans",NGSammlungScharfGerstenberg,Bleistift und Aquarell auf Papier,Grafik,1938
1066095,SSG 18,Das durchdrungene Geheimnis der Diana von Ephesus (Objet),"Bellmer, Hans",NGSammlungScharfGerstenberg,"Bleistift, Aquarell und Deckweiß auf Papier auf Karton",Grafik,1938
