ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1715380,,Die Videogalerie,"Steiner, Mike",NGVideoTapes,"Aluminium, schwarz gefasstes Holz",Installation,1985
1793252,,Interview with Mike Steiner,"Werner, André",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,
1793319,,Firedance,"Werner, André",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1989
1793322,,Opening Robert Rauschenberg,"Werner, André",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1990
1793323,,Scratch Back,"Werner, André",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1990
1793324,,AUGENFUTTER III,"Werner, André",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1990
1793325,,Eine Geisha wird gefilmt,"Werner, André",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1993
1793327,,Sorano,"Appelt, Dieter",NGVideoTapes,"Magnetband, siehe Zusatz 2",Film/Video,1983
1793331,,JOHN CAGE: Piece for Two (ETC Warschau),"Blum, Eberhard",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1987
1793332,,Conceptual Cabaret,"Bock, Erik",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1979
1793336,,Leila und der Löwe,"Cantu, Mari",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1982
1793338,,Erinnerung an Chile,"Conradt, Gerd",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1973-1988
1793340,,Ein-Blick,"Conradt, Gerd",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1987
1793403,,Inteview mit Mike Steiner,"Frenzel, Hanna",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1979
1793405,,Body Plastic,"Frenzel, Hanna",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1979
1793406,,Parfait d'amour,"Funke Stern, Monika",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1988
1793407,,Saal des Grabreliefs mit Jäger,"Gerz, Jochen",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1978
1793409,,Interview mit Mike Steiner,"Gerz, Jochen",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1985
1793420,,Aszendent Jungfrau-Waage,"Gosewitz, Ludwig",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1979
1793427,,Eyection,"Hanfeld, Folke",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,
1793429,,6 PIECES,"Hanfeld, Folke",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1981
1793430,,Test Patterns,"Hershman, Lynn",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1979
1793433,,Interview mit Mike Steiner,"Hoover, Nan",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1976
1793434,,Silence,"Hoover, Nan",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1976
1793437,,Sommerpause,"Jud, Anne",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1980
1796955,,Anna und Anne,"Jud, Anne",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1990
1796958,,Video ist der Verlust der Realität,"Kahlen, Wolf",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1979
1796960,,Projektion X,"Knoebel, Imi",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1971
1796961,,Destruction,"Kummer, Raimund",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1979
1796963,,She Is Always Alone,"La Barbara, Joan",NGVideoTapes,"Video, transferred to digital video, b/w, sound, 17:32 min., Video, digitalisiert, s/w, Ton, 17:32 min., Magnetband",Film/Video,1979
1796964,,"Spielzeug/Toy 1, Memory 1, Memory 2, Memory 3","Lakner, László",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1974-75
1796966,,Video Sculptures,"Marika, Denise",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1993
1796967,,My Father,"Marton, Pier",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,
1796968,,HATE COLA. 3rd Part,"Masters, Rubin",NGVideoTapes,"Magnetband, s.  Zusatz 2",Film/Video,
1796970,,Ein Mann geht vorbei,"Mattner, Jakob",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1979
1796972,,A Lousy Chair in a Lousy Hotel Room,"Moorse, George",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1979
1796978,,"Interview mit Mike Steiner, Teil I","Moorse, George",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1988
1796980,,"Interview mit Mike Steiner, Teil II","Moorse, George",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1988
1796982,,Miserere,"Miralda, Antoni",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1979
1796984,,Video Narcissus,"Morris, Michael",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1979 - 1980
1796986,,Friends,"Morris, Michael",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1981
1796987,,Soviet Onion,"Morris, Michael",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1981
1796988,,The Weak Bullet,"Oursler, Tony",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1980
1796991,,Drei Bilder,"Pitz, Hermann",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1979
1796992,,Take the Cake,"Quesada, Virginia",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,
1796993,,Mascaras,"Quesada, Virginia",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1982
1796994,,Interview mit Mike Steiner,"Quesada, Virginia",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,
1796995,,Flatball,"Quesada, Virginia",NGVideoTapes,"Magnetband, s. Zusatz 2",Film/Video,1982
