ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
958545,,Jeune fille à la poupée,"Cézanne, Paul",NGehemMuseumBerggruen,Öl : Leinwand,Midas-Objekt,um 1896
960568,,Knabenkopf,"Picasso, Pablo",NGehemMuseumBerggruen,Druckfarbe : Papier,Midas-Objekt,1906
960568,,Knabenkopf,"Picasso, Pablo",NGehemMuseumBerggruen,Druckfarbe : Papier,Midas-Objekt,1954
961128,,La Montagne Sainte-Victoire,"Cézanne, Paul",NGehemMuseumBerggruen,Öl : Leinwand,Midas-Objekt,1888-1890
962158,,Fillette à la poupée,"Cézanne, Paul",NGehemMuseumBerggruen,Öl : Leinwand,Midas-Objekt,um 1902-1904
962252,,Entlegene Landschaft,"Klee, Paul",NGehemMuseumBerggruen,Öl : Leinwand,Midas-Objekt,1931
962581,,Die weinende Frau,"Picasso, Pablo",NGehemMuseumBerggruen,"Druckfarbe : Papier, Radierung, Aquatinta, Kaltnadelradierung",Midas-Objekt,1937
963303,,"L'Allée à Chantilly, I","Cézanne, Paul",NGehemMuseumBerggruen,Öl : Leinwand,Midas-Objekt,1888
965395,,Weizenernte vor der Stadt Arles,"Gogh, Vincent van",NGehemMuseumBerggruen,"Sepia : Papier, Feder",Midas-Objekt,1888
965615,,Herbstgarten,"Gogh, Vincent van",NGehemMuseumBerggruen,Öl : Leinwand,Midas-Objekt,1888
968105,,Lesende (Dora Maar),"Picasso, Pablo",NGehemMuseumBerggruen,"Öl auf Leinwand, Öl : Leinwand",Midas-Objekt,19.4.1938
968174,,Le Jardin des Lauves: vue sur Aix et la cathédrale de Saint Sauveur,"Cézanne, Paul",NGehemMuseumBerggruen,Aquarell & Bleistift : Papier,Midas-Objekt,1902-1904
1065486,,Minotaurus und Frau,"Picasso, Pablo",NGehemMuseumBerggruen,Öl : Leinwand,Midas-Objekt,1937
1584502,F.V.,Portrait d'homme au laurier,"Picasso, Pablo",NGehemMuseumBerggruen,Öl auf Leinwand,Gemälde,1969
1584537,F.V.,Bildnis Madame Patri,"Picasso, Pablo",NGehemMuseumBerggruen,Bleistift auf Papier,Grafik,1918
1584684,F.V.,Table de toilette (verso: Paysage),"Cézanne, Paul",NGehemMuseumBerggruen,Aquarell und Bleistift auf Papier,Grafik,1890
1633992,F.V.,Gelber Akt,"Picasso, Pablo",NGehemMuseumBerggruen,"Gouache, Aquarell und Tinte auf Papier",Grafik,1907
965330,14244,"Buch, Obstschale und Mandoline","Picasso, Pablo",NGehemMuseumBerggruen,Öl : Leinwand,Midas-Objekt,1924
963173,F.V.,Zwei sitzende Frauen auf einer Bank,"Picasso, Pablo",NGehemMuseumBerggruen,"Tuschfeder auf Papier, Tusche : Papier, Feder",Grafik,1926
1065649,F.V.,Stadt vom Tempel gekrönt,"Klee, Paul",NGehemMuseumBerggruen,"Aquarell und Bleistift auf Papier auf Karton, Wasserfarbe & Aquarell & Bleistift : Papier : Karton",Grafik,"1917, 12"
1065813,F.V.,Ouvertüre,"Klee, Paul",NGehemMuseumBerggruen,"Wasserfarbe, Aquartell und Bleistift auf Papier, auf Karton, Wasserfarbe & Aquarell & Bleistift : Papier : Karton",Grafik,1922 (142)
1066070,F.V.,Mit dem grünen Quadrat,"Klee, Paul",NGehemMuseumBerggruen,"Wasserfarbe und Aquarell auf Papier auf Pappe, Wasserfarbe & Aquarell : Papier : Pappe",Grafik,1919 (69)
1413677,F.V.,Die bestickte grüne Bluse,"Matisse, Henri",NGehemMuseumBerggruen,Öl über Bleistift auf Holz,Gemälde,1936
