ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1682170,,Video Still,"Kaprow, Allan",NGehemSammlung,s/w-Fotografie,Fotografie,1972
1682445,,ohne Titel,"Opalka, Roman",NGehemSammlung,Schreibmaschinentext und s/w-Fotografien,Fotografie,1973
1683246,,ohne Titel,"Rabinowitch, David",NGehemSammlung,"Stahl, Stahl",Skulptur/Plastik/Objektkunst,1974
1683344,,ohne Titel,"Serra, Richard",NGehemSammlung,"Blei, Stahlseil",Skulptur/Plastik/Objektkunst,1968
1697180,,Die Englische Promenade in Nizza,"Matisse, Henri",NGehemSammlung,"Öl auf Holz, Öl auf Holz, Gemälde",Malerei/Gemälde,1915-1917
1716676,,Vater Staat,"Schütte, Thomas",NGehemSammlung,Bronze,Skulptur/Plastik/Objektkunst,2011
1787455,,Ohne Titel (gewidmet Martin Kippenberger),"Zitko, Otto",NGehemSammlung,Dispersionsfarbe (?) auf Wand (Dispersionsfarbe),Malerei/Gemälde,2009
1792156,,The Void,"Hirst, Damien",NGehemSammlung,"Metallrahmen, Glas, bemalte Bronze, Tabletten",Skulptur/Plastik/Objektkunst,1994-2000
1792452,,Die Humpty-Dumpty-Maschine der totalen Zukunft,"Meese, Jonathan",NGehemSammlung,"Skulptur auf Steinsockel, Bronze",Skulptur/Plastik/Objektkunst,2010
1902635,,"u r 10 - 9, KAFFEEZIMMER","Schneider, Gregor",NGehemSammlung,gerahmt,Fotografie,1993
1925525,,Abendmahl in einer hessischen Kirche,"Bantzer, Carl",NGehemSammlung,Öl auf Leinwand,Malerei/Gemälde,1899
1936515,,Gotischer Dom am Wasser,"Schinkel, Karl Friedrich",NGehemSammlung,"Öl auf Leinwand, Öl auf Leinwand, Ölhaltiges Bindemittel auf textilem Bildträger",Malerei/Gemälde,um 1813
1936746,,Schafwäsche am Fluß,"Bartlett, William Henry",NGehemSammlung,,Gemälde,
1936749,,Bildnis einer jungen Dame,"Blaas, Eugen von",NGehemSammlung,,Malerei/Gemälde,
1936750,,Frau mit Kerze im Weinkeller,"Günther, Otto Edmund",NGehemSammlung,,Gemälde,1882
1936751,,Winterlandschaft mit Pferdegespann,"Munthe, Ludwig",NGehemSammlung,,Gemälde,
1937009,,Exhibit #2,"Tuymans, Luc (geb. 1958)",NGehemSammlung,Öl auf Leinwand,Malerei/Gemälde,2002
1937010,,Slide #3,"Tuymans, Luc (geb. 1958)",NGehemSammlung,Öl auf Leinwand,Malerei/Gemälde,2002
1937011,,Studio,"Tuymans, Luc (geb. 1958)",NGehemSammlung,Öl auf Leinwand,Malerei/Gemälde,2002
1939617,,Ohne Titel,"Stingel, Rudolf",NGehemSammlung,"Shazam Teppich, auf Wand montiert",Textilkunst,1997 / 2014
2017456,,Sanddorn,"Hagemeister, Karl",NGehemSammlung,Öl auf Leinwand,Malerei/Gemälde,1914
2267358,,"Coffin (Orange): With Band and Cheerleaders (Yellow, Blue, Red, Green, Violet)","Baldessari, John",NGehemSammlung,"Digitaldruck mit Acryl auf Sintra, Dibond und Hartschaum",Fotografie,2004
2267361,,"Model (Orange): With Two Figures (Blue, Green)","Baldessari, John",NGehemSammlung,"Digitaldruck mit Acryl auf Sintra, Dibond und Hartschaum",Fotografie,2004
