ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2341713,,Allegorie der Stärke,"Schlüter, Andreas",SBMAbgusse,"(original)Sandstein, Gips, gefasst",Allgemein,
2629380,,Venus mit Amor,"Lenckhardt, Adam",SBMAbgusse,Elfenbein  ,Skulptur,
2629380,,Venus mit Amor,"Lenckhardt, Adam",SBMAbgusse,Elfenbein  ,Skulptur,Mitte 17.Jahrhundert
2629405,,Maria mit Jesus und Johannesknaben,"Kirchner, Christian",SBMAbgusse,Elfenbein  ,Skulptur,
2629407,,Drei Grazien,"Kern, Leonhard",SBMAbgusse,Elfenbein  ,Skulptur,Mitte 17. Jahrhundert
2629410,,Kleopatra mit Schlange am Busen,"Kern, Leonhard",SBMAbgusse,Elfenbein  ,Skulptur,Mitte 17. Jahrhundert
2633446,,Kunststück mit Stern,Anonym,SBMAbgusse,Elfenbein  ,Skulptur,1. Drittel 17. Jahrhundert
2633447,,Dose mit reliefgedrechseltem Wappen,Anonym,SBMAbgusse,Elfenbein  ,Skulptur,17. Jahrhundert
2633449,,Ovaler Deckelpokal mit Contrefaitkugel,Anonym,SBMAbgusse,Elfenbein  ,Skulptur,1. Drittel 17. Jahrhundert
2633450,,Dose mit Wappen des Prinzen Josef von Hessen-Darmstadt,Anonym,SBMAbgusse,Elfenbein  ,Skulptur,ca. Mitte 18. Jahrhundert
2633451,,Deckelpokal mit durchgebrochener Kugel und Innenstern,Anonym,SBMAbgusse,Elfenbein  ,,
2633452,,Dose,Anonym,SBMAbgusse,Elfenbein  ,Skulptur,1. Drittel 17. Jahrhundert
2633453,,Contrefaitkugel mit Miniaturen,"Zick, Lorenz",SBMAbgusse,Elfenbein  ,Skulptur,
2640450,,Raub der Proserpina,"Steinl, Matthias",SBMAbgusse,Elfenbein  ,Skulptur,Ende 17. Jahrhundert
2641406,,Venus in den Armen von Adonis,"Henne, Joachim",SBMAbgusse,"Elfenbein  , Elfenbein in Schildpattrahmen",Skulptur,
2641406,,Venus in den Armen von Adonis,"Henne, Joachim",SBMAbgusse,"Elfenbein  , Elfenbein in Schildpattrahmen",Skulptur,2. Hälfte 17. Jahrhundert
2641429,,Erbschenkenpokal des Grafen von Limpurg,"Bonhöffer, Johann Philipp",SBMAbgusse,"Silber, Silber, vergoldet, getrieben, gegossen, graviert und ziseliert",Skulptur,Mitte 16. Jahrhundert
2397954,1709 Abguss,Madonna,"Rossellino, Antonio",SBMAbgusse,"Gips, Gips",Skulptur,um 1460
1972413,117 -1,Grablegung Christi (Kopie),"Verrocchio, Andrea del",SBMAbgusse,"Gips, Gips",Skulptur,1451/1500
2615646,A 7 a,Gipsrelief,,SBMAbgusse,"Gips, Metall, (Haken für Hängung)",,
2615648,A 19 a,Gipsrelief,,SBMAbgusse,"Gips, Metall, (Zapfen mit Öse für Hängung)",,
2615644,A 19 b,Gipsrelief,,SBMAbgusse,"Gips, Metall, (Zapfen mit Öse für Hängung)",,
2615650,A 306 a,Gipsrelief,,SBMAbgusse,Gips,,
2615651,A 306 b,Gipsrelief,,SBMAbgusse,Gips,,
2615652,A 310 b,Gipsrelief,,SBMAbgusse,Gips,,
2615633,A 320,Gipsrelief,,SBMAbgusse,"Gips, Metall, (Haken für die Hängung)",,
2615649,A 621,Gipsrelief,,SBMAbgusse,Gips,,
2323161,DG 1,Herme vom Großen Treppenhaus,"Schlüter, Andreas",SBMAbgusse,"Alabaster (Original), Stuck, Gips, ungefasst",Skulptur,18. Jahrhundert
2323166,DG 2,Herme vom Großen Treppenhaus,"Schlüter, Andreas",SBMAbgusse,"Alabaster (Original), Stuck, Gips, ungefasst",Skulptur,18. Jahrhundert
2323179,DG 3,Herme vom Großen Treppenhaus,"Schlüter, Andreas",SBMAbgusse,"Alabaster (Original), Stuck, Gips, ungefasst",Skulptur,18. Jahrhundert
2323169,DG 4,Herme vom Großen Treppenhaus,"Schlüter, Andreas",SBMAbgusse,"Alabaster (Original), Stuck, Gips, ungefasst",Skulptur,18. Jahrhundert
2323177,DG 5,Herme vom Großen Treppenhaus,"Schlüter, Andreas",SBMAbgusse,"Alabaster (Original), Stuck, Gips, ungefasst",Skulptur,18. Jahrhundert
2323181,DG 6,Herme vom Großen Treppenhaus,"Schlüter, Andreas",SBMAbgusse,"Alabaster (Original), Stuck, Gips, ungefasst",Skulptur,18. Jahrhundert
2323182,DG 7,Herme vom Großen Treppenhaus,"Schlüter, Andreas",SBMAbgusse,"Alabaster (Original), Stuck, Gips, ungefasst",Skulptur,18. Jahrhundert
2299850,DG 8,Georg Freiherr von Derfflinger,"Schlüter, Andreas",SBMAbgusse,"Alabaster (Original), Gips gefasst",Skulptur,18. Jahrhundert
2323183,DG 11,Herme vom Großen Treppenhaus,"Schlüter, Andreas",SBMAbgusse,"Alabaster (Original), Stuck, Gips, ungefasst",Skulptur,18. Jahrhundert
2300012,DG 12,Kapitell zw. Gefangennahme Christi/Verleugnung des Petrus,,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Kalkstein",Skulptur,um 1250
2300032,DG 13,Kapitell zw. Abendmahl u. Auszahlung an Judas,,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Kalkstein",Skulptur,um 1250
2300034,DG 14,Konsole mit Ahornblattwerk neben Johannes,,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Kalkstein",Skulptur,um 1250
2300064,DG 15,Konsole mit Eichenblattwerk neben Maria,,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Kalkstein",Skulptur,um 1250
2300067,DG 16,Säulenkapitell mit Lerchensporn (vom Westlettner des Naumburger Domsneben Johannes),,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Kalkstein",Skulptur,um 1250
2300068,DG 17,Teil des Ornamentfrieses am Relief Christus und Pilatus,Naumburger Meister,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Kalkstein",Skulptur,um 1250
2300081,DG 18,Kapitell der Blendarkatur,,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Kalkstein",Skulptur,um 1250
2300092,DG 19,Bildhauer vom Epitaph des Dombaumeisters Nikolaus von Büren,Kuene (Kuyn) Konrad,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Sandstein",Skulptur,1445
2300106,DG 20,"Grabtafel für Gotthard Wigerincks (+1518), unterer Teil",Westfählicher Meister,SBMAbgusse,"Gips, ockerf. Gefasst, (Original)Bronze",Skulptur,um 1518
2300122,DG 21,Bildnisbüste Herzog Ferdinands von Braunschweig,"Schlüter, Andreas",SBMAbgusse,"Marmor? (Original), Gips ungefasst",Skulptur,18. Jahrhundert
2300164,DG 22,Baldachin (groß),,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Kalkstein",Skulptur,1213 -1220
2300165,DG 23,Baldachin (klein),,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Kalkstein",Skulptur,1213 -1220
2300173,DG 24-1,Madonna auf der Mondsichel vom Ottmar-Altar,"Stoß, Veit (1431)",SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Holz",Skulptur,nach 1500
2300167,DG 24-2,Baldachin (klein),,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Kalkstein",Skulptur,1213 -1220
2300119,DG 25,Fußwaschung des Petrus,Westfählicher Meister,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Stein",Skulptur,um 1518
2300179,DG 26-1,Hl. Ottmar vom Ottmar-Altar,"Stoß, Veit (1431)",SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Holz",Skulptur,nach 1500
2300181,DG 26-2,Kapitell mit lappigen Blättern,,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Stein",Skulptur,12. Jahrhundert
2300223,DG 26-3,Gewölbeschlußstein in Form eines Blattkopfes,,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Stein",Skulptur,12. Jahrhundert
2300408,DG 27,Kapitell mit zweireihigen lappigen Blättern,,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Stein",Skulptur,12. Jahrhundert
2300409,DG 28,Kapitell mit zweireihigen lappigen Blättern,,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Stein",Skulptur,12. Jahrhundert
2300410,DG 29,Teilstück eines Frieses,,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Stein",Skulptur,12. Jahrhundert
2300315,DG 30,Kapitell der Zwerggalerie (Blütenornament mit Hund),,SBMAbgusse,Stein (Original),Skulptur,Mitte 12. Jahrhundert
2300407,DG 31,Kapitell der Zwerggalerie (Blütenornament mit Tierköpfen),,SBMAbgusse,Stein (Original),Skulptur,Mitte 12. Jahrhundert
2300525,DG 32,Steinmetz vom Epitaph des Dombaumeisters Nikolaus von Büren,Kuene (Kuyn) Konrad,SBMAbgusse,"Gips, ockerf. Gefasst, (Original) Sandstein",Skulptur,1445
2300527,DG 33,Baumeister vom Epitaph des Dombaumeisters Nikolaus von Büren,Kuene (Kuyn) Konrad,SBMAbgusse,"Gips, ungefasst, (Original) Sandstein",Skulptur,1445
2300528,DG 34,Pleurant vom Grabmahl des Jean de Berry,"Cambrai, Jean de",SBMAbgusse,"Gips, ungefasst, (Original) Marmor",Skulptur,1. Viertel 15. Jahrhundert
2300531,DG 35,Kopf des Bamberger Reiter,,SBMAbgusse,"Gips, ocker gefasst, (Original) Stein",Skulptur,um 1230
2300532,DG 36,Johannes von einem Heiligen Grab,,SBMAbgusse,"Gips, ocker gefasst, (Original) Sandstein",Skulptur,1531
2300535,DG 37-1,Kreuzigung,,SBMAbgusse,"Gips, ocker gefasst, (Original) Sandstein",Skulptur,Anfang 15. Jahrhundert
2300707,DG 37-2,Petrus,,SBMAbgusse,"Gips, ungefasst, (Original) Stein",Skulptur,Ende 13. Jahrhundert
2300710,DG 38,Inschrift,,SBMAbgusse,"Gips,grau gefasst, (Original) Stein ?",Skulptur,Ende 13. Jahrhundert
2300712,DG 39,Gekröntes Haupt,,SBMAbgusse,"Gips,ockerfarben gefasst, (Original) Stein ?",Skulptur,unbekannt
2300714,DG 40,Gekröntes Haupt,,SBMAbgusse,"Gips,ockerfarben  gefasst, (Original) Stein ?",Skulptur,unbekannt
2300715,DG 41,Gekröntes Haupt,,SBMAbgusse,"Gips,ockerfarben gefasst, (Original) Stein ?",Skulptur,unbekannt
2300716,DG 42,Maria,,SBMAbgusse,"Gips,ockerfarben gefasst, (Original) Kalkstein",Skulptur,13. Jahrhundert
2300719,DG 43,gnadenstuhl,,SBMAbgusse,"Gips,ockerfarben gefasst, (Original) Terrakotta",Skulptur,Mitte 15. Jahrhundert
2301158,DG 44,Medaillon mit Maßwerk und stilisierter Rosette,,SBMAbgusse,"Gips,ockerfarben gefasst, (Original) Stein ?",Skulptur,keine Datierung
2301159,DG 45,Statuette von der Langseite des Sebaldusgrabes,"Vischer, Peter (1487 der Jüngere)",SBMAbgusse,"Gips,ockerfarben gefasst, (Original) Bronze",Skulptur,Anfang 16. Jahrhundert
2301161,DG 46,Moses vom Dreikönigenschrein,Nikolaus von Verdun (1140),SBMAbgusse,"Gips,ockerfarben gefasst, (Original) Silber und Kupfer, getrieben und vergoldet",Skulptur,1181- 1191
