ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1956663,13113,Entwurf für das Titelblatt der Ornamenta Armamentarii,"Lubieniecki, Theodor",SBMSKSFremdbesitz,Feder in Schwarz,Zeichnung,1696 - 1700
1956668,13114,Medusenhauptkartusche und Bildhauerwerkzeug vor einer rustizierten Wand,"Lubieniecki, Theodor",SBMSKSFremdbesitz,Feder in Schwarz,Zeichnung,1696 - 1700
1956665,13115,Kopfkartusche als Schmuck eines Schlusssteins,"Lubieniecki, Theodor",SBMSKSFremdbesitz,Feder in Schwarz,Zeichnung,1696 - 1700
1956670,13116,Kopfkartusche in Ruinenlandschaft,"Lubieniecki, Theodor",SBMSKSFremdbesitz,Feder in Schwarz,Zeichnung,1696 - 1700
1956672,13117,Kopfkartusche in Ruinenlandschaft,"Lubieniecki, Theodor",SBMSKSFremdbesitz,Feder in Schwarz,Zeichnung,1696 - 1700
2466228,2948,Eldorado Tanzmarke,,SBMSKSFremdbesitz,Aluminium,Numismatik,um 1930
2466232,2955,Eldorado Tanzmarke,,SBMSKSFremdbesitz,Aluminium,Numismatik,um 1930
1865756,"5403. II, 125",Reiterstandbild Ludwigs XIV. mit Gussverstrebungen,"Schabol, Roger",SBMSKSFremdbesitz,"Bronze, Bronze",Skulptur,1700 (um)
1956321,84/56/240,Reliefbildnis König Friedrichs I. in Preußen,"Schlüter, Andreas",SBMSKSFremdbesitz,Gips,Skulptur,1701 - 1713
1956219,B 3041,Portrait Königin Sophie Charlottes,"Weidemann, Friedrich Wilhelm",SBMSKSFremdbesitz,Öl auf Leinwand,Gemälde,vermutlich kurz nach 1702
1956221,B 3042,Portrait König Friedrichs I. in Preußen,"Weidemann, Friedrich Wilhelm",SBMSKSFremdbesitz,Öl auf Leinwand,Gemälde,wohl kurz nach 1702
1956627,B62,Gipsabguß eines Bozzettos Schlüters für eine Kopftrophäe des Zeughauses,"Schlüter, Andreas",SBMSKSFremdbesitz,"Stuck (Gips, Bleiweiß, Kalzit, Quarz), bronzegrün getönt, Abguß nach Tonmodell",Skulptur,Anfang 18. Jahrhundert
1956627,B62,Gipsabguß eines Bozzettos Schlüters für eine Kopftrophäe des Zeughauses,"Schlüter, Andreas",SBMSKSFremdbesitz,"Stuck (Gips, Bleiweiß, Kalzit, Quarz), bronzegrün getönt, Abguß nach Tonmodell",Skulptur,1969 - 1969
1956620,B62a,Gipsabguß eines Bozzettos Schlüters für eine Kopftrophäe des Zeughauses,"Schlüter, Andreas",SBMSKSFremdbesitz,"Stuck (Gips, Bleiweiß, Quarz), bronzegrün getönt, Abguß nach Tonmodell",Skulptur,1696/18. Jahrhundert
1956611,B62c,Gipsabguß eines Bozzettos Schlüters für eine Kopftrophäe des Zeughauses,"Schlüter, Andreas",SBMSKSFremdbesitz,"Gips, geschellackt, z.T. Aufstuckierungen, Abguß nach Tonmodell",Skulptur,1696/18. Jahrhundert
2638598,F 48,Hl. Hieronymus,,SBMSKSFremdbesitz,Marmor   ,Skulptur,17. Jh.
2638516,F 155,Fragmente einer Vespergruppe,,SBMSKSFremdbesitz,"Sandstein, Kalkstein",,"Deutsch, um 1480"
2638517,F 191,Teile eines Kamins,,SBMSKSFremdbesitz,Marmor   ,,16./17.Jh.
2638520,F 197,4 Architekturteile von Altären,,SBMSKSFremdbesitz,"Marmor   , schwarzer und weißer Marmor",,Anf. 17.Jh.
2638521,F 198,Wandkonsole mit Akanthusranke,,SBMSKSFremdbesitz,"Marmor   , ?",,15./16.Jh.
2638523,F 207,Gedrehte Säule mit Kapitell und Plinthe,,SBMSKSFremdbesitz,Sandstein,Architektur,16.Jh.
2638524,F 208,Bekrönung mit Muschelnische,,SBMSKSFremdbesitz,Sandstein,Architektur,frühes 15. Jh.
2638526,F 212,Bruchstück eines Sockels mit Kymation und Blattfries,,SBMSKSFremdbesitz,Marmor   ,Architektur,15./16. Jh.
2569378,"F 214  a,b",2 Konsolen / Auflagensteine mit Akantusblatt und Volute,,SBMSKSFremdbesitz,Marmor,Allgemein,
2638581,F 216,Konsole in Volutenform,,SBMSKSFremdbesitz,Marmor   ,Architektur,
2638584,F 218,5 Teile eines Wandbrunnens (mit Zahnschnitt und Wulst),,SBMSKSFremdbesitz,Istrischer Kalkstein,,um 1500
2638585,F 224,4 Reliefpilaster mit Grotesken,,SBMSKSFremdbesitz,Marmor   ,Architektur,2.H. 15. Jh.
2638586,F 227,2 Konsolen mit Vögel und Blattwerk (Teile eines Brunnens?),,SBMSKSFremdbesitz,"Marmor   , ?",Architektur,um 1500
2638587,F 230,2 Teile einer Platte mit Blattfries und Perlstab,,SBMSKSFremdbesitz,Marmor   ,,16. Jh.
2638588,F 237,Gesimsstück mit Girlanden und Kinderköpfen,,SBMSKSFremdbesitz,Kalkstein,Architektur,15. Jh.
