ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
862837,,Relief mit den Buchstaben I und N,Unbekannter Künstler,SKSSkulpturen,Elfenbein,Midas-Objekt,1401/1500
863859,,Säulchen mit Palmettenkapitell & Basis,Unbekannter Künstler,SKSSkulpturen,"Sandstein (rötlich), Stein",Midas-Objekt,901/1250
864321,,Säulchen mit Palmettenkapitell & Teil des Schaftes,Unbekannter Künstler,SKSSkulpturen,"Sandstein (rötlich), Stein",Midas-Objekt,901/1250
866066,,Philosoph mit Tuch?,"Legros, Pierre (1)",SKSSkulpturen,"Bronze, Metall, braune Patina",Midas-Objekt,1685/1715
866160,,Sockel mit Kartusche und Christusmonogramm,"Bernini, Giovanni Lorenzo",SKSSkulpturen,Brecciolino (grau-grün),Midas-Objekt,um 1660
867353,,Philosoph mit Hahn,"Legros, Pierre (1)",SKSSkulpturen,"Bronze, Metall, braune Patina",Midas-Objekt,165/1715
868446,,Spiegelrahmen,,SKSSkulpturen,"Holz, schwarz lackiert, gemalte Goldornamente",Midas-Objekt,1551/1600
2427143,,Kreuztragung,,SKSSkulpturen,,Skulptur,1450 - 1500
2427188,,Johannes der Evangelist,,SKSSkulpturen,Lindenholz,Skulptur,
2433103,,Brustbild der Medusa,,SKSSkulpturen,Bronze,Allgemein,Neuer Abguss
2461642,,"Hermaphrodit, von Amoretten umgeben",,SKSSkulpturen,Bronze,Allgemein,16. Jahrhundert
2463026,,Kü,,SKSSkulpturen,Bronze,Allgemein,19. Jahrhundert ?
2463060,,Profilkopf des Brutus,,SKSSkulpturen,Bronze,Allgemein,16. Jahrhundert
2466241,,Profilkopf des Galba,,SKSSkulpturen,Bronze,Allgemein,16. Jahrhundert
2466749,,Bildnis der Catarina Sandella (recto) und ihrer Tochter Adria (verso),,SKSSkulpturen,Bronze,Allgemein,16. Jahrhundert
2585571,,"Abendmahl"";"" Fußwaschung (Buchdeckel)",,SKSSkulpturen,,Allgemein,
2587234,,Erbschenkenpokal des Grafen von Limpurg,,SKSSkulpturen,,Allgemein,1561 / 1562
2593020,,#Plakette,,SKSSkulpturen,"Bronze, Bronze",Allgemein,
2593126,,#Plakette,,SKSSkulpturen,"Bronze, Bronze // Schiefer???",Allgemein,
2611179,,Ikone,,SKSSkulpturen,,,
2618465,,Heiliger Bischof,Unbekannter Künstler,SKSSkulpturen,"Lindenholz, Gefasst",Skulptur,um 1470
2627398,,Minerva,"Aspetti, Tiziano",SKSSkulpturen,Bronze  ,Skulptur,16. Jahrhundert
2628386,,Kopf des Goliath,Unbekannter Künstler,SKSSkulpturen,"Terrakotta , Terrakotta ",Skulptur,1700 (um)
2628388,,Drei Grazien,"Kern, Leonhard",SKSSkulpturen,,Skulptur,
2628388,,Drei Grazien,"Kern, Leonhard",SKSSkulpturen,,Skulptur,Mitte 17. Jahrhundert
2628391,,Steigendes Pferd,"Kern, Leonhard",SKSSkulpturen,Elfenbein  ,Skulptur,Mitte 17. Jahrhundert
2629392,,Caritas Romana,"Maucher, Christoph",SKSSkulpturen,,Skulptur,17. Jh (Ende)-18. Jh.(Anfang)
2629393,,Der Erzengel Michael überwindet den Satan,"Schenck, Christoph Daniel",SKSSkulpturen,"Holz, Buchsbaumholz",Skulptur,17. Jahrhundert
2629394,,Die Heilige Familie mit Johannes dem Täufer,"Heermann, Paul",SKSSkulpturen,Elfenbein  ,Skulptur,1. Drittel 18. Jahrhundert
2629395,,Contrefaitkugel mit Fürstenportrait,"Zick, Lorenz",SKSSkulpturen,"Elfenbein  , gedrechselt",Skulptur,Mitte 17. Jahrhundert
