ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
"[aus: 7 Objects/69, Hrsg. Tanglewood Press, Inc., New York]","Tanglewood Press, Inc., New York",NGHamburgerBahnhofMuseumfurGegenwart,Gummi,Skulptur/Plastik/Objektkunst,1969,,
"[aus: 7 Objects/69, Hrsg. Tanglewood Press, Inc., New York]","Tanglewood Press, Inc., New York",NGHamburgerBahnhofMuseumfurGegenwart,Bronze,Skulptur/Plastik/Objektkunst,1969,,
"[aus: 7 Objects/69, Hrsg. Tanglewood Press, Inc., New York]","Tanglewood Press, Inc., New York",NGHamburgerBahnhofMuseumfurGegenwart,Kunststoff in schwarzer? Kartonbox,Skulptur/Plastik/Objektkunst,1969,,
"[aus: 7 Objects/69, Hrsg. Tanglewood Press, Inc., New York]","Tanglewood Press, Inc., New York",NGHamburgerBahnhofMuseumfurGegenwart,"Blei, gerollt",Skulptur/Plastik/Objektkunst,1969,,
"[aus: 7 Objects/69, Hrsg. Tanglewood Press, Inc., New York]","Tanglewood Press, Inc., New York",NGHamburgerBahnhofMuseumfurGegenwart,"Gips, Satin",Skulptur/Plastik/Objektkunst,1969,,
(200 Jahre Französische Revolution)',"Sidur, Vadim Abramovic",NGNeueNationalgalerie,Metall und Isolierband PRÜFEN,Skulptur/Plastik/Objektkunst,1982,,
(200 Jahre Französische Revolution)',"Sidur, Vadim Abramovic",NGNeueNationalgalerie,Metall und Isolierband PRÜFEN,Skulptur/Plastik/Objektkunst,1982,,
"[Text: Living, 1980 - 1982]","Holzer, Jenny",NGHamburgerBahnhofMuseumfurGegenwart,"Marmor, graviert, Marble, graven, auf dem Boden stehend, Marmor, geschliffen (?), graviert",Skulptur/Plastik/Objektkunst,1989,,
[aus: 7 Objects/69] [AUTHENTIZITÄT PRÜFEN],"Hesse, Eva",NGHamburgerBahnhofMuseumfurGegenwart,Gummi,Skulptur/Plastik/Objektkunst,1969,,
"[Text: Survival, 1983 - 1985]","Holzer, Jenny",NGHamburgerBahnhofMuseumfurGegenwart,"in/aus Aluminium geprägte Schrift, auf Sockel mit Haube/Vitrine, Schwarzer Lack auf Alumium",Skulptur/Plastik/Objektkunst,1983 - 1985,,
"[Text: Survival, 1983 - 1985]","Holzer, Jenny",NGHamburgerBahnhofMuseumfurGegenwart,"Emaille auf gebürstetem Aluminium, Enamel on brushed aluminum, auf Wand montiert (Montagevorrichtung verso montiert)",Skulptur/Plastik/Objektkunst,1987,,
"[Text: Survival, 1983 - 1985]","Holzer, Jenny",NGHamburgerBahnhofMuseumfurGegenwart,"in/aus Aluminium geprägte Schrift, In aluminium pressed writing, auf Sockel mit Haube/Vitrine, Schwarzer Lack auf Alumium",Skulptur/Plastik/Objektkunst,1983 - 1985,,
"[Text: Survival, 1983 - 1985]","Holzer, Jenny",NGHamburgerBahnhofMuseumfurGegenwart,"in/aus Aluminium geprägte Schrift, In aluminium pressed writing, auf Sockel mit Haube/Vitrine, Schwarzer Lack auf Alumium",Skulptur/Plastik/Objektkunst,1984,,
[aus: 7 Objects/69?],"Kaltenbach, Stephen",NGHamburgerBahnhofMuseumfurGegenwart,"Bronze, Bronze, Bronze",Skulptur/Plastik/Objektkunst,1969,,
(200 Jahre Französische Revolution),"Sidur, Vadim Abramovic",NGNeueNationalgalerie,Metall und Isolierband PRÜFEN,Skulptur/Plastik/Objektkunst,1982,,
