ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2473873,ChK 001,Bibel,"Kainert, Christine",TempLiteratur,,Allgemein,
2473876,ChK 002,Mecklenburgisches Gesangsbuch,"Kainert, Christine",TempLiteratur,"Organisch-Papier""; Goldschnitt;"" Einband geprägt",Allgemein,1912
2080307,ÄM11472,Sitzfigur der Göttin Isis mit ihrem Sohn Horus,,TempLiteratur,Quarzkeramik,Allgemein,um 746-332 v. Chr.
2080307,ÄM11472,Sitzfigur der Göttin Isis mit ihrem Sohn Horus,,TempLiteratur,Quarzkeramik,Allgemein,Spätzeit
2080288,ÄM4511,"Uschebti (ägytisch """"""""Antworter"""""""")",,TempLiteratur,Quarzkeramik,Allgemein,um 1300-332 v. Chr.
2080288,ÄM4511,"Uschebti (ägytisch """"""""Antworter"""""""")",,TempLiteratur,Quarzkeramik,Allgemein,Neues Reich - Spätzeit
2080276,ÄM5264,Sitzfigur der Göttin Isis mit dem Horuskind,,TempLiteratur,Quarzkeramik,Allgemein,um 746-332 v. Chr.
2080276,ÄM5264,Sitzfigur der Göttin Isis mit dem Horuskind,,TempLiteratur,Quarzkeramik,Allgemein,Spätzeit
2475207,EM 1600 D354+2,"Friedrich Delitzsch, Assyrisches Handwörterbuch",,TempLiteratur,Organisch-Papier,Allgemein,1896
2080273,EM001,Reiseführer: Palästina und Syrien,,TempLiteratur,Organisch-Papier,Allgemein,1913
2070329,EthM I B 3133,Kaffeekännchen,,TempLiteratur,Metall-Kupfer,Allgemein,19. Jahrhundert nach Christus
2080309,EthM I B 3134,Tasse,,TempLiteratur,"Metall, Email",Allgemein,
2080308,EthM I B 3136,Frauengürtel,,TempLiteratur,"Metall-Silber (vergoldet), Organisch-Leder",Allgemein,18./19. Jahrhundert nach Christus
2080300,EthM I B 3137 a-f,Wasserpfeife,,TempLiteratur,"Metall-Messing, Organisch-Holz, Leder, Ton-Keramik",Allgemein,19. Jahrhundert nach Christus
2070301,"EthM III B 1039 a,b",Musikinstrument mit Bogen (kahnförmig),,TempLiteratur,"Organisch-Holz, Leder, Horn, Fell, Biomineral-Weichtiergehäuse",Allgemein,19. Jahrhundert nach Christus
2070332,EthM III B 1041,hohler Fußring aus Silber,,TempLiteratur,Metall-Silber,Allgemein,18./19. Jahrhundert nach Christus
2070300,EthM III B 1042,Duftwassergefäß,,TempLiteratur,"Metall-Silber"";"" Glas",Allgemein,18./19. Jahrhundert nach Christus
2070312,EthM III B 1043,Spiegel in Silbergehäuse,,TempLiteratur,Metall-Silber,Allgemein,19. Jahrhundert nach Christus
2070336,"EthM III B 1048 a,b",Fibeln,,TempLiteratur,Metall-Silber,Allgemein,19. Jahrhundert nach Christus
2070331,"EthM III B 1051 a,b",2 Armringe,,TempLiteratur,Metall-Silber,Allgemein,19. Jahrhundert nach Christus
2070325,EthM III B 1052 b,"1 Paar Ohrgehänge (a+b, wobei a fehlt)",,TempLiteratur,Metall-Silber,Allgemein,19. Jahrhundert nach Christus
2070307,EthM III B 1053 a,2 Fußringe (unterschiedliche Form),,TempLiteratur,Metall-Silber,Allgemein,18./19. Jahrhundert nach Christus
2070316,EthM III B 1053b,Silberner Fußreif,,TempLiteratur,Metall-Silber,Allgemein,18./19. Jahrhundert nach Christus
2070313,EthM III B 1065,Amulettbehälter mit Gehänge,,TempLiteratur,Metall-Silber,Allgemein,18./19. Jahrhundert nach Christus
2080306,"EthM III B 1074 a,b",Messer (a) und Scheide (b),,TempLiteratur,"Organisch-Holz, Organisch-Leder, Organisch-Wolle"";"" Metall-Stahl?",Allgemein,19. Jahrhundert nach Christus
2070295,EthM III B 1075 a-d,Ledergefäß aus Kamelmagen,,TempLiteratur,"Organisch-Haut, Kamelmagen",Allgemein,19. Jahrhundert nach Christus
2080305,EthM MV 686 e 16/4,"Phonograph """"""""Excelsior",,TempLiteratur,"Metall, Organisch-Holz",Allgemein,1920
2080303,"EthM VII W 4708 AK""; VII W 4708 Galvano;"" VII W 4716",4 Musikwalzen und 2 Dosen,,TempLiteratur,Organisch-Hartwachskopien und Galvano,Allgemein,1913
2474021,FB 001,Bibel,"Bachmann, Friederike",TempLiteratur,"Organisch-Papier""; Einband aus Leder;"" Schnallen aus Metall",Allgemein,1747
2475206,FB 002,"Eberhard Schrader, Die Keilinschriften und das Alte Testament, Giessen 1872",,TempLiteratur,Organisch-Papier,Allgemein,1872
2080328,Her001-014,Postkartensatz aus dem Tell Halaf-Museum,,TempLiteratur,Organisch-Papier,Allgemein,1930er Jahre
2080311,ISL I. 7163,"Handschrift, Seite aus dem sog. Oppenheim-Koran",,TempLiteratur,Organisch-Papier,Allgemein,15.-16. Jahrhundert nach Christus
2080311,ISL I. 7163,"Handschrift, Seite aus dem sog. Oppenheim-Koran",,TempLiteratur,Organisch-Papier,Allgemein,Islamisch
2080296,ISL I.7167 a-b,Stuckrelief,,TempLiteratur,Gips,Allgemein,9. Jahrhundert nach Christus
2080296,ISL I.7167 a-b,Stuckrelief,,TempLiteratur,Gips,Allgemein,frühabbasidisch
2070296,KJ005,Stele mit Adorant,,TempLiteratur,Stein-Basalt,Allgemein,9./8. Jahrhundert v. Chr.
2070319,KJ044,Kleine Figur mit Riesenphallus und Gefäß,,TempLiteratur,Stein-Kalkstein,Allgemein,um 746-30 v. Chr.
2070319,KJ044,Kleine Figur mit Riesenphallus und Gefäß,,TempLiteratur,Stein-Kalkstein,Allgemein,Spätzeit bis Ptolemäische Zeit
2070315,KJ045,Kleine Terrakotta-Figur umarmt Riesenphallus,,TempLiteratur,Quarzkeramik,Allgemein,um 746- 30 v. Chr.
2070315,KJ045,Kleine Terrakotta-Figur umarmt Riesenphallus,,TempLiteratur,Quarzkeramik,Allgemein,Spätzeit bis Ptolemäische Zeit
2070303,KJ047,"Kleine, sich aufstützende Figur mit Riesenphallus",,TempLiteratur,Keramik,Allgemein,Ptolemäisch-frühkaiserzeitlich(?)
2070297,KJ099,Bauchiges Töpfchen mit 2 Henkeln,,TempLiteratur,Glas,Allgemein,4./5. Jahrhundert nach Christus
2070314,KJ136,Attische Glanztonschale mit Stempeldekor sog. Bolsal,,TempLiteratur,Keramik,Allgemein,2. Viertel 4. Jahrhundert v. Chr.
2070314,KJ136,Attische Glanztonschale mit Stempeldekor sog. Bolsal,,TempLiteratur,Keramik,Allgemein,Attisch
2070335,KJ177,Ostrakon/Steuerquittung,,TempLiteratur,Keramik,Allgemein,3. Jahrhundert nach Christus
2080336,"MNABc,6",stehende Göttin,,TempLiteratur,Stein-Basalt,Allgemein,10./9. Jahrhundert v. Chr.
