ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2200152,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200153,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200154,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200155,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200156,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200157,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200158,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200159,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200160,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200161,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200162,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200163,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200164,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200165,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200166,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200167,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200168,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200169,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200170,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200171,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200172,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200173,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200174,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200175,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200176,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200177,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200178,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200179,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200180,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200181,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200182,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200183,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200184,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200185,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200186,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200187,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200188,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200189,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200190,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200191,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200192,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200193,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200194,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200195,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200196,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200197,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200198,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200199,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200200,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200201,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200202,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200203,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200204,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200205,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200206,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200207,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200208,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200209,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200210,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200211,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200212,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200213,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200214,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200215,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200216,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200217,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200218,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200219,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200220,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200221,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200222,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200223,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200224,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200225,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200226,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200227,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200228,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200229,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200230,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200231,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200232,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200233,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200234,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200235,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200236,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200237,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200238,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200239,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200240,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200241,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200242,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200243,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200244,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200245,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200246,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200247,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200248,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200249,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200250,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200251,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200252,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200253,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200254,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200255,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200256,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200257,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200258,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200259,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
2200260,,Nachbrandziegel (babylonisch),,VAMAbformungen,Keramik (glasiert),Allgemein,
