ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2435336,VAA 0043,Abklatsch aus Papier,,VAMAbklatsche,,Allgemein,
2435337,VAA 0047,Abklatsch aus Papier,,VAMAbklatsche,,Allgemein,
2435338,VAA 0156,Abklatsch aus Papier,,VAMAbklatsche,,Allgemein,
2435339,VAA 0174,Abklatsch aus Papier,,VAMAbklatsche,,Allgemein,
2340342,VAA 0260,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2435344,VAA 0460,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2435346,VAA 0836,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2435347,VAA 0841,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2435348,VAA 0842,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2435353,VAA 0848,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2435357,VAA 0849,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2435354,VAA 0850,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2435340,VAA 1233,Abklatsch aus Papier,,VAMAbklatsche,,Allgemein,
2435341,VAA 1694,Abklatsch aus Papier,,VAMAbklatsche,,Allgemein,
2340339,VAA 1970,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2129924,VAA 0001.01,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2129443,VAA 0001.02,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2128748,VAA 0001.03,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2129545,VAA 0001.04,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2130214,VAA 0001.05,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2129664,VAA 0001.06,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2129865,VAA 0001.07,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2128730,VAA 0001.08,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2129563,VAA 0001.09,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2130199,VAA 0001.10,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2129853,VAA 0001.11,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2129849,VAA 0001.12,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2130279,VAA 0001.13,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2130315,VAA 0001.14,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2129217,VAA 0001.15,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2129282,VAA 0001.16,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2130193,VAA 0001.17,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
2129425,VAA 0001.18,Abklatsch aus Papier,,VAMAbklatsche,Organisch-Papier,Allgemein,
