ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2305046,VAM 2017/001,Zeichnung: Löwenjagd Assurbanipals,"Gierlichs, Joachim",VAMArchivalien,"Tuschezeichnung auf Karton, Organisch-Papier, Zeichnung",Allgemein,
2305811,VAM 2017/002,"Konrad Fron, Das Kräuterweible von Wimpfen (Eine Geschichte aus dem Ende des 30jährigen Krieges)","Kurrath, Heiko",VAMArchivalien,"Organisch-Papier"";"" Halbleinen",Allgemein,o. J. (1885?)
2305814,VAM 2017/003,"Will Wesper, Das zweite Buch der Ernte aus acht Jahrhunderten deutscher Lyrik","Kurrath, Heiko",VAMArchivalien,"Organisch-Papier"";"" Pappe",Allgemein,1917
2386340,VAM 2017/004,Historische Karteikarten zum VAT-Bestand,"Foster, Benjamin R.",VAMArchivalien,Organisch-Papier,Allgemein,1920er-1930er Jahre
1970364,VAM 2015/001,Druckstock: Löwenjagd Ramses III.,"Förderverein """"""""Freunde der Antike auf der Museumsinsel",VAMArchivalien,"Holz, Metall, geätzt, Organisch-Holz, Metall, geätzt",Allgemein,
1970367,VAM 2015/002,Druckstock: Löwenjagd Assurbanipals,"Förderverein """"""""Freunde der Antike auf der Museumsinsel",VAMArchivalien,"Holz, Metall, geätzt, Organisch-Holz, Metall, geätzt",Allgemein,
1970375,VAM 2015/003,Druckstock: Wildstierjagd Ramses III.,"Förderverein """"""""Freunde der Antike auf der Museumsinsel",VAMArchivalien,"Holz, Metall, geätzt, Organisch-Holz, Metall, geätzt",Allgemein,
1970382,VAM 2015/004,"Druckstock: Jagd in der Wüste, dreireihig","Förderverein """"""""Freunde der Antike auf der Museumsinsel",VAMArchivalien,"Holz, Metall, geätzt, Organisch-Holz, Metall, geschnitten",Allgemein,
1970389,VAM 2015/005,Druckstock: Hirschjagd,"Förderverein """"""""Freunde der Antike auf der Museumsinsel",VAMArchivalien,"Holz, Metall, geätzt, Organisch-Holz, Metall, geätzt, ausgeschnitten",Allgemein,
1970391,VAM 2015/006,"Druckstock: Krankenbeschwörung, fünfreihig","Förderverein """"""""Freunde der Antike auf der Museumsinsel",VAMArchivalien,"Holz, Metall, geätzt, Organisch-Holz, Metall, geätzt",Allgemein,
1970393,VAM 2015/007,Druckstock: Krankenbeschwörung,"Förderverein """"""""Freunde der Antike auf der Museumsinsel",VAMArchivalien,"Holz, Metall, geätzt, Organisch-Holz, Metall, geätzt",Allgemein,
1970397,VAM 2015/008,Druckstock: Priester im Fischmantel vor kniendem Gott unter Flügelsonner,"Förderverein """"""""Freunde der Antike auf der Museumsinsel",VAMArchivalien,"Holz, Metall, geätzt, Organisch-Holz, Metall, geätzt",Allgemein,
