ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2200001,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200002,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200003,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200004,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200005,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200006,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200007,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200008,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200009,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200010,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200011,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200012,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200013,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200014,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200015,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200016,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200017,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200018,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200019,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200020,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200021,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200022,,Boden,,VAMFremdbesitz,Keramik,Allgemein,
2200023,,Bruchstücke/Scherben (gehören zusammen I),,VAMFremdbesitz,Keramik,Allgemein,
2200024,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200025,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200026,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200027,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200028,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200029,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200030,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200031,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200032,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200033,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200034,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200035,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200036,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
2200037,,Bruchstücke/Scherben,,VAMFremdbesitz,Keramik,Allgemein,
