ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2137158,,"Bronzekopf """"""""Delitzsch",,VAMKunst,Metall-Bronze,Allgemein,
2137160,,"Steinsockel für Bronzekopf """"""""Delitzsch",,VAMKunst,Stein-Travertin (?),Allgemein,
2137161,,"Bronzekopf """"""""Koldewey"""""""" (?)",,VAMKunst,Metall-Bronze,Allgemein,
2079574,Arch. HB ohne (1),Jakimow im Atelier,,VAMKunst,Organisch-Papier,Allgemein,
2137159,DOG0000,"Aquarell mit Darstellung von Teilen der Thronsaalfassade, von Andrae, Walter (Maler)",,VAMKunst,"Organisch-Papier, Aquarell"";"" gemalt",Allgemein,
2079576,KMH PH 156,"Trauernde, Künstler: Igor von Jakimow",,VAMKunst,Organisch-Holz,Allgemein,1931
2079575,KMH PS 90,Igor von Jakimow (Künstler): Kniende nackte Frau,,VAMKunst,"Keramik"";"" glasiert, glasiert, weiß",Allgemein,20. Jahrhundert nach Christus
2079573,KMH Z 4587,Igor von Jakimow: Halbbekleideter Jüngling (Flötenspieler),,VAMKunst,Organisch-Papier,Allgemein,20. Jahrhundert nach Christus
2079571,KMH Z 4589,Igor von Jakimow: Weiblicher und männlicher Akt (einander zugewandtes junges Paar),,VAMKunst,Organisch-Papier,Allgemein,20. Jahrhundert nach Christus
2079570,KMH Z 4590,"Kunst-Aquarell, Weiblicher und männlicher Akt",,VAMKunst,"Organisch-Papier, Feder/Tusche auf Papier",Allgemein,20. Jahrhundert nach Christus
2079568,SalOpp005,Jakimow in Aleppo,,VAMKunst,Organisch-Papier,Allgemein,1929
2079572,TBB003,Kunst-Zeichnung: Selbstproträt Igor von Jakimow,,VAMKunst,"Organisch-Papier, Kreide auf Papier",Allgemein,1945
2565032,VAK 0075.01,Kopie einer Strichzeichnung - Moschee Nabi Yuris - Grabmal des Propheten Jonas,,VAMKunst,"Feder auf Papier, Organisch-Papier",Allgemein,
2566185,VAK 0075.02,Kopie einer Strichzeichnung - Moschee Nabi Yunis bei Mosul,,VAMKunst,"Bleistift auf Papier, Organisch-Papier",Allgemein,
