ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2003967,,"Tontafel"";"" beidseitig beschriftet",,VAMTontafelsammlung,"Ton"";"",Allgemein",,
2323064,,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
2574915,,,,VAMTontafelsammlung,,Allgemein,
2574919,,"Tontafelfragment der 11. Tafel des Gilgamesch-Epos, Ausschnitt der Sintfluterzählung",,VAMTontafelsammlung,"Ton"";"",Allgemein",7. Jahrhundert v. Chr.,
2574921,,,,VAMTontafelsammlung,,Allgemein,
2574924,,"Schreiberübung mit Auszügen aus Ḫar-ra = ḫubullu 18, 19, 20, 21, 22, 23, 24 (?)""; ḪAR-gud; Šurpu 7, 84-85 (zweisprachig); literarisch (Sprichwort?);"" MUL.APIN 1, Kol. II, 46-47",,VAMTontafelsammlung,,Allgemein,
2575580,,Tontafel,,VAMTontafelsammlung,"Ton"";"" gebrannt",Allgemein,
2318421,VAT 09817 a,Tontafelfragment,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
2324988,VAT 30191,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
2327123,VAT 30192,Fragment einer Tontafel mit Inschrift,,VAMTontafelsammlung,"Ton, ungebrannt",Allgemein,
2340199,VAT 30193,Tontafel,,VAMTontafelsammlung,"Ton"";"" gebrannt",Allgemein,mittelassyrisch
2340504,VAT 30196,"Tontafel, vollständig erhalten",,VAMTontafelsammlung,Keramik,Allgemein,kassitisch?
2340505,VAT 30197,Fragment einer Tontafel,,VAMTontafelsammlung,"Keramik, handgeformt",Allgemein,seleukidisch
2340525,VAT 30198,Vier Bruchstücke archaischer Tontafeln,,VAMTontafelsammlung,Keramik,Allgemein,Uruk-Zeit
2340668,VAT 30199,Randfragment einer Tontafel,,VAMTontafelsammlung,Keramik,Allgemein,
2340672,VAT 30200,Fragment einer archaischen Tontafel,,VAMTontafelsammlung,Keramik,Allgemein,Uruk-Zeit
2345745,VAT 30201,Fragment einer Schülertafel mit Aufzählung von Gewandtypen,,VAMTontafelsammlung,"Ton, gebrannt, rotbraun, Oberfläche gesprenkelt",Allgemein,
2388449,VAT 30202,Blankotafel,,VAMTontafelsammlung,"Ton, gebrannt",Allgemein,
2326254,VAT 30203,Fragment einer gesiegelten Tontafelhülle,,VAMTontafelsammlung,Keramik,Allgemein,
1973891,VAT 00001,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",neubabylonisch,
1973935,VAT 00002,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",neubabylonisch,
1973936,VAT 00003,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",neubabylonisch,
1973937,VAT 00004,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",neubabylonisch,
1973938,VAT 00005,Tontafel mit Hülle,,VAMTontafelsammlung,"Ton"";"",Allgemein",neubabylonisch,
1973939,VAT 00006,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",neubabylonisch,
1973940,VAT 00007,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",neubabylonisch,
1973941,VAT 00008,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",neubabylonisch,
1973942,VAT 00009,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",neubabylonisch,
1973943,VAT 00010,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
1973944,VAT 00011,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
1973945,VAT 00012,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
1973946,VAT 00013,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
1973947,VAT 00014,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
1973948,VAT 00015,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
1973949,VAT 00016,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
1973950,VAT 00017,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
1973951,VAT 00018,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
1973952,VAT 00019,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
1973953,VAT 00020,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
1973954,VAT 00021,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
1973955,VAT 00022,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
1973956,VAT 00023,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
1973957,VAT 00024,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
1973958,VAT 00025,Tontafel,,VAMTontafelsammlung,"Ton"";"",Allgemein",,
