ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1903844,,,Autographenhandlung J. A. Stargardt,ZAErwerbungen,,Allgemein,1875 - 1892
1910029,,,"Brugsch, Heide",ZAErwerbungen,,Archivalie - Sonstiges,1837 - 1896
1910034,,,"Günter Linke, Antiquariat",ZAErwerbungen,,Allgemein,1928 - 1929
1946180,,,"Spik, Leo",ZAErwerbungen,,Archivalie - Sonstiges,1858-1904
1946184,,,Galerie Gerda Bassenge,ZAErwerbungen,,Allgemein,1806 - 1849
1946406,,,"Jeschke, Meinke & Hauff",ZAErwerbungen,,Allgemein,1917 - 1920
1946436,,,"Köstler, Eberhard",ZAErwerbungen,,Archivalie - Einzelblatt,3. 9. 1958
1946820,,,"Wolzogen, Christoph von",ZAErwerbungen,,Allgemein,1785 - 1835
1946821,,Johann Gottfried Schadow an seine Tochter Lida Bendemann und deren Familie,Galerie Gerda Bassenge,ZAErwerbungen,,Autograph/Dokument,1847 - 1848
1946822,,Adolph von Menzel an einen unbekannten Empfänger,"Rexroth, Karl Heinrich",ZAErwerbungen,,Autograph/Dokument,26. 10. 1872 [?]
1946824,,"Raphael-Gemälde """"""""Madonna di Casa Colonna","Schönefuß, Götz",ZAErwerbungen,,Allgemein,1927
1947115,,,"Friedrich, Reinhard",ZAErwerbungen,,Fotografie,1968 - 2002
1949628,,"11 Gebäude- und Raumaufnahmen von Liselotte Orgel (7), Peter Cürlis (1) und Fritz Eschen (3)","Lenfant, Reinhard",ZAErwerbungen,,Fotografie,1946 - 1950
