ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2270947,,Walter Steinkopf im Atelier von Gustav Schwarz im Kaiser-Friedrich-Museum,Unbekannt,ZAFotosammlung2,,Fotografie,1898
2464770,,"Blick in einen an die Halle im Erdgeschoss angrenzenden Raum (Durchgang B, nach rechts zur Halle) Villa von James Simon, Tiergartenstr. 15a, Berlin","Simon, James",ZAFotosammlung2,,Fotografie,[um 1910]
2464771,,"Blick in einen an die Halle im Erdgeschoss angrenzenden Raum (Durchgang B, nach rechts zur Halle) Villa von James Simon, Tiergartenstr. 15a, Berlin","Simon, James",ZAFotosammlung2,,Fotografie,[um 1910]
2545195,,"Demonstration von Museumsmitarbeitern vor dem Ministerium für Kultur (Berlin, Otto-Nuschke-Straße) gegen den Verkauf von Kunstgegenständen durch die Kunst- und Antiquitäten GmbH Mühlenbeck am 26. Januar 1990",,ZAFotosammlung2,,Fotografie,1990
2563205,,,,ZAFotosammlung2,,Allgemein,
2472788,ZA 02.04./9835,Besucher in der Ausstellung der Gemäldegalerie Dahlem,,ZAFotosammlung2,,Allgemein,Juni 1985
2268992,ZA 1.2.1./09720,Abladen von Kisten im Museum Dahlem unter Aufsicht eines Museumsmitarbeiters,"Anders, Jörg P.",ZAFotosammlung2,,Fotografie,o. D.
2269177,ZA 1.2.2./09726,"Bruno-Paul-Bau in Dahlem, Arnimallee 8","Anders, Jörg P.",ZAFotosammlung2,,Fotografie,[um 1960]
2269637,ZA 1.2.2./09740,"Bruno-Paul-Bau in Dahlem, Arnimallee 8","Anders, Jörg P.",ZAFotosammlung2,,Fotografie,[um 1960]
2269688,ZA 1.2.2./09741,"Bruno-Paul-Bau in Dahlem, Arnimallee 8","Anders, Jörg P.",ZAFotosammlung2,,Fotografie,[um 1950]
2270237,ZA 1.2.2./09742,"Eröffnung der Sonderausstellung """"""""Berliner Porzellan 1751 - 1954"""""""" im Museum Dahlem in Zusammenarbeit mit der Staatlichen Porzellanmanufaktur (Jan. - Febr. 1955)","Steinkopf, Walter",ZAFotosammlung2,,Fotografie,01. Febr. 1955
2270251,ZA 1.2.2./09743,"Eröffnung der Sonderausstellung """"""""Berliner Porzellan 1751 - 1954"""""""" im Museum Dahlem in Zusammenarbeit mit der Staatlichen Porzellanmanufaktur (Jan. - Febr. 1955)","Steinkopf, Walter",ZAFotosammlung2,,Fotografie,01. Febr. 1955
